"Leeftijdsgroep";"Man";"Vrouw"
"0-4";1;0
"5-9";0;0
"10-14";0;0
"15-19";2;0
"20-24";1;0
"25-29";4;0
"30-34";4;2
"35-39";10;5
"40-44";12;1
"45-49";28;22
"50-54";59;37
"55-59";105;48
"60-64";184;96
"65-69";362;194
"70-74";706;400
"75-79";1188;639
"80-84";1439;1036
"85-89";1455;1324
"90-94";714;1066
"95+";183;499
