"Datum van overlijden";"nieuw";"tot en met gisteren"
"27 feb";0;0
"28 feb";0;0
"29 feb";0;0
"1 mrt";0;0
"2 mrt";0;0
"3 mrt";0;0
"4 mrt";0;0
"5 mrt";0;0
"6 mrt";0;1
"7 mrt";0;1
"8 mrt";0;2
"9 mrt";0;0
"10 mrt";0;1
"11 mrt";0;2
"12 mrt";0;3
"13 mrt";0;6
"14 mrt";0;10
"15 mrt";0;14
"16 mrt";0;23
"17 mrt";0;23
"18 mrt";0;20
"19 mrt";0;44
"20 mrt";0;55
"21 mrt";0;60
"22 mrt";0;60
"23 mrt";0;84
"24 mrt";0;74
"25 mrt";0;105
"26 mrt";1;120
"27 mrt";0;105
"28 mrt";0;148
"29 mrt";0;115
"30 mrt";1;143
"31 mrt";0;152
"1 apr";1;149
"2 apr";0;156
"3 apr";6;138
"4 apr";5;130
"5 apr";8;127
"6 apr";16;115
"7 apr";53;54
"8 apr";55;1
"9 apr";3;0
