"Leeftijdsgroep";"Man";"Vrouw"
"0-4";0;0
"5-9";0;0
"10-14";0;0
"15-19";1;0
"20-24";0;0
"25-29";3;0
"30-34";1;1
"35-39";3;1
"40-44";4;0
"45-49";3;6
"50-54";18;12
"55-59";38;15
"60-64";70;34
"65-69";150;71
"70-74";248;147
"75-79";457;210
"80-84";482;314
"85-89";446;322
"90-94";163;242
"95+";39;99
