"Leeftijdsgroep";"Man";"Vrouw"
"0-4";0;0
"0-4";0;0
"5-9";0;0
"10-14";0;0
"15-19";2;0
"20-24";0;0
"25-29";3;0
"30-34";3;1
"35-39";9;4
"40-44";10;1
"45-49";20;17
"50-54";44;26
"55-59";88;39
"60-64";147;77
"65-69";299;153
"70-74";542;320
"75-79";917;490
"80-84";1119;795
"85-89";1128;990
"90-94";512;790
"95+";124;365
