"Leeftijdsgroep";"Man";"Vrouw"
"0-4";0;0
"5-9";0;0
"10-14";0;0
"15-19";0;0
"20-24";0;0
"25-29";1;0
"30-34";0;1
"35-39";1;0
"40-44";2;0
"45-49";2;4
"50-54";8;9
"55-59";19;12
"60-64";43;19
"65-69";91;43
"70-74";143;80
"75-79";287;130
"80-84";321;174
"85-89";271;175
"90-94";83;120
"95+";16;44
"Niet vermeld";1;1
