"GGD-meldingsdatum";"nieuw";"tot en met gisteren"
"27 feb";0;3
"28 feb";0;4
"29 feb";0;12
"1 mrt";0;13
"2 mrt";0;47
"3 mrt";0;40
"4 mrt";0;41
"5 mrt";0;41
"6 mrt";0;33
"7 mrt";0;45
"8 mrt";0;71
"9 mrt";0;77
"10 mrt";0;137
"11 mrt";0;172
"12 mrt";1;182
"13 mrt";0;217
"14 mrt";0;221
"15 mrt";0;233
"16 mrt";0;272
"17 mrt";0;374
"18 mrt";0;460
"19 mrt";1;514
"20 mrt";0;704
"21 mrt";0;668
"22 mrt";0;543
"23 mrt";0;622
"24 mrt";0;1131
"25 mrt";0;1056
"26 mrt";0;1053
"27 mrt";0;1192
"28 mrt";0;990
"29 mrt";2;746
"30 mrt";0;801
"31 mrt";0;1127
"1 apr";0;1040
"2 apr";2;1022
"3 apr";4;1221
"4 apr";6;1088
"5 apr";7;841
"6 apr";50;690
"7 apr";244;735
"8 apr";862;56
"9 apr";48;0
