"Leeftijdsgroep";"Man";"Vrouw"
"0-4";0;0
"5-9";0;0
"10-14";0;0
"15-19";2;0
"20-24";1;0
"25-29";4;0
"30-34";4;2
"35-39";10;4
"40-44";11;1
"45-49";24;21
"50-54";51;34
"55-59";101;43
"60-64";169;87
"65-69";336;173
"70-74";649;365
"75-79";1077;582
"80-84";1315;930
"85-89";1301;1163
"90-94";632;943
"95+";154;444
