"Leeftijdsgroep";"Man";"Vrouw"
"0-4";0;0
"5-9";0;0
"10-14";0;0
"15-19";2;0
"20-24";0;0
"25-29";3;0
"30-34";3;2
"35-39";9;4
"40-44";10;1
"45-49";20;18
"50-54";44;26
"55-59";90;40
"60-64";153;81
"65-69";309;158
"70-74";564;332
"75-79";973;515
"80-84";1167;825
"85-89";1184;1037
"90-94";535;822
"95+";128;383
"95+";124;365
