"Datum van overlijden";"nieuw";"tot en met gisteren"
"27 feb";0;0
"28 feb";0;0
"29 feb";0;0
"1 mrt";0;0
"2 mrt";0;0
"3 mrt";0;0
"4 mrt";0;0
"5 mrt";0;0
"6 mrt";0;1
"7 mrt";0;1
"8 mrt";0;2
"9 mrt";0;1
"10 mrt";0;1
"11 mrt";0;2
"12 mrt";0;3
"13 mrt";0;6
"14 mrt";0;10
"15 mrt";0;14
"16 mrt";0;23
"17 mrt";0;23
"18 mrt";0;20
"19 mrt";0;43
"20 mrt";0;55
"21 mrt";0;60
"22 mrt";0;59
"23 mrt";0;85
"24 mrt";0;74
"25 mrt";0;106
"26 mrt";1;121
"27 mrt";0;105
"28 mrt";0;146
"29 mrt";0;115
"30 mrt";3;144
"31 mrt";2;153
"1 apr";0;152
"2 apr";0;158
"3 apr";4;145
"4 apr";4;139
"5 apr";1;138
"6 apr";2;140
"7 apr";5;126
"8 apr";13;104
"9 apr";53;26
"10 apr";40;3
"11 apr";1;0
