"GGD-meldingsdatum";"nieuw";"tot en met gisteren"
"27 feb";0;1
"28 feb";0;0
"29 feb";0;2
"1 mrt";0;1
"2 mrt";0;3
"3 mrt";0;6
"4 mrt";0;4
"5 mrt";0;7
"6 mrt";0;6
"7 mrt";0;13
"8 mrt";0;14
"9 mrt";0;17
"10 mrt";0;20
"11 mrt";0;43
"12 mrt";0;43
"13 mrt";0;64
"14 mrt";0;65
"15 mrt";0;82
"16 mrt";1;123
"17 mrt";0;151
"18 mrt";0;183
"19 mrt";0;243
"20 mrt";0;311
"21 mrt";0;335
"22 mrt";0;296
"23 mrt";0;332
"24 mrt";0;579
"25 mrt";0;517
"26 mrt";1;516
"27 mrt";0;561
"28 mrt";0;508
"29 mrt";0;416
"30 mrt";1;357
"31 mrt";0;514
"1 apr";0;357
"2 apr";0;356
"3 apr";0;362
"4 apr";0;298
"5 apr";0;256
"6 apr";0;251
"7 apr";0;283
"8 apr";0;228
"9 apr";0;207
"10 apr";1;204
"11 apr";0;154
"12 apr";0;117
"13 apr";2;151
"14 apr";1;151
"15 apr";1;154
"16 apr";0;115
"17 apr";0;122
"18 apr";0;103
"19 apr";2;59
"20 apr";0;82
"21 apr";0;90
"22 apr";1;72
"23 apr";1;91
"24 apr";3;69
"25 apr";1;50
"26 apr";4;36
"27 apr";1;27
"28 apr";2;49
"29 apr";0;55
"30 apr";6;37
"1 mei";4;31
"2 mei";12;0
"3 mei";0;0
