"Leeftijdsgroep";"Man";"Vrouw"
"0-4";0;0
"5-9";0;0
"10-14";0;0
"15-19";1;0
"20-24";0;0
"25-29";3;0
"30-34";3;1
"35-39";5;2
"40-44";7;0
"45-49";9;15
"50-54";27;20
"55-59";75;25
"60-64";114;51
"65-69";225;116
"70-74";389;246
"75-79";668;352
"80-84";752;537
"85-89";727;670
"90-94";330;523
"95+";75;239
