"GGD-meldingsdatum";"nieuw";"tot en met gisteren"
"27 feb";0;1
"28 feb";0;0
"29 feb";0;2
"1 mrt";0;1
"2 mrt";0;3
"3 mrt";0;6
"4 mrt";0;4
"5 mrt";0;6
"6 mrt";0;6
"7 mrt";0;13
"8 mrt";0;14
"9 mrt";0;17
"10 mrt";0;19
"11 mrt";0;43
"12 mrt";0;43
"13 mrt";0;64
"14 mrt";1;65
"15 mrt";0;78
"16 mrt";0;122
"17 mrt";0;144
"18 mrt";2;174
"19 mrt";0;241
"20 mrt";0;306
"21 mrt";0;328
"22 mrt";0;291
"23 mrt";0;321
"24 mrt";0;559
"25 mrt";1;500
"26 mrt";3;496
"27 mrt";0;542
"28 mrt";1;487
"29 mrt";2;396
"30 mrt";0;348
"31 mrt";1;504
"1 apr";0;349
"2 apr";1;344
"3 apr";1;346
"4 apr";0;287
"5 apr";3;248
"6 apr";3;233
"7 apr";3;258
"8 apr";3;206
"9 apr";4;194
"10 apr";13;171
"11 apr";5;135
"12 apr";2;99
"13 apr";6;119
"14 apr";12;108
"15 apr";37;64
"16 apr";53;1
"17 apr";2;0
