Datum,Gemeentecode,Gemeentenaam,Provincienaam,Provinciecode,Type,Aantal,AantalCumulatief
2020-12-25,-1,,,-1,Totaal,50,3590
2020-12-25,-1,,,-1,Ziekenhuisopname,0,110
2020-12-25,-1,,,-1,Overleden,0,31
2020-12-25,3,Appingedam,Groningen,20,Totaal,5,270
2020-12-25,3,Appingedam,Groningen,20,Ziekenhuisopname,0,9
2020-12-25,3,Appingedam,Groningen,20,Overleden,0,1
2020-12-25,10,Delfzijl,Groningen,20,Totaal,26,614
2020-12-25,10,Delfzijl,Groningen,20,Ziekenhuisopname,0,11
2020-12-25,10,Delfzijl,Groningen,20,Overleden,0,2
2020-12-25,14,Groningen,Groningen,20,Totaal,70,5925
2020-12-25,14,Groningen,Groningen,20,Ziekenhuisopname,1,51
2020-12-25,14,Groningen,Groningen,20,Overleden,2,14
2020-12-25,24,Loppersum,Groningen,20,Totaal,3,172
2020-12-25,24,Loppersum,Groningen,20,Ziekenhuisopname,0,2
2020-12-25,24,Loppersum,Groningen,20,Overleden,0,0
2020-12-25,34,Almere,Flevoland,24,Totaal,182,9737
2020-12-25,34,Almere,Flevoland,24,Ziekenhuisopname,2,209
2020-12-25,34,Almere,Flevoland,24,Overleden,0,52
2020-12-25,37,Stadskanaal,Groningen,20,Totaal,34,1114
2020-12-25,37,Stadskanaal,Groningen,20,Ziekenhuisopname,0,12
2020-12-25,37,Stadskanaal,Groningen,20,Overleden,0,8
2020-12-25,47,Veendam,Groningen,20,Totaal,23,578
2020-12-25,47,Veendam,Groningen,20,Ziekenhuisopname,0,4
2020-12-25,47,Veendam,Groningen,20,Overleden,0,2
2020-12-25,50,Zeewolde,Flevoland,24,Totaal,20,737
2020-12-25,50,Zeewolde,Flevoland,24,Ziekenhuisopname,0,16
2020-12-25,50,Zeewolde,Flevoland,24,Overleden,1,9
2020-12-25,59,Achtkarspelen,Friesland,21,Totaal,18,537
2020-12-25,59,Achtkarspelen,Friesland,21,Ziekenhuisopname,0,2
2020-12-25,59,Achtkarspelen,Friesland,21,Overleden,0,0
2020-12-25,60,Ameland,Friesland,21,Totaal,2,106
2020-12-25,60,Ameland,Friesland,21,Ziekenhuisopname,0,0
2020-12-25,60,Ameland,Friesland,21,Overleden,0,0
2020-12-25,72,Harlingen,Friesland,21,Totaal,4,198
2020-12-25,72,Harlingen,Friesland,21,Ziekenhuisopname,0,5
2020-12-25,72,Harlingen,Friesland,21,Overleden,0,2
2020-12-25,74,Heerenveen,Friesland,21,Totaal,28,829
2020-12-25,74,Heerenveen,Friesland,21,Ziekenhuisopname,0,17
2020-12-25,74,Heerenveen,Friesland,21,Overleden,0,24
2020-12-25,80,Leeuwarden,Friesland,21,Totaal,47,2640
2020-12-25,80,Leeuwarden,Friesland,21,Ziekenhuisopname,1,55
2020-12-25,80,Leeuwarden,Friesland,21,Overleden,1,18
2020-12-25,85,Ooststellingwerf,Friesland,21,Totaal,9,473
2020-12-25,85,Ooststellingwerf,Friesland,21,Ziekenhuisopname,0,10
