Datum,Gemeentecode,Gemeentenaam,Provincienaam,Provinciecode,Type,Aantal,AantalCumulatief
2021-01-11,-1,,,-1,Totaal,-12,3767
2021-01-11,-1,,,-1,Ziekenhuisopname,0,113
2021-01-11,-1,,,-1,Overleden,-1,33
2021-01-11,3,Appingedam,Groningen,20,Totaal,,
2021-01-11,3,Appingedam,Groningen,20,Ziekenhuisopname,,
2021-01-11,3,Appingedam,Groningen,20,Overleden,,
2021-01-11,10,Delfzijl,Groningen,20,Totaal,,
2021-01-11,10,Delfzijl,Groningen,20,Ziekenhuisopname,,
2021-01-11,10,Delfzijl,Groningen,20,Overleden,,
2021-01-11,14,Groningen,Groningen,20,Totaal,39,6989
2021-01-11,14,Groningen,Groningen,20,Ziekenhuisopname,0,58
2021-01-11,14,Groningen,Groningen,20,Overleden,0,20
2021-01-11,24,Loppersum,Groningen,20,Totaal,,
2021-01-11,24,Loppersum,Groningen,20,Ziekenhuisopname,,
2021-01-11,24,Loppersum,Groningen,20,Overleden,,
2021-01-11,34,Almere,Flevoland,24,Totaal,76,11829
2021-01-11,34,Almere,Flevoland,24,Ziekenhuisopname,0,223
2021-01-11,34,Almere,Flevoland,24,Overleden,0,57
2021-01-11,37,Stadskanaal,Groningen,20,Totaal,11,1347
2021-01-11,37,Stadskanaal,Groningen,20,Ziekenhuisopname,0,15
2021-01-11,37,Stadskanaal,Groningen,20,Overleden,0,9
2021-01-11,47,Veendam,Groningen,20,Totaal,17,819
2021-01-11,47,Veendam,Groningen,20,Ziekenhuisopname,0,5
2021-01-11,47,Veendam,Groningen,20,Overleden,0,6
2021-01-11,50,Zeewolde,Flevoland,24,Totaal,7,956
2021-01-11,50,Zeewolde,Flevoland,24,Ziekenhuisopname,0,18
2021-01-11,50,Zeewolde,Flevoland,24,Overleden,0,9
2021-01-11,59,Achtkarspelen,Friesland,21,Totaal,23,768
2021-01-11,59,Achtkarspelen,Friesland,21,Ziekenhuisopname,0,2
2021-01-11,59,Achtkarspelen,Friesland,21,Overleden,0,2
2021-01-11,60,Ameland,Friesland,21,Totaal,0,128
2021-01-11,60,Ameland,Friesland,21,Ziekenhuisopname,0,0
2021-01-11,60,Ameland,Friesland,21,Overleden,0,0
2021-01-11,72,Harlingen,Friesland,21,Totaal,1,257
2021-01-11,72,Harlingen,Friesland,21,Ziekenhuisopname,0,5
2021-01-11,72,Harlingen,Friesland,21,Overleden,0,2
