Datum,Gemeentecode,Gemeentenaam,Provincienaam,Provinciecode,Type,Aantal,AantalCumulatief
2020-10-22,-1,,,-1,Totaal,36,1905
2020-10-22,-1,,,-1,Ziekenhuisopname,0,84
2020-10-22,-1,,,-1,Overleden,1,22
2020-10-22,3,Appingedam,Groningen,20,Totaal,1,44
2020-10-22,3,Appingedam,Groningen,20,Ziekenhuisopname,0,7
2020-10-22,3,Appingedam,Groningen,20,Overleden,0,0
2020-10-22,10,Delfzijl,Groningen,20,Totaal,10,110
2020-10-22,10,Delfzijl,Groningen,20,Ziekenhuisopname,0,7
2020-10-22,10,Delfzijl,Groningen,20,Overleden,0,0
2020-10-22,14,Groningen,Groningen,20,Totaal,58,3019
2020-10-22,14,Groningen,Groningen,20,Ziekenhuisopname,2,30
2020-10-22,14,Groningen,Groningen,20,Overleden,0,3
2020-10-22,24,Loppersum,Groningen,20,Totaal,1,32
2020-10-22,24,Loppersum,Groningen,20,Ziekenhuisopname,0,0
2020-10-22,24,Loppersum,Groningen,20,Overleden,0,0
2020-10-22,34,Almere,Flevoland,24,Totaal,128,2912
2020-10-22,34,Almere,Flevoland,24,Ziekenhuisopname,2,163
2020-10-22,34,Almere,Flevoland,24,Overleden,0,39
2020-10-22,37,Stadskanaal,Groningen,20,Totaal,5,182
2020-10-22,37,Stadskanaal,Groningen,20,Ziekenhuisopname,2,5
2020-10-22,37,Stadskanaal,Groningen,20,Overleden,0,2
2020-10-22,47,Veendam,Groningen,20,Totaal,7,143
2020-10-22,47,Veendam,Groningen,20,Ziekenhuisopname,0,2
2020-10-22,47,Veendam,Groningen,20,Overleden,0,1
2020-10-22,50,Zeewolde,Flevoland,24,Totaal,8,209
2020-10-22,50,Zeewolde,Flevoland,24,Ziekenhuisopname,0,13
2020-10-22,50,Zeewolde,Flevoland,24,Overleden,0,6
2020-10-22,59,Achtkarspelen,Friesland,21,Totaal,4,149
2020-10-22,59,Achtkarspelen,Friesland,21,Ziekenhuisopname,0,0
2020-10-22,59,Achtkarspelen,Friesland,21,Overleden,0,0
2020-10-22,60,Ameland,Friesland,21,Totaal,1,32
2020-10-22,60,Ameland,Friesland,21,Ziekenhuisopname,0,0
2020-10-22,60,Ameland,Friesland,21,Overleden,0,0
2020-10-22,72,Harlingen,Friesland,21,Totaal,2,76
2020-10-22,72,Harlingen,Friesland,21,Ziekenhuisopname,0,4
2020-10-22,72,Harlingen,Friesland,21,Overleden,0,1
2020-10-22,74,Heerenveen,Friesland,21,Totaal,7,338
2020-10-22,74,Heerenveen,Friesland,21,Ziekenhuisopname,0,16
2020-10-22,74,Heerenveen,Friesland,21,Overleden,0,22
2020-10-22,80,Leeuwarden,Friesland,21,Totaal,25,1208
2020-10-22,80,Leeuwarden,Friesland,21,Ziekenhuisopname,1,45
2020-10-22,80,Leeuwarden,Friesland,21,Overleden,0,8
2020-10-22,85,Ooststellingwerf,Friesland,21,Totaal,11,116
2020-10-22,85,Ooststellingwerf,Friesland,21,Ziekenhuisopname,0,5
2020-10-22,85,Ooststellingwerf,Friesland,21,Overleden,0,1
2020-10-22,86,Opsterland,Friesland,21,Totaal,3,154
2020-10-22,86,Opsterland,Friesland,21,Ziekenhuisopname,0,8
2020-10-22,86,Opsterland,Friesland,21,Overleden,0,0
2020-10-22,88,Schiermonnikoog,Friesland,21,Totaal,0,1
2020-10-22,88,Schiermonnikoog,Friesland,21,Ziekenhuisopname,0,1
2020-10-22,88,Schiermonnikoog,Friesland,21,Overleden,0,0
2020-10-22,90,Smallingerland,Friesland,21,Totaal,6,305
2020-10-22,90,Smallingerland,Friesland,21,Ziekenhuisopname,0,12
2020-10-22,90,Smallingerland,Friesland,21,Overleden,0,6
