Datum,Gemeentecode,Gemeentenaam,Provincienaam,Provinciecode,Type,Aantal,AantalCumulatief
2021-03-09,-1,,,-1,Totaal,26,3976
2021-03-09,-1,,,-1,Ziekenhuisopname,1,112
2021-03-09,-1,,,-1,Overleden,0,33
2021-03-09,3,Appingedam,Groningen,20,Totaal,,
2021-03-09,3,Appingedam,Groningen,20,Ziekenhuisopname,,
2021-03-09,3,Appingedam,Groningen,20,Overleden,,
2021-03-09,10,Delfzijl,Groningen,20,Totaal,,
2021-03-09,10,Delfzijl,Groningen,20,Ziekenhuisopname,,
2021-03-09,10,Delfzijl,Groningen,20,Overleden,,
2021-03-09,14,Groningen,Groningen,20,Totaal,76,9401
2021-03-09,14,Groningen,Groningen,20,Ziekenhuisopname,0,68
2021-03-09,14,Groningen,Groningen,20,Overleden,1,30
2021-03-09,24,Loppersum,Groningen,20,Totaal,,
2021-03-09,24,Loppersum,Groningen,20,Ziekenhuisopname,,
2021-03-09,24,Loppersum,Groningen,20,Overleden,,
2021-03-09,34,Almere,Flevoland,24,Totaal,43,14731
2021-03-09,34,Almere,Flevoland,24,Ziekenhuisopname,3,270
2021-03-09,34,Almere,Flevoland,24,Overleden,1,87
2021-03-09,37,Stadskanaal,Groningen,20,Totaal,3,1802
2021-03-09,37,Stadskanaal,Groningen,20,Ziekenhuisopname,0,16
2021-03-09,37,Stadskanaal,Groningen,20,Overleden,1,16
2021-03-09,47,Veendam,Groningen,20,Totaal,2,1293
2021-03-09,47,Veendam,Groningen,20,Ziekenhuisopname,0,8
2021-03-09,47,Veendam,Groningen,20,Overleden,0,10
2021-03-09,50,Zeewolde,Flevoland,24,Totaal,9,1221
2021-03-09,50,Zeewolde,Flevoland,24,Ziekenhuisopname,0,20
2021-03-09,50,Zeewolde,Flevoland,24,Overleden,0,13
2021-03-09,59,Achtkarspelen,Friesland,21,Totaal,12,1628
2021-03-09,59,Achtkarspelen,Friesland,21,Ziekenhuisopname,0,16
2021-03-09,59,Achtkarspelen,Friesland,21,Overleden,0,32
2021-03-09,60,Ameland,Friesland,21,Totaal,0,145
2021-03-09,60,Ameland,Friesland,21,Ziekenhuisopname,0,0
2021-03-09,60,Ameland,Friesland,21,Overleden,0,0
2021-03-09,72,Harlingen,Friesland,21,Totaal,1,445
2021-03-09,72,Harlingen,Friesland,21,Ziekenhuisopname,0,7
2021-03-09,72,Harlingen,Friesland,21,Overleden,0,3
2021-03-09,74,Heerenveen,Friesland,21,Totaal,8,1753
2021-03-09,74,Heerenveen,Friesland,21,Ziekenhuisopname,0,26
2021-03-09,74,Heerenveen,Friesland,21,Overleden,0,35
2021-03-09,80,Leeuwarden,Friesland,21,Totaal,20,4988
2021-03-09,80,Leeuwarden,Friesland,21,Ziekenhuisopname,0,80
2021-03-09,80,Leeuwarden,Friesland,21,Overleden,0,62
2021-03-09,85,Ooststellingwerf,Friesland,21,Totaal,7,842
2021-03-09,85,Ooststellingwerf,Friesland,21,Ziekenhuisopname,0,13
2021-03-09,85,Ooststellingwerf,Friesland,21,Overleden,0,6
2021-03-09,86,Opsterland,Friesland,21,Totaal,7,1061
2021-03-09,86,Opsterland,Friesland,21,Ziekenhuisopname,0,22
2021-03-09,86,Opsterland,Friesland,21,Overleden,0,5
2021-03-09,88,Schiermonnikoog,Friesland,21,Totaal,0,37
2021-03-09,88,Schiermonnikoog,Friesland,21,Ziekenhuisopname,0,1
2021-03-09,88,Schiermonnikoog,Friesland,21,Overleden,0,2
2021-03-09,90,Smallingerland,Friesland,21,Totaal,9,2103
2021-03-09,90,Smallingerland,Friesland,21,Ziekenhuisopname,0,27
2021-03-09,90,Smallingerland,Friesland,21,Overleden,0,27
2021-03-09,93,Terschelling,Friesland,21,Totaal,0,185
2021-03-09,93,Terschelling,Friesland,21,Ziekenhuisopname,0,1
2021-03-09,93,Terschelling,Friesland,21,Overleden,0,1
2021-03-09,96,Vlieland,Friesland,21,Totaal,0,43
2021-03-09,96,Vlieland,Friesland,21,Ziekenhuisopname,0,0
2021-03-09,96,Vlieland,Friesland,21,Overleden,0,0
