Datum,Gemeentecode,Gemeentenaam,Provincienaam,Provinciecode,Type,Aantal,AantalCumulatief
2021-02-04,-1,,,-1,Totaal,7,3633
2021-02-04,-1,,,-1,Ziekenhuisopname,1,109
2021-02-04,-1,,,-1,Overleden,0,34
2021-02-04,3,Appingedam,Groningen,20,Totaal,,
2021-02-04,3,Appingedam,Groningen,20,Ziekenhuisopname,,
2021-02-04,3,Appingedam,Groningen,20,Overleden,,
2021-02-04,10,Delfzijl,Groningen,20,Totaal,,
2021-02-04,10,Delfzijl,Groningen,20,Ziekenhuisopname,,
2021-02-04,10,Delfzijl,Groningen,20,Overleden,,
2021-02-04,14,Groningen,Groningen,20,Totaal,33,7881
2021-02-04,14,Groningen,Groningen,20,Ziekenhuisopname,0,61
2021-02-04,14,Groningen,Groningen,20,Overleden,0,25
2021-02-04,24,Loppersum,Groningen,20,Totaal,,
2021-02-04,24,Loppersum,Groningen,20,Ziekenhuisopname,,
2021-02-04,24,Loppersum,Groningen,20,Overleden,,
2021-02-04,34,Almere,Flevoland,24,Totaal,66,13300
2021-02-04,34,Almere,Flevoland,24,Ziekenhuisopname,2,246
2021-02-04,34,Almere,Flevoland,24,Overleden,0,68
2021-02-04,37,Stadskanaal,Groningen,20,Totaal,5,1533
2021-02-04,37,Stadskanaal,Groningen,20,Ziekenhuisopname,0,15
2021-02-04,37,Stadskanaal,Groningen,20,Overleden,0,9
2021-02-04,47,Veendam,Groningen,20,Totaal,9,1078
2021-02-04,47,Veendam,Groningen,20,Ziekenhuisopname,0,7
2021-02-04,47,Veendam,Groningen,20,Overleden,0,7
2021-02-04,50,Zeewolde,Flevoland,24,Totaal,1,1101
2021-02-04,50,Zeewolde,Flevoland,24,Ziekenhuisopname,0,18
2021-02-04,50,Zeewolde,Flevoland,24,Overleden,0,12
2021-02-04,59,Achtkarspelen,Friesland,21,Totaal,16,1278
2021-02-04,59,Achtkarspelen,Friesland,21,Ziekenhuisopname,0,10
2021-02-04,59,Achtkarspelen,Friesland,21,Overleden,2,17
2021-02-04,60,Ameland,Friesland,21,Totaal,0,135
2021-02-04,60,Ameland,Friesland,21,Ziekenhuisopname,0,0
2021-02-04,60,Ameland,Friesland,21,Overleden,0,0
2021-02-04,72,Harlingen,Friesland,21,Totaal,2,314
2021-02-04,72,Harlingen,Friesland,21,Ziekenhuisopname,0,5
2021-02-04,72,Harlingen,Friesland,21,Overleden,0,2
2021-02-04,74,Heerenveen,Friesland,21,Totaal,10,1432
2021-02-04,74,Heerenveen,Friesland,21,Ziekenhuisopname,0,21
2021-02-04,74,Heerenveen,Friesland,21,Overleden,0,26
2021-02-04,80,Leeuwarden,Friesland,21,Totaal,24,3866
2021-02-04,80,Leeuwarden,Friesland,21,Ziekenhuisopname,0,63
2021-02-04,80,Leeuwarden,Friesland,21,Overleden,0,39
2021-02-04,85,Ooststellingwerf,Friesland,21,Totaal,6,697
2021-02-04,85,Ooststellingwerf,Friesland,21,Ziekenhuisopname,0,12
2021-02-04,85,Ooststellingwerf,Friesland,21,Overleden,0,5
2021-02-04,86,Opsterland,Friesland,21,Totaal,7,886
2021-02-04,86,Opsterland,Friesland,21,Ziekenhuisopname,0,19
2021-02-04,86,Opsterland,Friesland,21,Overleden,1,4
2021-02-04,88,Schiermonnikoog,Friesland,21,Totaal,0,10
2021-02-04,88,Schiermonnikoog,Friesland,21,Ziekenhuisopname,0,1
2021-02-04,88,Schiermonnikoog,Friesland,21,Overleden,0,0
2021-02-04,90,Smallingerland,Friesland,21,Totaal,14,1708
2021-02-04,90,Smallingerland,Friesland,21,Ziekenhuisopname,0,23
2021-02-04,90,Smallingerland,Friesland,21,Overleden,0,23
2021-02-04,93,Terschelling,Friesland,21,Totaal,0,158
2021-02-04,93,Terschelling,Friesland,21,Ziekenhuisopname,0,1
2021-02-04,93,Terschelling,Friesland,21,Overleden,0,1
2021-02-04,96,Vlieland,Friesland,21,Totaal,0,36
2021-02-04,96,Vlieland,Friesland,21,Ziekenhuisopname,0,0
2021-02-04,96,Vlieland,Friesland,21,Overleden,0,0
2021-02-04,98,Weststellingwerf,Friesland,21,Totaal,12,818
2021-02-04,98,Weststellingwerf,Friesland,21,Ziekenhuisopname,0,9
2021-02-04,98,Weststellingwerf,Friesland,21,Overleden,0,13
2021-02-04,106,Assen,Drenthe,22,Totaal,16,1951
2021-02-04,106,Assen,Drenthe,22,Ziekenhuisopname,0,36
2021-02-04,106,Assen,Drenthe,22,Overleden,0,11
2021-02-04,109,Coevorden,Drenthe,22,Totaal,14,1713
2021-02-04,109,Coevorden,Drenthe,22,Ziekenhuisopname,1,39
2021-02-04,109,Coevorden,Drenthe,22,Overleden,0,20
2021-02-04,114,Emmen,Drenthe,22,Totaal,36,4772
2021-02-04,114,Emmen,Drenthe,22,Ziekenhuisopname,1,81
2021-02-04,114,Emmen,Drenthe,22,Overleden,1,50
2021-02-04,118,Hoogeveen,Drenthe,22,Totaal,23,2942
2021-02-04,118,Hoogeveen,Drenthe,22,Ziekenhuisopname,0,50
2021-02-04,118,Hoogeveen,Drenthe,22,Overleden,1,35
2021-02-04,119,Meppel,Drenthe,22,Totaal,5,1371
2021-02-04,119,Meppel,Drenthe,22,Ziekenhuisopname,0,20
2021-02-04,119,Meppel,Drenthe,22,Overleden,0,23
2021-02-04,141,Almelo,Overijssel,23,Totaal,17,5097
2021-02-04,141,Almelo,Overijssel,23,Ziekenhuisopname,0,76
2021-02-04,141,Almelo,Overijssel,23,Overleden,0,48
2021-02-04,147,Borne,Overijssel,23,Totaal,9,1680
2021-02-04,147,Borne,Overijssel,23,Ziekenhuisopname,0,28
2021-02-04,147,Borne,Overijssel,23,Overleden,0,33
2021-02-04,148,Dalfsen,Overijssel,23,Totaal,5,1440
2021-02-04,148,Dalfsen,Overijssel,23,Ziekenhuisopname,0,20
2021-02-04,148,Dalfsen,Overijssel,23,Overleden,0,18
