Datum,Gemeentecode,Gemeentenaam,Provincienaam,Provinciecode,Type,Aantal,AantalCumulatief
2021-01-02,-1,,,-1,Totaal,25,3725
2021-01-02,-1,,,-1,Ziekenhuisopname,0,113
2021-01-02,-1,,,-1,Overleden,0,34
2021-01-02,3,Appingedam,Groningen,20,Totaal,3,305
2021-01-02,3,Appingedam,Groningen,20,Ziekenhuisopname,0,9
2021-01-02,3,Appingedam,Groningen,20,Overleden,0,1
2021-01-02,10,Delfzijl,Groningen,20,Totaal,11,718
2021-01-02,10,Delfzijl,Groningen,20,Ziekenhuisopname,1,14
2021-01-02,10,Delfzijl,Groningen,20,Overleden,2,5
2021-01-02,14,Groningen,Groningen,20,Totaal,56,6427
2021-01-02,14,Groningen,Groningen,20,Ziekenhuisopname,0,52
2021-01-02,14,Groningen,Groningen,20,Overleden,0,17
2021-01-02,24,Loppersum,Groningen,20,Totaal,6,201
2021-01-02,24,Loppersum,Groningen,20,Ziekenhuisopname,0,2
2021-01-02,24,Loppersum,Groningen,20,Overleden,0,0
2021-01-02,34,Almere,Flevoland,24,Totaal,188,10907
2021-01-02,34,Almere,Flevoland,24,Ziekenhuisopname,0,219
2021-01-02,34,Almere,Flevoland,24,Overleden,0,52
2021-01-02,37,Stadskanaal,Groningen,20,Totaal,6,1231
2021-01-02,37,Stadskanaal,Groningen,20,Ziekenhuisopname,0,15
2021-01-02,37,Stadskanaal,Groningen,20,Overleden,0,8
2021-01-02,47,Veendam,Groningen,20,Totaal,10,674
2021-01-02,47,Veendam,Groningen,20,Ziekenhuisopname,0,4
2021-01-02,47,Veendam,Groningen,20,Overleden,0,4
2021-01-02,50,Zeewolde,Flevoland,24,Totaal,18,850
2021-01-02,50,Zeewolde,Flevoland,24,Ziekenhuisopname,0,17
2021-01-02,50,Zeewolde,Flevoland,24,Overleden,0,9
2021-01-02,59,Achtkarspelen,Friesland,21,Totaal,11,631
2021-01-02,59,Achtkarspelen,Friesland,21,Ziekenhuisopname,0,2
2021-01-02,59,Achtkarspelen,Friesland,21,Overleden,1,1
2021-01-02,60,Ameland,Friesland,21,Totaal,2,124
2021-01-02,60,Ameland,Friesland,21,Ziekenhuisopname,0,0
2021-01-02,60,Ameland,Friesland,21,Overleden,0,0
2021-01-02,72,Harlingen,Friesland,21,Totaal,3,230
2021-01-02,72,Harlingen,Friesland,21,Ziekenhuisopname,0,5
2021-01-02,72,Harlingen,Friesland,21,Overleden,0,2
2021-01-02,74,Heerenveen,Friesland,21,Totaal,22,961
2021-01-02,74,Heerenveen,Friesland,21,Ziekenhuisopname,0,19
2021-01-02,74,Heerenveen,Friesland,21,Overleden,0,24
2021-01-02,80,Leeuwarden,Friesland,21,Totaal,61,2987
2021-01-02,80,Leeuwarden,Friesland,21,Ziekenhuisopname,1,58
2021-01-02,80,Leeuwarden,Friesland,21,Overleden,0,23
2021-01-02,85,Ooststellingwerf,Friesland,21,Totaal,6,511
2021-01-02,85,Ooststellingwerf,Friesland,21,Ziekenhuisopname,0,10
2021-01-02,85,Ooststellingwerf,Friesland,21,Overleden,0,1
2021-01-02,86,Opsterland,Friesland,21,Totaal,18,532
2021-01-02,86,Opsterland,Friesland,21,Ziekenhuisopname,0,15
2021-01-02,86,Opsterland,Friesland,21,Overleden,0,1
2021-01-02,88,Schiermonnikoog,Friesland,21,Totaal,0,7
2021-01-02,88,Schiermonnikoog,Friesland,21,Ziekenhuisopname,0,1
2021-01-02,88,Schiermonnikoog,Friesland,21,Overleden,0,0
2021-01-02,90,Smallingerland,Friesland,21,Totaal,14,1065
2021-01-02,90,Smallingerland,Friesland,21,Ziekenhuisopname,0,16
2021-01-02,90,Smallingerland,Friesland,21,Overleden,0,14
2021-01-02,93,Terschelling,Friesland,21,Totaal,6,97
2021-01-02,93,Terschelling,Friesland,21,Ziekenhuisopname,0,1
