Datum,Gemeentecode,Gemeentenaam,Provincienaam,Provinciecode,Type,Aantal,AantalCumulatief
2020-12-13,-1,,,-1,Totaal,63,3249
2020-12-13,-1,,,-1,Ziekenhuisopname,0,109
2020-12-13,-1,,,-1,Overleden,0,32
2020-12-13,3,Appingedam,Groningen,20,Totaal,10,188
2020-12-13,3,Appingedam,Groningen,20,Ziekenhuisopname,0,9
2020-12-13,3,Appingedam,Groningen,20,Overleden,0,1
2020-12-13,10,Delfzijl,Groningen,20,Totaal,12,389
2020-12-13,10,Delfzijl,Groningen,20,Ziekenhuisopname,0,9
2020-12-13,10,Delfzijl,Groningen,20,Overleden,0,1
2020-12-13,14,Groningen,Groningen,20,Totaal,65,4963
2020-12-13,14,Groningen,Groningen,20,Ziekenhuisopname,1,40
2020-12-13,14,Groningen,Groningen,20,Overleden,0,9
2020-12-13,24,Loppersum,Groningen,20,Totaal,1,125
2020-12-13,24,Loppersum,Groningen,20,Ziekenhuisopname,0,1
2020-12-13,24,Loppersum,Groningen,20,Overleden,0,0
2020-12-13,34,Almere,Flevoland,24,Totaal,164,7602
2020-12-13,34,Almere,Flevoland,24,Ziekenhuisopname,0,193
2020-12-13,34,Almere,Flevoland,24,Overleden,1,51
2020-12-13,37,Stadskanaal,Groningen,20,Totaal,21,827
2020-12-13,37,Stadskanaal,Groningen,20,Ziekenhuisopname,1,12
2020-12-13,37,Stadskanaal,Groningen,20,Overleden,0,8
2020-12-13,47,Veendam,Groningen,20,Totaal,14,380
2020-12-13,47,Veendam,Groningen,20,Ziekenhuisopname,0,4
2020-12-13,47,Veendam,Groningen,20,Overleden,0,2
2020-12-13,50,Zeewolde,Flevoland,24,Totaal,8,482
2020-12-13,50,Zeewolde,Flevoland,24,Ziekenhuisopname,0,16
2020-12-13,50,Zeewolde,Flevoland,24,Overleden,0,7
2020-12-13,59,Achtkarspelen,Friesland,21,Totaal,8,364
2020-12-13,59,Achtkarspelen,Friesland,21,Ziekenhuisopname,0,1
2020-12-13,59,Achtkarspelen,Friesland,21,Overleden,0,0
2020-12-13,60,Ameland,Friesland,21,Totaal,2,57
2020-12-13,60,Ameland,Friesland,21,Ziekenhuisopname,0,0
2020-12-13,60,Ameland,Friesland,21,Overleden,0,0
2020-12-13,72,Harlingen,Friesland,21,Totaal,3,170
2020-12-13,72,Harlingen,Friesland,21,Ziekenhuisopname,0,5
2020-12-13,72,Harlingen,Friesland,21,Overleden,0,2
2020-12-13,74,Heerenveen,Friesland,21,Totaal,5,682
2020-12-13,74,Heerenveen,Friesland,21,Ziekenhuisopname,0,17
2020-12-13,74,Heerenveen,Friesland,21,Overleden,0,24
2020-12-13,80,Leeuwarden,Friesland,21,Totaal,43,2132
2020-12-13,80,Leeuwarden,Friesland,21,Ziekenhuisopname,0,54
2020-12-13,80,Leeuwarden,Friesland,21,Overleden,0,16
2020-12-13,85,Ooststellingwerf,Friesland,21,Totaal,4,387
2020-12-13,85,Ooststellingwerf,Friesland,21,Ziekenhuisopname,0,9
2020-12-13,85,Ooststellingwerf,Friesland,21,Overleden,0,1
2020-12-13,86,Opsterland,Friesland,21,Totaal,7,358
2020-12-13,86,Opsterland,Friesland,21,Ziekenhuisopname,0,14
2020-12-13,86,Opsterland,Friesland,21,Overleden,0,1
2020-12-13,88,Schiermonnikoog,Friesland,21,Totaal,0,5
2020-12-13,88,Schiermonnikoog,Friesland,21,Ziekenhuisopname,0,1
2020-12-13,88,Schiermonnikoog,Friesland,21,Overleden,0,0
2020-12-13,90,Smallingerland,Friesland,21,Totaal,11,710
2020-12-13,90,Smallingerland,Friesland,21,Ziekenhuisopname,0,14
2020-12-13,90,Smallingerland,Friesland,21,Overleden,0,12
2020-12-13,93,Terschelling,Friesland,21,Totaal,0,77
2020-12-13,93,Terschelling,Friesland,21,Ziekenhuisopname,0,1
2020-12-13,93,Terschelling,Friesland,21,Overleden,0,1
2020-12-13,96,Vlieland,Friesland,21,Totaal,0,19
2020-12-13,96,Vlieland,Friesland,21,Ziekenhuisopname,0,0
2020-12-13,96,Vlieland,Friesland,21,Overleden,0,0
2020-12-13,98,Weststellingwerf,Friesland,21,Totaal,2,419
2020-12-13,98,Weststellingwerf,Friesland,21,Ziekenhuisopname,0,5
2020-12-13,98,Weststellingwerf,Friesland,21,Overleden,0,12
2020-12-13,106,Assen,Drenthe,22,Totaal,21,1164
2020-12-13,106,Assen,Drenthe,22,Ziekenhuisopname,1,24
2020-12-13,106,Assen,Drenthe,22,Overleden,0,8
2020-12-13,109,Coevorden,Drenthe,22,Totaal,19,693
2020-12-13,109,Coevorden,Drenthe,22,Ziekenhuisopname,0,24
2020-12-13,109,Coevorden,Drenthe,22,Overleden,0,7
2020-12-13,114,Emmen,Drenthe,22,Totaal,67,2616
2020-12-13,114,Emmen,Drenthe,22,Ziekenhuisopname,0,58
2020-12-13,114,Emmen,Drenthe,22,Overleden,0,32
2020-12-13,118,Hoogeveen,Drenthe,22,Totaal,57,1161
2020-12-13,118,Hoogeveen,Drenthe,22,Ziekenhuisopname,0,35
2020-12-13,118,Hoogeveen,Drenthe,22,Overleden,0,15
2020-12-13,119,Meppel,Drenthe,22,Totaal,19,597
2020-12-13,119,Meppel,Drenthe,22,Ziekenhuisopname,0,13
2020-12-13,119,Meppel,Drenthe,22,Overleden,0,5
2020-12-13,141,Almelo,Overijssel,23,Totaal,51,3034
2020-12-13,141,Almelo,Overijssel,23,Ziekenhuisopname,2,46
2020-12-13,141,Almelo,Overijssel,23,Overleden,0,25
2020-12-13,147,Borne,Overijssel,23,Totaal,13,783
2020-12-13,147,Borne,Overijssel,23,Ziekenhuisopname,0,18
2020-12-13,147,Borne,Overijssel,23,Overleden,0,7
2020-12-13,148,Dalfsen,Overijssel,23,Totaal,20,796
2020-12-13,148,Dalfsen,Overijssel,23,Ziekenhuisopname,0,18
2020-12-13,148,Dalfsen,Overijssel,23,Overleden,0,11
2020-12-13,150,Deventer,Overijssel,23,Totaal,90,3097
2020-12-13,150,Deventer,Overijssel,23,Ziekenhuisopname,0,59
2020-12-13,150,Deventer,Overijssel,23,Overleden,0,53
2020-12-13,153,Enschede,Overijssel,23,Totaal,63,5555
2020-12-13,153,Enschede,Overijssel,23,Ziekenhuisopname,3,113
2020-12-13,153,Enschede,Overijssel,23,Overleden,0,73
2020-12-13,158,Haaksbergen,Overijssel,23,Totaal,24,1024
2020-12-13,158,Haaksbergen,Overijssel,23,Ziekenhuisopname,0,22
2020-12-13,158,Haaksbergen,Overijssel,23,Overleden,0,23
2020-12-13,160,Hardenberg,Overijssel,23,Totaal,28,1376
2020-12-13,160,Hardenberg,Overijssel,23,Ziekenhuisopname,0,33
2020-12-13,160,Hardenberg,Overijssel,23,Overleden,0,17
2020-12-13,163,Hellendoorn,Overijssel,23,Totaal,21,1276
2020-12-13,163,Hellendoorn,Overijssel,23,Ziekenhuisopname,0,16
2020-12-13,163,Hellendoorn,Overijssel,23,Overleden,0,16
2020-12-13,164,Hengelo,Overijssel,23,Totaal,37,2814
2020-12-13,164,Hengelo,Overijssel,23,Ziekenhuisopname,0,49
2020-12-13,164,Hengelo,Overijssel,23,Overleden,0,33
