Datum,Gemeentecode,Gemeentenaam,Provincienaam,Provinciecode,Type,Aantal,AantalCumulatief
2020-07-24,-1,,,-1,Totaal,-2,496
2020-07-24,-1,,,-1,Ziekenhuisopname,0,61
2020-07-24,-1,,,-1,Overleden,0,18
2020-07-24,3,Appingedam,Groningen,20,Totaal,0,5
2020-07-24,3,Appingedam,Groningen,20,Ziekenhuisopname,0,3
2020-07-24,3,Appingedam,Groningen,20,Overleden,0,0
2020-07-24,10,Delfzijl,Groningen,20,Totaal,0,18
2020-07-24,10,Delfzijl,Groningen,20,Ziekenhuisopname,0,6
2020-07-24,10,Delfzijl,Groningen,20,Overleden,0,0
2020-07-24,14,Groningen,Groningen,20,Totaal,1,179
2020-07-24,14,Groningen,Groningen,20,Ziekenhuisopname,0,18
2020-07-24,14,Groningen,Groningen,20,Overleden,0,3
2020-07-24,24,Loppersum,Groningen,20,Totaal,0,2
2020-07-24,24,Loppersum,Groningen,20,Ziekenhuisopname,0,0
2020-07-24,24,Loppersum,Groningen,20,Overleden,0,0
2020-07-24,34,Almere,Flevoland,24,Totaal,2,457
2020-07-24,34,Almere,Flevoland,24,Ziekenhuisopname,0,123
2020-07-24,34,Almere,Flevoland,24,Overleden,0,31
2020-07-24,37,Stadskanaal,Groningen,20,Totaal,0,9
2020-07-24,37,Stadskanaal,Groningen,20,Ziekenhuisopname,0,2
2020-07-24,37,Stadskanaal,Groningen,20,Overleden,0,2
2020-07-24,47,Veendam,Groningen,20,Totaal,0,8
2020-07-24,47,Veendam,Groningen,20,Ziekenhuisopname,0,2
2020-07-24,47,Veendam,Groningen,20,Overleden,0,0
2020-07-24,50,Zeewolde,Flevoland,24,Totaal,0,50
2020-07-24,50,Zeewolde,Flevoland,24,Ziekenhuisopname,0,12
2020-07-24,50,Zeewolde,Flevoland,24,Overleden,0,6
2020-07-24,59,Achtkarspelen,Friesland,21,Totaal,0,13
2020-07-24,59,Achtkarspelen,Friesland,21,Ziekenhuisopname,0,0
2020-07-24,59,Achtkarspelen,Friesland,21,Overleden,0,0
