Datum,Gemeentecode,Gemeentenaam,Provincienaam,Provinciecode,Type,Aantal,AantalCumulatief
2021-02-27,-1,,,-1,Totaal,6,3848
2021-02-27,-1,,,-1,Ziekenhuisopname,1,111
2021-02-27,-1,,,-1,Overleden,0,33
2021-02-27,3,Appingedam,Groningen,20,Totaal,,
2021-02-27,3,Appingedam,Groningen,20,Ziekenhuisopname,,
2021-02-27,3,Appingedam,Groningen,20,Overleden,,
2021-02-27,10,Delfzijl,Groningen,20,Totaal,,
2021-02-27,10,Delfzijl,Groningen,20,Ziekenhuisopname,,
2021-02-27,10,Delfzijl,Groningen,20,Overleden,,
2021-02-27,14,Groningen,Groningen,20,Totaal,119,8865
2021-02-27,14,Groningen,Groningen,20,Ziekenhuisopname,0,65
2021-02-27,14,Groningen,Groningen,20,Overleden,0,28
2021-02-27,24,Loppersum,Groningen,20,Totaal,,
2021-02-27,24,Loppersum,Groningen,20,Ziekenhuisopname,,
2021-02-27,24,Loppersum,Groningen,20,Overleden,,
2021-02-27,34,Almere,Flevoland,24,Totaal,43,14288
2021-02-27,34,Almere,Flevoland,24,Ziekenhuisopname,1,264
2021-02-27,34,Almere,Flevoland,24,Overleden,0,80
2021-02-27,37,Stadskanaal,Groningen,20,Totaal,16,1734
2021-02-27,37,Stadskanaal,Groningen,20,Ziekenhuisopname,0,15
2021-02-27,37,Stadskanaal,Groningen,20,Overleden,0,14
2021-02-27,47,Veendam,Groningen,20,Totaal,17,1241
2021-02-27,47,Veendam,Groningen,20,Ziekenhuisopname,0,7
2021-02-27,47,Veendam,Groningen,20,Overleden,0,10
2021-02-27,50,Zeewolde,Flevoland,24,Totaal,3,1172
2021-02-27,50,Zeewolde,Flevoland,24,Ziekenhuisopname,0,20
2021-02-27,50,Zeewolde,Flevoland,24,Overleden,0,13
2021-02-27,59,Achtkarspelen,Friesland,21,Totaal,12,1551
2021-02-27,59,Achtkarspelen,Friesland,21,Ziekenhuisopname,1,15
2021-02-27,59,Achtkarspelen,Friesland,21,Overleden,1,31
2021-02-27,60,Ameland,Friesland,21,Totaal,0,143
2021-02-27,60,Ameland,Friesland,21,Ziekenhuisopname,0,0
2021-02-27,60,Ameland,Friesland,21,Overleden,0,0
2021-02-27,72,Harlingen,Friesland,21,Totaal,4,393
2021-02-27,72,Harlingen,Friesland,21,Ziekenhuisopname,0,6
2021-02-27,72,Harlingen,Friesland,21,Overleden,0,3
2021-02-27,74,Heerenveen,Friesland,21,Totaal,17,1643
2021-02-27,74,Heerenveen,Friesland,21,Ziekenhuisopname,3,25
2021-02-27,74,Heerenveen,Friesland,21,Overleden,0,33
2021-02-27,80,Leeuwarden,Friesland,21,Totaal,23,4646
2021-02-27,80,Leeuwarden,Friesland,21,Ziekenhuisopname,0,80
2021-02-27,80,Leeuwarden,Friesland,21,Overleden,0,59
2021-02-27,85,Ooststellingwerf,Friesland,21,Totaal,6,807
2021-02-27,85,Ooststellingwerf,Friesland,21,Ziekenhuisopname,0,13
2021-02-27,85,Ooststellingwerf,Friesland,21,Overleden,0,6
2021-02-27,86,Opsterland,Friesland,21,Totaal,9,1011
2021-02-27,86,Opsterland,Friesland,21,Ziekenhuisopname,0,21
2021-02-27,86,Opsterland,Friesland,21,Overleden,0,5
