Datum,Gemeentecode,Gemeentenaam,Provincienaam,Provinciecode,Type,Aantal,AantalCumulatief
2021-03-28,-1,,,-1,Totaal,11,4620
2021-03-28,-1,,,-1,Ziekenhuisopname,0,121
2021-03-28,-1,,,-1,Overleden,0,34
2021-03-28,3,Appingedam,Groningen,20,Totaal,,
2021-03-28,3,Appingedam,Groningen,20,Ziekenhuisopname,,
2021-03-28,3,Appingedam,Groningen,20,Overleden,,
2021-03-28,10,Delfzijl,Groningen,20,Totaal,,
2021-03-28,10,Delfzijl,Groningen,20,Ziekenhuisopname,,
2021-03-28,10,Delfzijl,Groningen,20,Overleden,,
2021-03-28,14,Groningen,Groningen,20,Totaal,41,10489
2021-03-28,14,Groningen,Groningen,20,Ziekenhuisopname,0,75
2021-03-28,14,Groningen,Groningen,20,Overleden,0,36
2021-03-28,24,Loppersum,Groningen,20,Totaal,,
2021-03-28,24,Loppersum,Groningen,20,Ziekenhuisopname,,
2021-03-28,24,Loppersum,Groningen,20,Overleden,,
2021-03-28,34,Almere,Flevoland,24,Totaal,64,16060
2021-03-28,34,Almere,Flevoland,24,Ziekenhuisopname,1,295
2021-03-28,34,Almere,Flevoland,24,Overleden,0,93
2021-03-28,37,Stadskanaal,Groningen,20,Totaal,10,1985
2021-03-28,37,Stadskanaal,Groningen,20,Ziekenhuisopname,0,17
2021-03-28,37,Stadskanaal,Groningen,20,Overleden,0,16
2021-03-28,47,Veendam,Groningen,20,Totaal,6,1471
2021-03-28,47,Veendam,Groningen,20,Ziekenhuisopname,1,9
2021-03-28,47,Veendam,Groningen,20,Overleden,0,10
2021-03-28,50,Zeewolde,Flevoland,24,Totaal,7,1313
2021-03-28,50,Zeewolde,Flevoland,24,Ziekenhuisopname,0,20
2021-03-28,50,Zeewolde,Flevoland,24,Overleden,0,13
2021-03-28,59,Achtkarspelen,Friesland,21,Totaal,4,1746
2021-03-28,59,Achtkarspelen,Friesland,21,Ziekenhuisopname,0,18
2021-03-28,59,Achtkarspelen,Friesland,21,Overleden,0,36
2021-03-28,60,Ameland,Friesland,21,Totaal,0,146
2021-03-28,60,Ameland,Friesland,21,Ziekenhuisopname,0,0
2021-03-28,60,Ameland,Friesland,21,Overleden,0,0
2021-03-28,72,Harlingen,Friesland,21,Totaal,5,539
2021-03-28,72,Harlingen,Friesland,21,Ziekenhuisopname,0,7
2021-03-28,72,Harlingen,Friesland,21,Overleden,0,3
2021-03-28,74,Heerenveen,Friesland,21,Totaal,12,1958
2021-03-28,74,Heerenveen,Friesland,21,Ziekenhuisopname,0,28
2021-03-28,74,Heerenveen,Friesland,21,Overleden,0,35
2021-03-28,80,Leeuwarden,Friesland,21,Totaal,37,5644
2021-03-28,80,Leeuwarden,Friesland,21,Ziekenhuisopname,1,83
2021-03-28,80,Leeuwarden,Friesland,21,Overleden,0,65
2021-03-28,85,Ooststellingwerf,Friesland,21,Totaal,20,1020
2021-03-28,85,Ooststellingwerf,Friesland,21,Ziekenhuisopname,0,13
2021-03-28,85,Ooststellingwerf,Friesland,21,Overleden,0,6
2021-03-28,86,Opsterland,Friesland,21,Totaal,10,1195
2021-03-28,86,Opsterland,Friesland,21,Ziekenhuisopname,0,25
2021-03-28,86,Opsterland,Friesland,21,Overleden,0,7
2021-03-28,88,Schiermonnikoog,Friesland,21,Totaal,0,43
2021-03-28,88,Schiermonnikoog,Friesland,21,Ziekenhuisopname,0,1
2021-03-28,88,Schiermonnikoog,Friesland,21,Overleden,0,2
2021-03-28,90,Smallingerland,Friesland,21,Totaal,32,2520
2021-03-28,90,Smallingerland,Friesland,21,Ziekenhuisopname,0,29
2021-03-28,90,Smallingerland,Friesland,21,Overleden,0,32
2021-03-28,93,Terschelling,Friesland,21,Totaal,2,197
2021-03-28,93,Terschelling,Friesland,21,Ziekenhuisopname,0,3
