Datum,Gemeentecode,Gemeentenaam,Provincienaam,Provinciecode,Type,Aantal,AantalCumulatief
2021-01-30,-1,,,-1,Totaal,-21,3618
2021-01-30,-1,,,-1,Ziekenhuisopname,0,107
2021-01-30,-1,,,-1,Overleden,0,32
2021-01-30,3,Appingedam,Groningen,20,Totaal,,
2021-01-30,3,Appingedam,Groningen,20,Ziekenhuisopname,,
2021-01-30,3,Appingedam,Groningen,20,Overleden,,
2021-01-30,10,Delfzijl,Groningen,20,Totaal,,
2021-01-30,10,Delfzijl,Groningen,20,Ziekenhuisopname,,
2021-01-30,10,Delfzijl,Groningen,20,Overleden,,
2021-01-30,14,Groningen,Groningen,20,Totaal,37,7751
2021-01-30,14,Groningen,Groningen,20,Ziekenhuisopname,0,61
2021-01-30,14,Groningen,Groningen,20,Overleden,0,25
2021-01-30,24,Loppersum,Groningen,20,Totaal,,
2021-01-30,24,Loppersum,Groningen,20,Ziekenhuisopname,,
2021-01-30,24,Loppersum,Groningen,20,Overleden,,
2021-01-30,34,Almere,Flevoland,24,Totaal,50,13043
2021-01-30,34,Almere,Flevoland,24,Ziekenhuisopname,1,244
2021-01-30,34,Almere,Flevoland,24,Overleden,0,68
2021-01-30,37,Stadskanaal,Groningen,20,Totaal,7,1503
2021-01-30,37,Stadskanaal,Groningen,20,Ziekenhuisopname,0,15
2021-01-30,37,Stadskanaal,Groningen,20,Overleden,0,9
2021-01-30,47,Veendam,Groningen,20,Totaal,16,1053
2021-01-30,47,Veendam,Groningen,20,Ziekenhuisopname,0,7
2021-01-30,47,Veendam,Groningen,20,Overleden,0,7
2021-01-30,50,Zeewolde,Flevoland,24,Totaal,5,1068
2021-01-30,50,Zeewolde,Flevoland,24,Ziekenhuisopname,0,18
2021-01-30,50,Zeewolde,Flevoland,24,Overleden,0,12
2021-01-30,59,Achtkarspelen,Friesland,21,Totaal,12,1197
2021-01-30,59,Achtkarspelen,Friesland,21,Ziekenhuisopname,1,7
2021-01-30,59,Achtkarspelen,Friesland,21,Overleden,0,9
2021-01-30,60,Ameland,Friesland,21,Totaal,0,134
2021-01-30,60,Ameland,Friesland,21,Ziekenhuisopname,0,0
2021-01-30,60,Ameland,Friesland,21,Overleden,0,0
2021-01-30,72,Harlingen,Friesland,21,Totaal,1,309
2021-01-30,72,Harlingen,Friesland,21,Ziekenhuisopname,0,5
2021-01-30,72,Harlingen,Friesland,21,Overleden,0,2
2021-01-30,74,Heerenveen,Friesland,21,Totaal,8,1396
2021-01-30,74,Heerenveen,Friesland,21,Ziekenhuisopname,0,21
2021-01-30,74,Heerenveen,Friesland,21,Overleden,0,25
2021-01-30,80,Leeuwarden,Friesland,21,Totaal,28,3758
2021-01-30,80,Leeuwarden,Friesland,21,Ziekenhuisopname,0,63
2021-01-30,80,Leeuwarden,Friesland,21,Overleden,0,33
2021-01-30,85,Ooststellingwerf,Friesland,21,Totaal,4,679
2021-01-30,85,Ooststellingwerf,Friesland,21,Ziekenhuisopname,0,11
2021-01-30,85,Ooststellingwerf,Friesland,21,Overleden,0,5
2021-01-30,86,Opsterland,Friesland,21,Totaal,10,855
2021-01-30,86,Opsterland,Friesland,21,Ziekenhuisopname,0,18
2021-01-30,86,Opsterland,Friesland,21,Overleden,0,3
2021-01-30,88,Schiermonnikoog,Friesland,21,Totaal,0,10
2021-01-30,88,Schiermonnikoog,Friesland,21,Ziekenhuisopname,0,1
2021-01-30,88,Schiermonnikoog,Friesland,21,Overleden,0,0
2021-01-30,90,Smallingerland,Friesland,21,Totaal,15,1639
2021-01-30,90,Smallingerland,Friesland,21,Ziekenhuisopname,0,23
2021-01-30,90,Smallingerland,Friesland,21,Overleden,2,23
2021-01-30,93,Terschelling,Friesland,21,Totaal,0,157
2021-01-30,93,Terschelling,Friesland,21,Ziekenhuisopname,0,1
2021-01-30,93,Terschelling,Friesland,21,Overleden,0,1
2021-01-30,96,Vlieland,Friesland,21,Totaal,0,36
2021-01-30,96,Vlieland,Friesland,21,Ziekenhuisopname,0,0
2021-01-30,96,Vlieland,Friesland,21,Overleden,0,0
2021-01-30,98,Weststellingwerf,Friesland,21,Totaal,6,778
2021-01-30,98,Weststellingwerf,Friesland,21,Ziekenhuisopname,0,9
2021-01-30,98,Weststellingwerf,Friesland,21,Overleden,0,13
2021-01-30,106,Assen,Drenthe,22,Totaal,5,1900
2021-01-30,106,Assen,Drenthe,22,Ziekenhuisopname,0,36
2021-01-30,106,Assen,Drenthe,22,Overleden,0,11
2021-01-30,109,Coevorden,Drenthe,22,Totaal,21,1649
