Gemnr;Gemeente;Meldingen;Zkh opname;BevAant;Meldingen per 100.000;Zkh opname per 100.000
530;Hellevoetsluis;39;11;40158;97.1;27.4
794;Helmond;170;59;92432;183.9;63.8
531;Hendrik-Ido-Ambacht;17;5;31204;54.5;16
164;Hengelo;72;14;81147;88.7;17.3
1966;Het Hogeland;20;7;47834;41.8;14.6
252;Heumen;37;15;16450;224.9;91.2
797;Heusden;68;35;44699;152.1;78.3
534;Hillegom;16;5;22208;72;22.5
798;Hilvarenbeek;23;6;15514;148.3;38.7
402;Hilversum;45;18;90883;49.5;19.8
1963;Hoeksche Waard;127;60;87461;145.2;68.6
1735;Hof van Twente;34;13;35013;97.1;37.1
1911;Hollands Kroon;42;26;48434;86.7;53.7
118;Hoogeveen;31;10;55697;55.7;18
405;Hoorn;45;22;73232;61.4;30
1507;Horst aan de Maas;67;38;42433;157.9;89.6
321;Houten;71;17;50146;141.6;33.9
406;Huizen;35;16;41273;84.8;38.8
677;Hulst;20;6;27556;72.6;21.8
353;IJsselstein;57;28;34110;167.1;82.1
1884;Kaag en Braassem;13;5;27300;47.6;18.3
166;Kampen;150;47;54340;276;86.5
678;Kapelle;13;1;12691;102.4;7.9
537;Katwijk;62;17;65754;94.3;25.9
928;Kerkrade;76;44;45744;166.1;96.2
1598;Koggenland;21;6;22752;92.3;26.4
542;Krimpen aan den IJssel;33;5;29533;111.7;16.9
1931;Krimpenerwaard;75;35;56319;133.2;62.1
1659;Laarbeek;67;27;22530;297.4;119.8
1685;Landerd;80;28;15730;508.6;178
882;Landgraaf;69;34;37457;184.2;90.8
415;Landsmeer;17;3;11492;147.9;26.1
416;Langedijk;29;15;28157;103;53.3
1621;Lansingerland;102;29;62396;163.5;46.5
417;Laren;18;8;11274;159.7;71
80;Leeuwarden;42;29;124058;33.9;23.4
546;Leiden;78;27;125174;62.3;21.6
547;Leiderdorp;14;8;27059;51.7;29.6
1916;Leidschendam-Voorburg;46;16;76553;60.1;20.9
995;Lelystad;59;37;78619;75;47.1
1640;Leudal;89;51;35896;247.9;142.1
327;Leusden;29;7;30399;95.4;23
1705;Lingewaard;46;22;46606;98.7;47.2
553;Lisse;12;5;22957;52.3;21.8
262;Lochem;24;6;33730;71.2;17.8
809;Loon op Zand;37;20;23407;158.1;85.4
331;Lopik;26;15;14471;179.7;103.7
24;Loppersum;2;0;9533;21;0
168;Losser;13;6;22685;57.3;26.4
263;Maasdriel;19;14;25034;75.9;55.9
1641;Maasgouw;42;21;23960;175.3;87.6
556;Maassluis;31;13;33216;93.3;39.1
935;Maastricht;337;116;121558;277.2;95.4
420;Medemblik;37;14;45104;82;31
938;Meerssen;36;11;18832;191.2;58.4
1948;Meierijstad;348;160;81197;428.6;197.1
119;Meppel;21;5;33902;61.9;14.7
687;Middelburg;31;13;48810;63.5;26.6
1842;Midden-Delfland;11;3;19344;56.9;15.5
1731;Midden-Drenthe;14;6;33182;42.2;18.1
1952;Midden-Groningen;13;4;60804;21.4;6.6
815;Mill en Sint Hubert;14;9;10941;128;82.3
1709;Moerdijk;31;9;37136;83.5;24.2
1978;Molenlanden;60;15;43931;136.6;34.1
1955;Montferland;22;6;36009;61.1;16.7
335;Montfoort;29;12;13920;208.3;86.2
944;Mook en Middelaar;17;4;7847;216.6;51
1740;Neder-Betuwe;53;30;24342;217.7;123.2
946;Nederweert;36;25;17022;211.5;146.9
356;Nieuwegein;59;29;63461;93;45.7
