Gemnr;Gemeente;Meldingen;Zkh opname;BevAant;Meldingen per 100.000;Zkh opname per 100.000
796;'s-Hertogenbosch;292;106;155113;188.2;68.3
1680;Aa en Hunze;9;1;25453;35.4;3.9
358;Aalsmeer;29;7;31857;91;22
197;Aalten;27;2;27117;99.6;7.4
59;Achtkarspelen;5;0;27836;18;0
482;Alblasserdam;26;8;20165;128.9;39.7
613;Albrandswaard;57;8;25589;222.8;31.3
361;Alkmaar;164;47;109444;149.8;42.9
141;Almelo;64;18;73080;87.6;24.6
34;Almere;171;94;211840;80.7;44.4
484;Alphen aan den Rijn;105;49;111889;93.8;43.8
1723;Alphen-Chaam;40;15;10213;391.7;146.9
1959;Altena;85;25;55980;151.8;44.7
60;Ameland;0;0;3718;0;0
307;Amersfoort;117;48;157279;74.4;30.5
362;Amstelveen;201;42;91691;219.2;45.8
363;Amsterdam;1190;368;872779;136.3;42.2
200;Apeldoorn;174;38;163829;106.2;23.2
3;Appingedam;2;2;11644;17.2;17.2
202;Arnhem;160;50;161368;99.2;31
106;Assen;29;10;68606;42.3;14.6
743;Asten;39;12;16734;233.1;71.7
744;Baarle-Nassau;4;1;6860;58.3;14.6
308;Baarn;25;8;24873;100.5;32.2
489;Barendrecht;69;28;48713;141.6;57.5
203;Barneveld;75;12;59077;127;20.3
888;Beek;25;13;15868;157.5;81.9
1954;Beekdaelen;68;36;35976;189;100.1
370;Beemster;8;4;10025;79.8;39.9
889;Beesel;31;19;13483;229.9;140.9
1945;Berg en Dal;123;29;34990;351.5;82.9
1724;Bergeijk;33;12;18638;177.1;64.4
893;Bergen (L.);10;6;13085;76.4;45.9
373;Bergen (NH.);45;16;29844;150.8;53.6
748;Bergen op Zoom;55;17;67489;81.5;25.2
1859;Berkelland;31;3;43748;70.9;6.9
1721;Bernheze;194;76;31247;620.9;243.2
753;Best;45;31;29985;150.1;103.4
209;Beuningen;40;18;25891;154.5;69.5
375;Beverwijk;55;15;41613;132.2;36
1728;Bladel;38;15;20395;186.3;73.5
376;Blaricum;17;5;11536;147.4;43.3
377;Bloemendaal;37;5;23570;157;21.2
1901;Bodegraven-Reeuwijk;28;7;34869;80.3;20.1
755;Boekel;80;31;10784;741.8;287.5
1681;Borger-Odoorn;4;2;25558;15.7;7.8
147;Borne;40;13;23313;171.6;55.8
654;Borsele;18;4;22738;79.2;17.6
756;Boxmeer;65;17;29371;221.3;57.9
757;Boxtel;39;17;30803;126.6;55.2
758;Breda;364;137;184271;197.5;74.3
501;Brielle;23;11;17282;133.1;63.7
1876;Bronckhorst;28;5;36052;77.7;13.9
213;Brummen;23;9;20756;110.8;43.4
899;Brunssum;53;32;27817;190.5;115
312;Bunnik;19;7;15191;125.1;46.1
313;Bunschoten;26;4;21867;118.9;18.3
214;Buren;22;7;26742;82.3;26.2
502;Capelle aan den IJssel;159;31;67151;236.8;46.2
383;Castricum;54;13;35988;150.1;36.1
109;Coevorden;40;9;35296;113.3;25.5
1706;Cranendonck;125;57;21166;590.6;269.3
1684;Cuijk;39;9;25139;155.1;35.8
216;Culemborg;38;20;28956;131.2;69.1
148;Dalfsen;52;15;28585;181.9;52.5
1891;Dantumadiel;6;2;18916;31.7;10.6
310;De Bilt;77;19;43124;178.6;44.1
