Gemnr;Gemeente;Aantal;BevAant;Aantal per 100.000 inwoners
396;Heemskerk;3;39164;7.7
397;Heemstede;5;27286;18.3
246;Heerde;4;18546;21.6
74;Heerenveen;0;50257;0
398;Heerhugowaard;2;56742;3.5
917;Heerlen;15;86832;17.3
1658;Heeze-Leende;4;15964;25.1
399;Heiloo;3;23464;12.8
163;Hellendoorn;2;35808;5.6
530;Hellevoetsluis;1;40049;2.5
794;Helmond;22;91524;24
531;Hendrik-Ido-Ambacht;0;30966;0
164;Hengelo (O);4;80683;5
1966;Het Hogeland;0;47888;0
252;Heumen;6;16486;36.4
797;Heusden;6;44135;13.6
534;Hillegom;1;21966;4.6
798;Hilvarenbeek;4;15334;26.1
402;Hilversum;3;90238;3.3
1963;Hoeksche Waard;12;86656;13.8
1735;Hof van Twente;3;34940;8.6
1911;Hollands Kroon;3;47815;6.3
118;Hoogeveen;3;55662;5.4
405;Hoorn;2;73004;2.7
1507;Horst aan de Maas;10;42291;23.6
321;Houten;17;49911;34.1
406;Huizen;3;41273;7.3
677;Hulst;0;27524;0
353;IJsselstein;8;34160;23.4
1884;Kaag en Braassem;1;26866;3.7
166;Kampen;2;53779;3.7
678;Kapelle;2;12785;15.6
537;Katwijk;2;65302;3.1
928;Kerkrade;3;45642;6.6
1598;Koggenland;1;22738;4.4
542;Krimpen aan den IJssel;2;29376;6.8
1931;Krimpenerwaard;5;56048;8.9
1659;Laarbeek;4;22333;17.9
1685;Landerd;18;15529;115.9
882;Landgraaf;7;37591;18.6
415;Landsmeer;3;11488;26.1
416;Langedijk;4;27992;14.3
1621;Lansingerland;13;61601;21.1
417;Laren;0;11195;0
80;Leeuwarden;5;123107;4.1
546;Leiden;12;124899;9.6
547;Leiderdorp;2;27109;7.4
1916;Leidschendam-Voorburg;6;75425;8
995;Lelystad;13;77893;16.7
1640;Leudal;13;35681;36.4
327;Leusden;4;30030;13.3
1705;Lingewaard;5;46475;10.8
553;Lisse;0;22800;0
262;Lochem;1;33590;3
809;Loon op Zand;11;23327;47.2
331;Lopik;3;14473;20.7
24;Loppersum;0;9614;0
168;Losser;0;22622;0
263;Maasdriel;1;24693;4
1641;Maasgouw;5;23716;21.1
556;Maassluis;2;32768;6.1
935;Maastricht;42;121565;34.5
420;Medemblik;0;44809;0
938;Meerssen;2;18923;10.6
1948;Meierijstad;72;80815;89.1
119;Meppel;0;33564;0
687;Middelburg;3;48544;6.2
1842;Midden-Delfland;1;19391;5.2
1731;Midden-Drenthe;1;33178;3
1952;Midden-Groningen;2;60899;3.3
815;Mill en Sint Hubert;2;10891;18.4
1709;Moerdijk;2;36961;5.4
1978;Molenlanden;9;43858;20.5
1955;Montferland;1;36026;2.8
335;Montfoort;0;13996;0
944;Mook en Middelaar;1;7806;12.8
1740;Neder-Betuwe;4;24034;16.6
946;Nederweert;7;17001;41.2
356;Nieuwegein;6;63036;9.5
569;Nieuwkoop;1;28628;3.5
267;Nijkerk;2;42943;4.7
268;Nijmegen;48;176731;27.2
1930;Nissewaard;7;84797;8.3
1970;Noardeast-Fryslân;1;45181;2.2
1695;Noord-Beveland;0;7308;0
1699;Noordenveld;1;31290;3.2
171;Noordoostpolder;2;46849;4.3
575;Noordwijk;3;42859;7
820;Nuenen, Gerwen en Nederwetten;1;23186;4.3
302;Nunspeet;3;27481;10.9
579;Oegstgeest;5;24426;20.5
823;Oirschot;1;18623;5.4
824;Oisterwijk;10;26140;38.3
1895;Oldambt;0;38129;0
269;Oldebroek;5;23598;21.2
173;Oldenzaal;3;31840;9.4
1773;Olst-Wijhe;0;18071;0
175;Ommen;2;17813;11.2
1586;Oost Gelre;0;29704;0
826;Oosterhout;9;55616;16.2
85;Ooststellingwerf;0;25497;0
431;Oostzaan;2;9757;20.5
432;Opmeer;0;11779;0
86;Opsterland;2;29723;6.7
828;Oss;26;91451;28.4
1509;Oude IJsselstreek;2;39473;5.1
437;Ouder-Amstel;3;13916;21.6
589;Oudewater;2;10201;19.6
1734;Overbetuwe;11;47543;23.1
590;Papendrecht;1;32290;3.1
1894;Peel en Maas;41;43311;94.7
765;Pekela;1;12214;8.2
1926;Pijnacker-Nootdorp;11;54331;20.2
439;Purmerend;7;80117;8.7
273;Putten;2;24198;8.3
177;Raalte;3;37511;8
703;Reimerswaal;4;22678;17.6
274;Renkum;8;31302;25.6
339;Renswoude;0;5259;0
1667;Reusel-De Mierden;0;13060;0
275;Rheden;4;43640;9.2
340;Rhenen;0;20004;0
597;Ridderkerk;1;46241;2.2
1742;Rijssen-Holten;0;38300;0
603;Rijswijk;3;53467;5.6
1669;Roerdalen;1;20615;4.9
957;Roermond;13;58209;22.3
1674;Roosendaal;7;77032;9.1
599;Rotterdam;81;644618;12.6
277;Rozendaal;2;1654;120.9
840;Rucphen;2;22572;8.9
441;Schagen;6;46553;12.9
279;Scherpenzeel;0;9873;0
606;Schiedam;2;77999;2.6
88;Schiermonnikoog;0;936;0
1676;Schouwen-Duiveland;2;33779;5.9
965;Simpelveld;5;10516;47.5
1702;Sint Anthonis;8;11606;68.9
845;Sint-Michielsgestel;10;28991;34.5
1883;Sittard-Geleen;51;92661;55
610;Sliedrecht;1;25026;4
1714;Sluis;2;23386;8.6
90;Smallingerland;3;55938;5.4
342;Soest;13;46194;28.1
847;Someren;3;19322;15.5
848;Son en Breugel;5;16904;29.6
37;Stadskanaal;0;31789;0
180;Staphorst;2;17003;11.8
532;Stede Broec;3;21706;13.8
851;Steenbergen;4;25054;16
1708;Steenwijkerland;1;43940;2.3
971;Stein;4;24961;16
1904;Stichtse Vecht;10;64336;15.5
1900;Súdwest-Fryslân;2;89710;2.2
715;Terneuzen;4;54589;7.3
93;Terschelling;0;4890;0
448;Texel;2;13547;14.8
1525;Teylingen;2;37061;5.4
716;Tholen;2;25780;7.8
281;Tiel;4;41978;9.5
855;Tilburg;119;217259;54.8
183;Tubbergen;3;21276;14.1
1700;Twenterand;0;33792;0
1730;Tynaarlo;4;33698;11.9
737;Tytsjerksteradiel;1;31780;3.1
856;Uden;60;41782;143.6
450;Uitgeest;0;13528;0
451;Uithoorn;2;29424;6.8
184;Urk;4;20776;19.3
344;Utrecht;83;352866;23.5
1581;Utrechtse Heuvelrug;8;49515;16.2
981;Vaals;0;10092;0
994;Valkenburg aan de Geul;2;16470;12.1
858;Valkenswaard;1;30910;3.2
47;Veendam;0;27491;0
345;Veenendaal;2;65589;3
717;Veere;1;21835;4.6
861;Veldhoven;2;45337;4.4
453;Velsen;4;68348;5.9
983;Venlo;21;101603;20.7
984;Venray;3;43326;6.9
1961;Vijfheerenlanden;7;55712;12.6
622;Vlaardingen;4;72404;5.5
96;Vlieland;0;1138;0
718;Vlissingen;5;44371;11.3
986;Voerendaal;3;12452;24.1
626;Voorschoten;1;25479;3.9
285;Voorst;1;24417;4.1
865;Vught;8;26396;30.3
1949;Waadhoeke;0;46039;0
866;Waalre;2;17247;11.6
867;Waalwijk;13;48240;26.9
627;Waddinxveen;3;28316;10.6
289;Wageningen;1;38774;2.6
629;Wassenaar;4;26211;15.3
852;Waterland;7;17315;40.4
988;Weert;0;49842;0
457;Weesp;0;19334;0
1960;West Betuwe;8;50697;15.8
668;West Maas en Waal;3;19076;15.7
1969;Westerkwartier;3;63031;4.8
1701;Westerveld;0;19348;0
293;Westervoort;0;14944;0
1950;Westerwolde;0;25199;0
1783;Westland;7;108603;6.4
98;Weststellingwerf;0;25840;0
614;Westvoorne;3;14626;20.5
189;Wierden;0;24351;0
296;Wijchen;8;40951;19.5
1696;Wijdemeren;1;24013;4.2
352;Wijk bij Duurstede;4;23762;16.8
294;Winterswijk;0;28903;0
873;Woensdrecht;0;21866;0
632;Woerden;4;52197;7.7
880;Wormerland;1;16329;6.1
351;Woudenberg;2;13166;15.2
479;Zaanstad;4;155885;2.6
297;Zaltbommel;3;28451;10.5
473;Zandvoort;1;17011;5.9
50;Zeewolde;3;22309;13.4
355;Zeist;12;63934;18.8
299;Zevenaar;3;43488;6.9
637;Zoetermeer;1;124944;0.8
638;Zoeterwoude;0;8450;0
1892;Zuidplas;0;42762;0
879;Zundert;6;21612;27.8
301;Zutphen;1;47609;2.1
1896;Zwartewaterland;5;22503;22.2
642;Zwijndrecht;6;44639;13.4
193;Zwolle;16;127497;12.5
