Gemnr;Gemeente;Meldingen;Zkh opname;Overleden;BevAant;Meldingen per 100.000;Zkh opname per 100.000;Overleden per 100.000
796;'s-Hertogenbosch;475;126;77;155113;306.2;81.2;49.6
1680;Aa en Hunze;14;1;0;25453;55;3.9;0
358;Aalsmeer;39;9;3;31857;122.4;28.3;9.4
197;Aalten;58;9;7;27117;213.9;33.2;25.8
59;Achtkarspelen;11;0;0;27836;39.5;0;0
482;Alblasserdam;42;10;4;20165;208.3;49.6;19.8
613;Albrandswaard;97;14;8;25589;379.1;54.7;31.3
361;Alkmaar;243;54;30;109444;222;49.3;27.4
141;Almelo;92;23;9;73080;125.9;31.5;12.3
34;Almere;425;123;30;211840;200.6;58.1;14.2
484;Alphen aan den Rijn;198;59;24;111889;177;52.7;21.4
1723;Alphen-Chaam;46;18;5;10213;450.4;176.2;49
1959;Altena;125;32;11;55980;223.3;57.2;19.6
60;Ameland;0;0;0;3718;0;0;0
307;Amersfoort;212;59;23;157279;134.8;37.5;14.6
362;Amstelveen;307;57;35;91691;334.8;62.2;38.2
363;Amsterdam;2364;611;275;872779;270.9;70;31.5
200;Apeldoorn;406;90;50;163829;247.8;54.9;30.5
3;Appingedam;5;3;0;11644;42.9;25.8;0
202;Arnhem;337;66;28;161368;208.8;40.9;17.4
106;Assen;42;12;2;68606;61.2;17.5;2.9
743;Asten;73;18;12;16734;436.2;107.6;71.7
744;Baarle-Nassau;25;9;2;6860;364.4;131.2;29.2
308;Baarn;58;11;9;24873;233.2;44.2;36.2
489;Barendrecht;128;40;12;48713;262.8;82.1;24.6
203;Barneveld;126;18;6;59077;213.3;30.5;10.2
888;Beek;44;15;5;15868;277.3;94.5;31.5
1954;Beekdaelen;170;52;22;35976;472.5;144.5;61.2
370;Beemster;13;4;1;10025;129.7;39.9;10
889;Beesel;41;20;8;13483;304.1;148.3;59.3
1945;Berg en Dal;161;29;16;34990;460.1;82.9;45.7
1724;Bergeijk;55;19;5;18638;295.1;101.9;26.8
893;Bergen (L.);23;7;2;13085;175.8;53.5;15.3
373;Bergen (NH.);86;16;4;29844;288.2;53.6;13.4
748;Bergen op Zoom;164;24;11;67489;243;35.6;16.3
1859;Berkelland;88;13;7;43748;201.2;29.7;16
1721;Bernheze;274;96;65;31247;876.9;307.2;208
753;Best;75;31;10;29985;250.1;103.4;33.4
209;Beuningen;73;19;5;25891;282;73.4;19.3
375;Beverwijk;77;15;10;41613;185;36;24
1728;Bladel;67;21;8;20395;328.5;103;39.2
376;Blaricum;28;8;2;11536;242.7;69.3;17.3
377;Bloemendaal;49;7;5;23570;207.9;29.7;21.2
1901;Bodegraven-Reeuwijk;57;7;1;34869;163.5;20.1;2.9
755;Boekel;89;35;21;10784;825.3;324.6;194.7
1681;Borger-Odoorn;9;4;3;25558;35.2;15.7;11.7
147;Borne;50;14;6;23313;214.5;60.1;25.7
654;Borsele;27;5;0;22738;118.7;22;0
756;Boxmeer;120;20;27;29371;408.6;68.1;91.9
757;Boxtel;102;24;24;30803;331.1;77.9;77.9
758;Breda;474;144;62;184271;257.2;78.1;33.6
501;Brielle;32;11;0;17282;185.2;63.7;0
1876;Bronckhorst;73;17;7;36052;202.5;47.2;19.4
213;Brummen;35;17;5;20756;168.6;81.9;24.1
899;Brunssum;103;44;17;27817;370.3;158.2;61.1
312;Bunnik;44;9;1;15191;289.6;59.2;6.6
313;Bunschoten;63;9;7;21867;288.1;41.2;32
214;Buren;55;16;7;26742;205.7;59.8;26.2
502;Capelle aan den IJssel;288;53;53;67151;428.9;78.9;78.9
383;Castricum;80;15;9;35988;222.3;41.7;25
109;Coevorden;57;13;2;35296;161.5;36.8;5.7
1706;Cranendonck;166;63;36;21166;784.3;297.6;170.1
