Gemnr;Gemeente;Aantal;BevAant;Aantal per 100.000 inwoners
796;'s-Hertogenbosch;80;155113;51.6
1680;Aa en Hunze;1;25453;3.9
358;Aalsmeer;7;31857;22
197;Aalten;1;27117;3.7
59;Achtkarspelen;0;27836;0
482;Alblasserdam;4;20165;19.8
613;Albrandswaard;5;25589;19.5
361;Alkmaar;28;109444;25.6
141;Almelo;13;73080;17.8
34;Almere;67;211840;31.6
484;Alphen aan den Rijn;36;111889;32.2
1723;Alphen-Chaam;10;10213;97.9
1959;Altena;21;55980;37.5
60;Ameland;0;3718;0
307;Amersfoort;31;157279;19.7
362;Amstelveen;33;91691;36
363;Amsterdam;286;872779;32.8
200;Apeldoorn;24;163829;14.6
3;Appingedam;1;11644;8.6
202;Arnhem;37;161368;22.9
106;Assen;7;68606;10.2
743;Asten;7;16734;41.8
744;Baarle-Nassau;1;6860;14.6
308;Baarn;7;24873;28.1
489;Barendrecht;20;48713;41.1
203;Barneveld;8;59077;13.5
888;Beek;10;15868;63
1954;Beekdaelen;28;35976;77.8
370;Beemster;2;10025;20
889;Beesel;11;13483;81.6
1945;Berg en Dal;21;34990;60
1724;Bergeijk;7;18638;37.6
893;Bergen (L.);3;13085;22.9
373;Bergen (NH.);11;29844;36.9
748;Bergen op Zoom;14;67489;20.7
1859;Berkelland;1;43748;2.3
1721;Bernheze;68;31247;217.6
753;Best;24;29985;80
209;Beuningen;15;25891;57.9
375;Beverwijk;8;41613;19.2
1728;Bladel;11;20395;53.9
376;Blaricum;5;11536;43.3
377;Bloemendaal;4;23570;17
1901;Bodegraven-Reeuwijk;4;34869;11.5
755;Boekel;27;10784;250.4
1681;Borger-Odoorn;2;25558;7.8
147;Borne;12;23313;51.5
654;Borsele;3;22738;13.2
756;Boxmeer;12;29371;40.9
757;Boxtel;11;30803;35.7
758;Breda;125;184271;67.8
501;Brielle;5;17282;28.9
1876;Bronckhorst;1;36052;2.8
213;Brummen;6;20756;28.9
899;Brunssum;23;27817;82.7
312;Bunnik;5;15191;32.9
313;Bunschoten;2;21867;9.1
214;Buren;6;26742;22.4
502;Capelle aan den IJssel;23;67151;34.3
383;Castricum;11;35988;30.6
109;Coevorden;6;35296;17
1706;Cranendonck;41;21166;193.7
1684;Cuijk;6;25139;23.9
216;Culemborg;17;28956;58.7
148;Dalfsen;9;28585;31.5
1891;Dantumadiel;1;18916;5.3
310;De Bilt;15;43124;34.8
1940;De Fryske Marren;11;51567;21.3
736;De Ronde Venen;17;44457;38.2
1690;De Wolden;2;24327;8.2
503;Delft;23;103659;22.2
10;Delfzijl;4;24666;16.2
400;Den Helder;6;56305;10.7
762;Deurne;43;32474;132.4
150;Deventer;25;100718;24.8
384;Diemen;4;30781;13
1774;Dinkelland;15;26470;56.7
221;Doesburg;3;11078;27.1
222;Doetinchem;6;58009;10.3
766;Dongen;10;26226;38.1
505;Dordrecht;40;119300;33.5
498;Drechterland;1;19717;5.1
1719;Drimmelen;14;27274;51.3
303;Dronten;12;41569;28.9
225;Druten;16;18918;84.6
226;Duiven;4;25124;15.9
1711;Echt-Susteren;23;31618;72.7
385;Edam-Volendam;11;36201;30.4
228;Ede;31;117166;26.5
317;Eemnes;1;9247;10.8
770;Eersel;16;19314;82.8
1903;Eijsden-Margraten;25;25753;97.1
772;Eindhoven;79;234456;33.7
230;Elburg;4;23161;17.3
114;Emmen;6;107055;5.6
388;Enkhuizen;14;18592;75.3
153;Enschede;32;159734;20
232;Epe;10;33186;30.1
233;Ermelo;11;27005;40.7
777;Etten-Leur;29;43880;66.1
779;Geertruidenberg;9;21538;41.8
1771;Geldrop-Mierlo;18;39733;45.3
1652;Gemert-Bakel;59;30725;192
907;Gennep;11;16924;65
784;Gilze en Rijen;15;26438;56.7
1924;Goeree-Overflakkee;32;50049;63.9
664;Goes;8;38080;21
785;Goirle;20;23906;83.7
1942;Gooise Meren;15;58041;25.8
512;Gorinchem;10;37009;27
513;Gouda;18;73443;24.5
786;Grave;13;12437;104.5
14;Groningen;12;232922;5.2
1729;Gulpen-Wittem;10;14176;70.5
158;Haaksbergen;6;24309;24.7
788;Haaren;14;14371;97.4
392;Haarlem;34;162961;20.9
394;Haarlemmermeer;38;156039;24.4
1655;Halderberge;9;30277;29.7
160;Hardenberg;10;60940;16.4
243;Harderwijk;8;48429;16.5
523;Hardinxveld-Giessendam;1;18295;5.5
72;Harlingen;2;15720;12.7
244;Hattem;5;12213;40.9
396;Heemskerk;18;39188;45.9
397;Heemstede;6;27239;22
246;Heerde;19;18587;102.2
74;Heerenveen;9;50494;17.8
398;Heerhugowaard;21;57592;36.5
917;Heerlen;72;87057;82.7
1658;Heeze-Leende;7;16150;43.3
399;Heiloo;7;23974;29.2
163;Hellendoorn;5;35923;13.9
530;Hellevoetsluis;7;40158;17.4
794;Helmond;52;92432;56.3
531;Hendrik-Ido-Ambacht;3;31204;9.6
164;Hengelo;9;81147;11.1
1966;Het Hogeland;5;47834;10.5
252;Heumen;11;16450;66.9
