id;Gemeente;Indicator;Aantal
420,00;Medemblik;Aantal;
938,00;Meerssen;Aantal;
1948,00;Meierijstad;Aantal;
119,00;Meppel;Aantal;
687,00;Middelburg;Aantal;
1842,00;Midden-Delfland;Aantal;
1731,00;Midden-Drenthe;Aantal;
1952,00;Midden-Groningen;Aantal;
815,00;Mill en Sint Hubert;Aantal;
1709,00;Moerdijk;Aantal;
1978,00;Molenlanden;Aantal;
1955,00;Montferland;Aantal;
335,00;Montfoort;Aantal;
944,00;Mook en Middelaar;Aantal;
1740,00;Neder-Betuwe;Aantal;
946,00;Nederweert;Aantal;
356,00;Nieuwegein;Aantal;
569,00;Nieuwkoop;Aantal;
267,00;Nijkerk;Aantal;
268,00;Nijmegen;Aantal;
1930,00;Nissewaard;Aantal;
1970,00;Noardeast-Fryslân;Aantal;
1695,00;Noord-Beveland;Aantal;
1699,00;Noordenveld;Aantal;
171,00;Noordoostpolder;Aantal;
575,00;Noordwijk;Aantal;
820,00;Nuenen, Gerwen en Nederwetten;Aantal;
302,00;Nunspeet;Aantal;
579,00;Oegstgeest;Aantal;
823,00;Oirschot;Aantal;
824,00;Oisterwijk;Aantal;
1895,00;Oldambt;Aantal;
269,00;Oldebroek;Aantal;
173,00;Oldenzaal;Aantal;
1773,00;Olst-Wijhe;Aantal;
175,00;Ommen;Aantal;
1586,00;Oost Gelre;Aantal;
826,00;Oosterhout;Aantal;
85,00;Ooststellingwerf;Aantal;
431,00;Oostzaan;Aantal;
432,00;Opmeer;Aantal;
86,00;Opsterland;Aantal;
828,00;Oss;Aantal;1
1509,00;Oude IJsselstreek;Aantal;
437,00;Ouder-Amstel;Aantal;
589,00;Oudewater;Aantal;
1734,00;Overbetuwe;Aantal;
590,00;Papendrecht;Aantal;
1894,00;Peel en Maas;Aantal;
765,00;Pekela;Aantal;
1926,00;Pijnacker-Nootdorp;Aantal;
439,00;Purmerend;Aantal;
273,00;Putten;Aantal;
177,00;Raalte;Aantal;
703,00;Reimerswaal;Aantal;
274,00;Renkum;Aantal;
339,00;Renswoude;Aantal;
1667,00;Reusel-De Mierden;Aantal;
275,00;Rheden;Aantal;
340,00;Rhenen;Aantal;
597,00;Ridderkerk;Aantal;
1742,00;Rijssen-Holten;Aantal;
603,00;Rijswijk;Aantal;
1669,00;Roerdalen;Aantal;
957,00;Roermond;Aantal;
1674,00;Roosendaal;Aantal;
599,00;Rotterdam;Aantal;3
277,00;Rozendaal;Aantal;
840,00;Rucphen;Aantal;
441,00;Schagen;Aantal;
279,00;Scherpenzeel;Aantal;
606,00;Schiedam;Aantal;
88,00;Schiermonnikoog;Aantal;
1676,00;Schouwen-Duiveland;Aantal;
518,00;'s-Gravenhage;Aantal;
796,00;'s-Hertogenbosch;Aantal;
965,00;Simpelveld;Aantal;
1702,00;Sint Anthonis;Aantal;
845,00;Sint-Michielsgestel;Aantal;
1883,00;Sittard-Geleen;Aantal;
610,00;Sliedrecht;Aantal;
1714,00;Sluis;Aantal;
90,00;Smallingerland;Aantal;
342,00;Soest;Aantal;
847,00;Someren;Aantal;
848,00;Son en Breugel;Aantal;
37,00;Stadskanaal;Aantal;
180,00;Staphorst;Aantal;
532,00;Stede Broec;Aantal;
851,00;Steenbergen;Aantal;
1708,00;Steenwijkerland;Aantal;
971,00;Stein;Aantal;
1904,00;Stichtse Vecht;Aantal;
1900,00;Súdwest-Fryslân;Aantal;
715,00;Terneuzen;Aantal;
93,00;Terschelling;Aantal;
448,00;Texel;Aantal;
1525,00;Teylingen;Aantal;
716,00;Tholen;Aantal;
281,00;Tiel;Aantal;
855,00;Tilburg;Aantal;3
183,00;Tubbergen;Aantal;
1700,00;Twenterand;Aantal;
1730,00;Tynaarlo;Aantal;
737,00;Tytsjerksteradiel;Aantal;
856,00;Uden;Aantal;
450,00;Uitgeest;Aantal;
451,00;Uithoorn;Aantal;
184,00;Urk;Aantal;
344,00;Utrecht;Aantal;2
1581,00;Utrechtse Heuvelrug;Aantal;
981,00;Vaals;Aantal;
994,00;Valkenburg aan de Geul;Aantal;
858,00;Valkenswaard;Aantal;
47,00;Veendam;Aantal;
345,00;Veenendaal;Aantal;
717,00;Veere;Aantal;
861,00;Veldhoven;Aantal;
453,00;Velsen;Aantal;
983,00;Venlo;Aantal;
984,00;Venray;Aantal;
1961,00;Vijfheerenlanden;Aantal;
622,00;Vlaardingen;Aantal;
96,00;Vlieland;Aantal;
718,00;Vlissingen;Aantal;
986,00;Voerendaal;Aantal;
626,00;Voorschoten;Aantal;
285,00;Voorst;Aantal;
865,00;Vught;Aantal;
1949,00;Waadhoeke;Aantal;
866,00;Waalre;Aantal;
867,00;Waalwijk;Aantal;
627,00;Waddinxveen;Aantal;
289,00;Wageningen;Aantal;
629,00;Wassenaar;Aantal;
852,00;Waterland;Aantal;
988,00;Weert;Aantal;
457,00;Weesp;Aantal;
1960,00;West Betuwe;Aantal;
668,00;West Maas en Waal;Aantal;
1969,00;Westerkwartier;Aantal;
1701,00;Westerveld;Aantal;
293,00;Westervoort;Aantal;
1950,00;Westerwolde;Aantal;
1783,00;Westland;Aantal;
98,00;Weststellingwerf;Aantal;
614,00;Westvoorne;Aantal;
189,00;Wierden;Aantal;
296,00;Wijchen;Aantal;
1696,00;Wijdemeren;Aantal;
352,00;Wijk bij Duurstede;Aantal;
294,00;Winterswijk;Aantal;
873,00;Woensdrecht;Aantal;
632,00;Woerden;Aantal;
880,00;Wormerland;Aantal;
351,00;Woudenberg;Aantal;
479,00;Zaanstad;Aantal;
297,00;Zaltbommel;Aantal;1
473,00;Zandvoort;Aantal;
50,00;Zeewolde;Aantal;
355,00;Zeist;Aantal;
299,00;Zevenaar;Aantal;
637,00;Zoetermeer;Aantal;
638,00;Zoeterwoude;Aantal;
1892,00;Zuidplas;Aantal;
879,00;Zundert;Aantal;
301,00;Zutphen;Aantal;
1896,00;Zwartewaterland;Aantal;
642,00;Zwijndrecht;Aantal;
193,00;Zwolle;Aantal;
