Gemnr;Gemeente;Meldingen;Zkh opname;BevAant;Meldingen per 100.000;Zkh opname per 100.000
796;'s-Hertogenbosch;301;110;155113;194.1;70.9
1680;Aa en Hunze;10;1;25453;39.3;3.9
358;Aalsmeer;31;7;31857;97.3;22
197;Aalten;29;2;27117;106.9;7.4
59;Achtkarspelen;5;0;27836;18;0
482;Alblasserdam;27;8;20165;133.9;39.7
613;Albrandswaard;59;8;25589;230.6;31.3
361;Alkmaar;171;48;109444;156.2;43.9
141;Almelo;69;18;73080;94.4;24.6
34;Almere;181;98;211840;85.4;46.3
484;Alphen aan den Rijn;109;50;111889;97.4;44.7
1723;Alphen-Chaam;40;15;10213;391.7;146.9
1959;Altena;89;28;55980;159;50
60;Ameland;0;0;3718;0;0
307;Amersfoort;126;51;157279;80.1;32.4
362;Amstelveen;209;46;91691;227.9;50.2
363;Amsterdam;1254;413;872779;143.7;47.3
200;Apeldoorn;190;38;163829;116;23.2
3;Appingedam;2;2;11644;17.2;17.2
202;Arnhem;178;54;161368;110.3;33.5
106;Assen;29;10;68606;42.3;14.6
743;Asten;46;13;16734;274.9;77.7
744;Baarle-Nassau;4;1;6860;58.3;14.6
308;Baarn;30;9;24873;120.6;36.2
489;Barendrecht;74;28;48713;151.9;57.5
203;Barneveld;78;12;59077;132;20.3
888;Beek;28;14;15868;176.5;88.2
1954;Beekdaelen;77;40;35976;214;111.2
370;Beemster;8;4;10025;79.8;39.9
889;Beesel;33;20;13483;244.8;148.3
1945;Berg en Dal;127;29;34990;363;82.9
1724;Bergeijk;37;14;18638;198.5;75.1
893;Bergen (L.);12;6;13085;91.7;45.9
373;Bergen (NH.);46;16;29844;154.1;53.6
748;Bergen op Zoom;59;19;67489;87.4;28.2
1859;Berkelland;34;5;43748;77.7;11.4
1721;Bernheze;200;77;31247;640.1;246.4
753;Best;45;31;29985;150.1;103.4
209;Beuningen;42;18;25891;162.2;69.5
375;Beverwijk;56;15;41613;134.6;36
1728;Bladel;42;15;20395;205.9;73.5
376;Blaricum;17;5;11536;147.4;43.3
377;Bloemendaal;37;6;23570;157;25.5
1901;Bodegraven-Reeuwijk;29;7;34869;83.2;20.1
755;Boekel;82;31;10784;760.4;287.5
1681;Borger-Odoorn;4;2;25558;15.7;7.8
147;Borne;42;13;23313;180.2;55.8
654;Borsele;19;4;22738;83.6;17.6
756;Boxmeer;74;17;29371;251.9;57.9
757;Boxtel;40;17;30803;129.9;55.2
758;Breda;368;138;184271;199.7;74.9
501;Brielle;24;11;17282;138.9;63.7
1876;Bronckhorst;30;5;36052;83.2;13.9
213;Brummen;26;10;20756;125.3;48.2
899;Brunssum;57;32;27817;204.9;115
312;Bunnik;20;7;15191;131.7;46.1
313;Bunschoten;33;4;21867;150.9;18.3
214;Buren;26;9;26742;97.2;33.7
502;Capelle aan den IJssel;170;33;67151;253.2;49.1
383;Castricum;56;13;35988;155.6;36.1
109;Coevorden;41;9;35296;116.2;25.5
1706;Cranendonck;141;58;21166;666.2;274
1684;Cuijk;41;9;25139;163.1;35.8
216;Culemborg;41;20;28956;141.6;69.1
148;Dalfsen;54;15;28585;188.9;52.5
1891;Dantumadiel;6;2;18916;31.7;10.6
310;De Bilt;79;19;43124;183.2;44.1
1940;De Fryske Marren;48;13;51567;93.1;25.2
736;De Ronde Venen;58;28;44457;130.5;63
1690;De Wolden;28;8;24327;115.1;32.9
503;Delft;94;36;103659;90.7;34.7
10;Delfzijl;13;5;24666;52.7;20.3
400;Den Helder;27;8;56305;48;14.2
762;Deurne;111;50;32474;341.8;154
150;Deventer;119;38;100718;118.2;37.7
384;Diemen;21;5;30781;68.2;16.2
1774;Dinkelland;61;17;26470;230.4;64.2
221;Doesburg;17;5;11078;153.5;45.1
222;Doetinchem;59;11;58009;101.7;19
766;Dongen;51;15;26226;194.5;57.2
505;Dordrecht;175;63;119300;146.7;52.8
498;Drechterland;33;3;19717;167.4;15.2
1719;Drimmelen;43;17;27274;157.7;62.3
303;Dronten;66;21;41569;158.8;50.5
225;Druten;81;19;18918;428.2;100.4
226;Duiven;29;10;25124;115.4;39.8
1711;Echt-Susteren;65;35;31618;205.6;110.7
385;Edam-Volendam;50;19;36201;138.1;52.5
228;Ede;133;49;117166;113.5;41.8
317;Eemnes;11;1;9247;119;10.8
770;Eersel;45;21;19314;233;108.7
1903;Eijsden-Margraten;114;47;25753;442.7;182.5
772;Eindhoven;316;140;234456;134.8;59.7
230;Elburg;75;12;23161;323.8;51.8
114;Emmen;60;14;107055;56;13.1
388;Enkhuizen;26;17;18592;139.8;91.4
153;Enschede;141;47;159734;88.3;29.4
232;Epe;81;23;33186;244.1;69.3
233;Ermelo;70;18;27005;259.2;66.7
777;Etten-Leur;118;38;43880;268.9;86.6
779;Geertruidenberg;22;9;21538;102.1;41.8
1771;Geldrop-Mierlo;73;24;39733;183.7;60.4
1652;Gemert-Bakel;134;70;30725;436.1;227.8
907;Gennep;44;15;16924;260;88.6
784;Gilze en Rijen;53;17;26438;200.5;64.3
1924;Goeree-Overflakkee;217;48;50049;433.6;95.9
664;Goes;60;10;38080;157.6;26.3
785;Goirle;60;25;23906;251;104.6
1942;Gooise Meren;75;21;58041;129.2;36.2
512;Gorinchem;114;15;37009;308;40.5
513;Gouda;153;31;73443;208.3;42.2
786;Grave;42;17;12437;337.7;136.7
14;Groningen;138;16;232922;59.2;6.9
1729;Gulpen-Wittem;42;15;14176;296.3;105.8
158;Haaksbergen;42;14;24309;172.8;57.6
788;Haaren;33;15;14371;229.6;104.4
392;Haarlem;219;53;162961;134.4;32.5
394;Haarlemmermeer;160;53;156039;102.5;34
1655;Halderberge;43;11;30277;142;36.3
160;Hardenberg;128;21;60940;210;34.5
243;Harderwijk;63;15;48429;130.1;31
523;Hardinxveld-Giessendam;25;1;18295;136.6;5.5
72;Harlingen;11;3;15720;70;19.1
244;Hattem;36;10;12213;294.8;81.9
396;Heemskerk;68;26;39188;173.5;66.3
397;Heemstede;80;9;27239;293.7;33
246;Heerde;108;26;18587;581.1;139.9
74;Heerenveen;62;12;50494;122.8;23.8
398;Heerhugowaard;91;23;57592;158;39.9
917;Heerlen;207;95;87057;237.8;109.1
1658;Heeze-Leende;46;12;16150;284.8;74.3
399;Heiloo;36;9;23974;150.2;37.5
163;Hellendoorn;42;7;35923;116.9;19.5
530;Hellevoetsluis;51;13;40158;127;32.4
794;Helmond;227;86;92432;245.6;93
531;Hendrik-Ido-Ambacht;22;5;31204;70.5;16
164;Hengelo;101;16;81147;124.5;19.7
1966;Het Hogeland;23;7;47834;48.1;14.6
252;Heumen;45;16;16450;273.6;97.3
797;Heusden;86;36;44699;192.4;80.5
534;Hillegom;21;6;22208;94.6;27
798;Hilvarenbeek;29;6;15514;186.9;38.7
402;Hilversum;73;22;90883;80.3;24.2
1963;Hoeksche Waard;167;65;87461;190.9;74.3
1735;Hof van Twente;51;14;35013;145.7;40
1911;Hollands Kroon;50;26;48434;103.2;53.7
118;Hoogeveen;42;11;55697;75.4;19.7
405;Hoorn;56;24;73232;76.5;32.8
