Gemnr;Gemeente;Meldingen;Zkh opname;Overleden;BevAant;Meldingen per 100.000;Zkh opname per 100.000;Overleden per 100.000
796;'s-Hertogenbosch;323;111;52;155113;208.2;71.6;33.5
1680;Aa en Hunze;11;1;0;25453;43.2;3.9;0
358;Aalsmeer;31;7;2;31857;97.3;22;6.3
197;Aalten;30;2;3;27117;110.6;7.4;11.1
59;Achtkarspelen;7;0;0;27836;25.1;0;0
482;Alblasserdam;28;8;1;20165;138.9;39.7;5
613;Albrandswaard;62;8;3;25589;242.3;31.3;11.7
361;Alkmaar;177;48;19;109444;161.7;43.9;17.4
141;Almelo;70;18;3;73080;95.8;24.6;4.1
34;Almere;192;99;5;211840;90.6;46.7;2.4
484;Alphen aan den Rijn;114;51;11;111889;101.9;45.6;9.8
1723;Alphen-Chaam;40;15;4;10213;391.7;146.9;39.2
1959;Altena;92;29;9;55980;164.3;51.8;16.1
60;Ameland;0;0;0;3718;0;0;0
307;Amersfoort;131;51;15;157279;83.3;32.4;9.5
362;Amstelveen;212;47;27;91691;231.2;51.3;29.4
363;Amsterdam;1305;439;102;872779;149.5;50.3;11.7
200;Apeldoorn;197;41;25;163829;120.2;25;15.3
3;Appingedam;2;2;0;11644;17.2;17.2;0
202;Arnhem;184;54;13;161368;114;33.5;8.1
106;Assen;31;10;2;68606;45.2;14.6;2.9
743;Asten;51;13;4;16734;304.8;77.7;23.9
744;Baarle-Nassau;4;1;0;6860;58.3;14.6;0
308;Baarn;31;10;1;24873;124.6;40.2;4
489;Barendrecht;75;29;5;48713;154;59.5;10.3
203;Barneveld;83;12;5;59077;140.5;20.3;8.5
888;Beek;29;14;3;15868;182.8;88.2;18.9
1954;Beekdaelen;81;40;18;35976;225.2;111.2;50
370;Beemster;8;4;1;10025;79.8;39.9;10
889;Beesel;34;20;7;13483;252.2;148.3;51.9
1945;Berg en Dal;132;29;13;34990;377.3;82.9;37.2
1724;Bergeijk;38;14;4;18638;203.9;75.1;21.5
893;Bergen (L.);13;6;2;13085;99.4;45.9;15.3
373;Bergen (NH.);47;16;3;29844;157.5;53.6;10.1
