Gemnr;Gemeente;Aantal;BevAant;Aantal per 100.000 inwoners
-1;* Bij 237 personen is de woonplaats niet van bekend;99;;
518;'s-Gravenhage;103;537833;19.2
796;'s-Hertogenbosch;87;154205;56.4
1680;Aa en Hunze;3;25386;11.8
358;Aalsmeer;11;31728;34.7
197;Aalten;2;27011;7.4
59;Achtkarspelen;1;27852;3.6
482;Alblasserdam;6;20069;29.9
613;Albrandswaard;19;25271;75.2
361;Alkmaar;29;108558;26.7
141;Almelo;12;72849;16.5
34;Almere;32;207904;15.4
484;Alphen aan den Rijn;30;110986;27
1723;Alphen-Chaam;19;10149;187.2
1959;Altena;35;55386;63.2
60;Ameland;0;3673;0
307;Amersfoort;54;156286;34.6
362;Amstelveen;46;90838;50.6
363;Amsterdam;351;862965;40.7
200;Apeldoorn;39;162445;24
3;Appingedam;0;11721;0
202;Arnhem;34;159265;21.3
106;Assen;7;67963;10.3
743;Asten;6;16710;35.9
744;Baarle-Nassau;2;6847;29.2
308;Baarn;5;24767;20.2
489;Barendrecht;19;48673;39
203;Barneveld;13;57971;22.4
888;Beek;13;15929;81.6
1954;Beekdaelen;32;35727;89.6
370;Beemster;2;9748;20.5
889;Beesel;8;13519;59.2
1945;Berg en Dal;43;34798;123.6
1724;Bergeijk;11;18491;59.5
893;Bergen (L);1;13140;7.6
373;Bergen (NH);14;29974;46.7
748;Bergen op Zoom;13;66811;19.5
1859;Berkelland;2;43904;4.6
1721;Bernheze;83;30806;269.4
753;Best;21;29821;70.4
209;Beuningen;15;25882;58
375;Beverwijk;12;41176;29.1
1728;Bladel;15;20175;74.3
376;Blaricum;6;11202;53.6
377;Bloemendaal;16;23410;68.3
1901;Bodegraven-Reeuwijk;8;34462;23.2
755;Boekel;42;10588;396.7
1681;Borger-Odoorn;0;25372;0
147;Borne;12;23210;51.7
654;Borsele;6;22800;26.3
756;Boxmeer;10;29065;34.4
757;Boxtel;19;30747;61.8
758;Breda;201;183873;109.3
501;Brielle;2;17182;11.6
1876;Bronckhorst;8;36212;22.1
213;Brummen;4;20698;19.3
899;Brunssum;22;28103;78.3
312;Bunnik;9;15192;59.2
313;Bunschoten;3;21576;13.9
214;Buren;7;26568;26.3
502;Capelle aan den IJssel;26;66818;38.9
383;Castricum;13;35772;36.3
109;Coevorden;17;35483;47.9
1706;Cranendonck;31;20440;151.7
1684;Cuijk;8;24931;32.1
216;Culemborg;14;28555;49
148;Dalfsen;13;28499;45.6
1891;Dantumadiel;1;18923;5.3
310;De Bilt;34;42824;79.4
1940;De Fryske Marren;12;51430;23.3
736;De Ronde Venen;13;44059;29.5
1690;De Wolden;3;24110;12.4
503;Delft;25;103163;24.2
10;Delfzijl;2;24716;8.1
400;Den Helder;6;55604;10.8
762;Deurne;35;32362;108.2
150;Deventer;30;99957;30
384;Diemen;6;29196;20.6
1774;Dinkelland;25;26350;94.9
221;Doesburg;5;11148;44.9
222;Doetinchem;17;57555;29.5
766;Dongen;6;26051;23
505;Dordrecht;28;118654;23.6
498;Drechterland;4;19597;20.4
1719;Drimmelen;21;27150;77.3
303;Dronten;11;40815;27
225;Druten;7;18797;37.2
226;Duiven;3;25332;11.8
1711;Echt-Susteren;23;31638;72.7
385;Edam-Volendam;10;36099;27.7
228;Ede;33;115710;28.5
317;Eemnes;1;9113;11
770;Eersel;14;19110;73.3
1903;Eijsden-Margraten;26;25658;101.3
772;Eindhoven;93;231642;40.1
230;Elburg;6;23086;26
114;Emmen;8;107113;7.5
388;Enkhuizen;15;18507;81.1
153;Enschede;34;158986;21.4
232;Epe;16;33145;48.3
233;Ermelo;17;26858;63.3
777;Etten-Leur;37;43774;84.5
779;Geertruidenberg;11;21515;51.1
1771;Geldrop-Mierlo;16;39595;40.4
1652;Gemert-Bakel;71;30447;233.2
907;Gennep;8;17071;46.9
784;Gilze en Rijen;19;26431;71.9
1924;Goeree-Overflakkee;56;49611;112.9
664;Goes;7;37653;18.6
785;Goirle;21;23793;88.3
1942;Gooise Meren;20;57715;34.7
512;Gorinchem;9;36682;24.5
513;Gouda;25;73181;34.2
786;Grave;14;12483;112.2
14;Groningen;76;231299;32.9
1729;Gulpen-Wittem;5;14246;35.1
158;Haaksbergen;4;24277;16.5
788;Haaren;14;14195;98.6
392;Haarlem;54;161265;33.5
394;Haarlemmermeer;30;154235;19.5
1655;Halderberge;8;30194;26.5
160;Hardenberg;9;60574;14.9
243;Harderwijk;14;47581;29.4
523;Hardinxveld-Giessendam;6;18051;33.2
72;Harlingen;3;15758;19
244;Hattem;5;12173;41.1
396;Heemskerk;10;39164;25.5
397;Heemstede;21;27286;77
246;Heerde;24;18546;129.4
74;Heerenveen;4;50257;8
398;Heerhugowaard;19;56742;33.5
917;Heerlen;63;86832;72.6
1658;Heeze-Leende;10;15964;62.6
399;Heiloo;10;23464;42.6
