Gemnr;Gemeente;Aantal;BevAant;Aantal per 100.000 inwoners
796;'s-Hertogenbosch;87;155113;56.1
1680;Aa en Hunze;1;25453;3.9
358;Aalsmeer;8;31857;25.1
197;Aalten;1;27117;3.7
59;Achtkarspelen;0;27836;0
482;Alblasserdam;5;20165;24.8
613;Albrandswaard;5;25589;19.5
361;Alkmaar;35;109444;32
141;Almelo;15;73080;20.5
34;Almere;77;211840;36.3
484;Alphen aan den Rijn;40;111889;35.7
1723;Alphen-Chaam;13;10213;127.3
1959;Altena;22;55980;39.3
60;Ameland;0;3718;0
307;Amersfoort;36;157279;22.9
362;Amstelveen;38;91691;41.4
363;Amsterdam;330;872779;37.8
200;Apeldoorn;28;163829;17.1
3;Appingedam;2;11644;17.2
202;Arnhem;44;161368;27.3
106;Assen;7;68606;10.2
743;Asten;8;16734;47.8
744;Baarle-Nassau;1;6860;14.6
308;Baarn;7;24873;28.1
489;Barendrecht;21;48713;43.1
203;Barneveld;9;59077;15.2
888;Beek;11;15868;69.3
1954;Beekdaelen;34;35976;94.5
370;Beemster;4;10025;39.9
889;Beesel;13;13483;96.4
1945;Berg en Dal;25;34990;71.4
1724;Bergeijk;9;18638;48.3
893;Bergen (L.);4;13085;30.6
373;Bergen (NH.);15;29844;50.3
748;Bergen op Zoom;15;67489;22.2
1859;Berkelland;1;43748;2.3
1721;Bernheze;70;31247;224
753;Best;24;29985;80
209;Beuningen;15;25891;57.9
375;Beverwijk;10;41613;24
1728;Bladel;12;20395;58.8
376;Blaricum;5;11536;43.3
377;Bloemendaal;5;23570;21.2
1901;Bodegraven-Reeuwijk;5;34869;14.3
755;Boekel;27;10784;250.4
1681;Borger-Odoorn;2;25558;7.8
147;Borne;13;23313;55.8
654;Borsele;4;22738;17.6
756;Boxmeer;14;29371;47.7
757;Boxtel;11;30803;35.7
758;Breda;127;184271;68.9
501;Brielle;7;17282;40.5
1876;Bronckhorst;1;36052;2.8
213;Brummen;6;20756;28.9
899;Brunssum;25;27817;89.9
312;Bunnik;6;15191;39.5
313;Bunschoten;3;21867;13.7
214;Buren;7;26742;26.2
502;Capelle aan den IJssel;23;67151;34.3
383;Castricum;12;35988;33.3
109;Coevorden;9;35296;25.5
1706;Cranendonck;44;21166;207.9
1684;Cuijk;7;25139;27.8
216;Culemborg;20;28956;69.1
148;Dalfsen;12;28585;42
1891;Dantumadiel;2;18916;10.6
310;De Bilt;18;43124;41.7
1940;De Fryske Marren;12;51567;23.3
736;De Ronde Venen;21;44457;47.2
1690;De Wolden;2;24327;8.2
503;Delft;27;103659;26
10;Delfzijl;5;24666;20.3
400;Den Helder;8;56305;14.2
762;Deurne;44;32474;135.5
150;Deventer;28;100718;27.8
384;Diemen;4;30781;13
1774;Dinkelland;16;26470;60.4
221;Doesburg;4;11078;36.1
222;Doetinchem;6;58009;10.3
766;Dongen;11;26226;41.9
505;Dordrecht;49;119300;41.1
498;Drechterland;1;19717;5.1
1719;Drimmelen;14;27274;51.3
303;Dronten;15;41569;36.1
225;Druten;16;18918;84.6
226;Duiven;6;25124;23.9
1711;Echt-Susteren;27;31618;85.4
385;Edam-Volendam;14;36201;38.7
228;Ede;41;117166;35
317;Eemnes;1;9247;10.8
770;Eersel;18;19314;93.2
1903;Eijsden-Margraten;36;25753;139.8
772;Eindhoven;87;234456;37.1
230;Elburg;6;23161;25.9
114;Emmen;9;107055;8.4
388;Enkhuizen;14;18592;75.3
153;Enschede;39;159734;24.4
232;Epe;11;33186;33.1
233;Ermelo;12;27005;44.4
777;Etten-Leur;31;43880;70.6
779;Geertruidenberg;9;21538;41.8
1771;Geldrop-Mierlo;18;39733;45.3
1652;Gemert-Bakel;61;30725;198.5
907;Gennep;12;16924;70.9
784;Gilze en Rijen;15;26438;56.7
1924;Goeree-Overflakkee;37;50049;73.9
664;Goes;8;38080;21
785;Goirle;21;23906;87.8
1942;Gooise Meren;16;58041;27.6
512;Gorinchem;11;37009;29.7
513;Gouda;23;73443;31.3
786;Grave;14;12437;112.6
14;Groningen;13;232922;5.6
1729;Gulpen-Wittem;12;14176;84.7
158;Haaksbergen;10;24309;41.1
788;Haaren;15;14371;104.4
392;Haarlem;36;162961;22.1
394;Haarlemmermeer;41;156039;26.3
1655;Halderberge;9;30277;29.7
160;Hardenberg;10;60940;16.4
243;Harderwijk;8;48429;16.5
523;Hardinxveld-Giessendam;1;18295;5.5
72;Harlingen;2;15720;12.7
244;Hattem;7;12213;57.3
396;Heemskerk;19;39188;48.5
397;Heemstede;8;27239;29.4
246;Heerde;22;18587;118.4
74;Heerenveen;10;50494;19.8
398;Heerhugowaard;22;57592;38.2
917;Heerlen;83;87057;95.3
1658;Heeze-Leende;7;16150;43.3
399;Heiloo;7;23974;29.2
163;Hellendoorn;6;35923;16.7
530;Hellevoetsluis;8;40158;19.9
794;Helmond;54;92432;58.4
531;Hendrik-Ido-Ambacht;3;31204;9.6
164;Hengelo;11;81147;13.6
1966;Het Hogeland;5;47834;10.5
252;Heumen;13;16450;79
797;Heusden;32;44699;71.6
534;Hillegom;5;22208;22.5
798;Hilvarenbeek;6;15514;38.7
402;Hilversum;17;90883;18.7
1963;Hoeksche Waard;51;87461;58.3
1735;Hof van Twente;12;35013;34.3
1911;Hollands Kroon;24;48434;49.6
118;Hoogeveen;9;55697;16.2
405;Hoorn;21;73232;28.7
1507;Horst aan de Maas;36;42433;84.8
321;Houten;16;50146;31.9
406;Huizen;13;41273;31.5
677;Hulst;4;27556;14.5
353;IJsselstein;26;34110;76.2
