Gemnr;Gemeente;Meldingen;Zkh opname;Overleden;BevAant;Meldingen per 100.000;Zkh opname per 100.000;Overleden per 100.000
796;'s-Hertogenbosch;377;117;61;155113;243;75.4;39.3
1680;Aa en Hunze;13;1;0;25453;51.1;3.9;0
358;Aalsmeer;36;8;2;31857;113;25.1;6.3
197;Aalten;46;4;3;27117;169.6;14.8;11.1
59;Achtkarspelen;8;0;0;27836;28.7;0;0
482;Alblasserdam;38;9;1;20165;188.4;44.6;5
613;Albrandswaard;75;9;6;25589;293.1;35.2;23.4
361;Alkmaar;202;50;21;109444;184.6;45.7;19.2
141;Almelo;83;20;5;73080;113.6;27.4;6.8
34;Almere;265;107;6;211840;125.1;50.5;2.8
484;Alphen aan den Rijn;144;55;18;111889;128.7;49.2;16.1
1723;Alphen-Chaam;43;17;5;10213;421;166.5;49
1959;Altena;106;30;11;55980;189.4;53.6;19.6
60;Ameland;0;0;0;3718;0;0;0
307;Amersfoort;150;54;18;157279;95.4;34.3;11.4
362;Amstelveen;267;51;31;91691;291.2;55.6;33.8
363;Amsterdam;1580;495;133;872779;181;56.7;15.2
200;Apeldoorn;292;50;32;163829;178.2;30.5;19.5
3;Appingedam;4;3;0;11644;34.4;25.8;0
202;Arnhem;219;57;19;161368;135.7;35.3;11.8
106;Assen;35;12;2;68606;51;17.5;2.9
743;Asten;63;14;8;16734;376.5;83.7;47.8
744;Baarle-Nassau;5;1;0;6860;72.9;14.6;0
308;Baarn;38;11;3;24873;152.8;44.2;12.1
489;Barendrecht;92;29;5;48713;188.9;59.5;10.3
203;Barneveld;95;17;6;59077;160.8;28.8;10.2
888;Beek;37;15;3;15868;233.2;94.5;18.9
1954;Beekdaelen;117;43;19;35976;325.2;119.5;52.8
370;Beemster;8;4;1;10025;79.8;39.9;10
889;Beesel;40;20;8;13483;296.7;148.3;59.3
1945;Berg en Dal;157;30;13;34990;448.7;85.7;37.2
1724;Bergeijk;47;14;4;18638;252.2;75.1;21.5
893;Bergen (L.);17;6;2;13085;129.9;45.9;15.3
373;Bergen (NH.);49;16;3;29844;164.2;53.6;10.1
748;Bergen op Zoom;85;21;7;67489;125.9;31.1;10.4
1859;Berkelland;58;6;3;43748;132.6;13.7;6.9
1721;Bernheze;234;80;52;31247;748.9;256;166.4
753;Best;50;31;9;29985;166.8;103.4;30
209;Beuningen;51;19;4;25891;197;73.4;15.4
375;Beverwijk;68;15;6;41613;163.4;36;14.4
1728;Bladel;50;17;7;20395;245.2;83.4;34.3
376;Blaricum;23;7;0;11536;199.4;60.7;0
377;Bloemendaal;41;6;3;23570;173.9;25.5;12.7
1901;Bodegraven-Reeuwijk;35;7;2;34869;100.4;20.1;5.7
755;Boekel;85;32;21;10784;788.2;296.7;194.7
1681;Borger-Odoorn;7;2;3;25558;27.4;7.8;11.7
147;Borne;43;13;6;23313;184.4;55.8;25.7
654;Borsele;21;5;0;22738;92.4;22;0
756;Boxmeer;95;18;16;29371;323.4;61.3;54.5
757;Boxtel;53;21;12;30803;172.1;68.2;39
758;Breda;405;140;53;184271;219.8;76;28.8
501;Brielle;26;11;0;17282;150.4;63.7;0
1876;Bronckhorst;52;11;5;36052;144.2;30.5;13.9
213;Brummen;33;16;6;20756;159;77.1;28.9
899;Brunssum;70;34;11;27817;251.6;122.2;39.5
312;Bunnik;23;7;1;15191;151.4;46.1;6.6
313;Bunschoten;48;5;5;21867;219.5;22.9;22.9
214;Buren;34;13;5;26742;127.1;48.6;18.7
502;Capelle aan den IJssel;220;39;35;67151;327.6;58.1;52.1
383;Castricum;73;14;8;35988;202.8;38.9;22.2
109;Coevorden;46;12;1;35296;130.3;34;2.8
1706;Cranendonck;154;59;26;21166;727.6;278.7;122.8
1684;Cuijk;47;10;8;25139;187;39.8;31.8
216;Culemborg;53;21;7;28956;183;72.5;24.2
148;Dalfsen;71;15;6;28585;248.4;52.5;21
1891;Dantumadiel;6;2;0;18916;31.7;10.6;0
310;De Bilt;98;23;8;43124;227.3;53.3;18.6
1940;De Fryske Marren;53;14;5;51567;102.8;27.1;9.7
736;De Ronde Venen;72;36;8;44457;162;81;18
1690;De Wolden;36;10;0;24327;148;41.1;0
503;Delft;106;37;8;103659;102.3;35.7;7.7
10;Delfzijl;15;5;0;24666;60.8;20.3;0
400;Den Helder;30;8;0;56305;53.3;14.2;0
762;Deurne;128;50;16;32474;394.2;154;49.3
150;Deventer;177;41;25;100718;175.7;40.7;24.8
384;Diemen;63;15;6;30781;204.7;48.7;19.5
1774;Dinkelland;67;17;7;26470;253.1;64.2;26.4
221;Doesburg;22;7;6;11078;198.6;63.2;54.2
222;Doetinchem;75;15;12;58009;129.3;25.9;20.7
766;Dongen;62;16;10;26226;236.4;61;38.1
505;Dordrecht;225;74;19;119300;188.6;62;15.9
498;Drechterland;41;3;8;19717;207.9;15.2;40.6
1719;Drimmelen;55;18;4;27274;201.7;66;14.7
