Gemnr;Gemeente;Meldingen;Zkh opname;Overleden;BevAant;Meldingen per 100.000;Zkh opname per 100.000;Overleden per 100.000
796;'s-Hertogenbosch;423;123;65;155113;272.7;79.3;41.9
1680;Aa en Hunze;14;1;0;25453;55;3.9;0
358;Aalsmeer;37;8;2;31857;116.1;25.1;6.3
197;Aalten;51;6;5;27117;188.1;22.1;18.4
59;Achtkarspelen;10;0;0;27836;35.9;0;0
482;Alblasserdam;39;9;1;20165;193.4;44.6;5
613;Albrandswaard;80;9;6;25589;312.6;35.2;23.4
361;Alkmaar;212;52;22;109444;193.7;47.5;20.1
141;Almelo;88;21;6;73080;120.4;28.7;8.2
34;Almere;303;113;11;211840;143;53.3;5.2
484;Alphen aan den Rijn;156;57;20;111889;139.4;50.9;17.9
1723;Alphen-Chaam;45;17;5;10213;440.6;166.5;49
1959;Altena;113;30;11;55980;201.9;53.6;19.6
60;Ameland;0;0;0;3718;0;0;0
307;Amersfoort;158;56;20;157279;100.5;35.6;12.7
362;Amstelveen;285;55;33;91691;310.8;60;36
363;Amsterdam;1763;527;154;872779;202;60.4;17.6
200;Apeldoorn;334;59;37;163829;203.9;36;22.6
3;Appingedam;5;3;0;11644;42.9;25.8;0
202;Arnhem;237;58;21;161368;146.9;35.9;13
106;Assen;38;12;2;68606;55.4;17.5;2.9
743;Asten;68;15;9;16734;406.4;89.6;53.8
744;Baarle-Nassau;5;1;0;6860;72.9;14.6;0
308;Baarn;45;10;6;24873;180.9;40.2;24.1
489;Barendrecht;103;29;8;48713;211.4;59.5;16.4
203;Barneveld;102;18;6;59077;172.7;30.5;10.2
888;Beek;40;15;3;15868;252.1;94.5;18.9
1954;Beekdaelen;137;45;20;35976;380.8;125.1;55.6
370;Beemster;8;4;1;10025;79.8;39.9;10
889;Beesel;41;20;8;13483;304.1;148.3;59.3
1945;Berg en Dal;163;32;15;34990;465.8;91.5;42.9
1724;Bergeijk;48;14;4;18638;257.5;75.1;21.5
893;Bergen (L.);20;7;2;13085;152.8;53.5;15.3
373;Bergen (NH.);50;16;3;29844;167.5;53.6;10.1
748;Bergen op Zoom;96;21;8;67489;142.2;31.1;11.9
1859;Berkelland;65;6;6;43748;148.6;13.7;13.7
1721;Bernheze;250;93;56;31247;800.1;297.6;179.2
753;Best;56;31;10;29985;186.8;103.4;33.4
209;Beuningen;59;19;4;25891;227.9;73.4;15.4
375;Beverwijk;68;15;6;41613;163.4;36;14.4
1728;Bladel;52;18;7;20395;255;88.3;34.3
376;Blaricum;23;7;0;11536;199.4;60.7;0
377;Bloemendaal;41;6;3;23570;173.9;25.5;12.7
1901;Bodegraven-Reeuwijk;43;7;2;34869;123.3;20.1;5.7
755;Boekel;88;35;21;10784;816;324.6;194.7
1681;Borger-Odoorn;8;3;3;25558;31.3;11.7;11.7
147;Borne;46;14;6;23313;197.3;60.1;25.7
654;Borsele;22;5;0;22738;96.8;22;0
756;Boxmeer;104;18;19;29371;354.1;61.3;64.7
757;Boxtel;58;22;12;30803;188.3;71.4;39
758;Breda;432;142;55;184271;234.4;77.1;29.8
501;Brielle;28;11;0;17282;162;63.7;0
1876;Bronckhorst;61;13;5;36052;169.2;36.1;13.9
213;Brummen;36;18;6;20756;173.4;86.7;28.9
899;Brunssum;79;37;13;27817;284;133;46.7
312;Bunnik;29;7;1;15191;190.9;46.1;6.6
313;Bunschoten;53;8;6;21867;242.4;36.6;27.4
214;Buren;39;14;6;26742;145.8;52.4;22.4
502;Capelle aan den IJssel;244;44;41;67151;363.4;65.5;61.1
383;Castricum;72;14;9;35988;200.1;38.9;25
109;Coevorden;54;12;1;35296;153;34;2.8
1706;Cranendonck;159;59;31;21166;751.2;278.7;146.5
1684;Cuijk;64;11;9;25139;254.6;43.8;35.8
216;Culemborg;54;21;7;28956;186.5;72.5;24.2
148;Dalfsen;74;15;6;28585;258.9;52.5;21
1891;Dantumadiel;6;2;0;18916;31.7;10.6;0
310;De Bilt;113;24;10;43124;262;55.7;23.2
1940;De Fryske Marren;54;14;5;51567;104.7;27.1;9.7
736;De Ronde Venen;79;38;10;44457;177.7;85.5;22.5
1690;De Wolden;40;11;0;24327;164.4;45.2;0
503;Delft;117;38;9;103659;112.9;36.7;8.7
10;Delfzijl;16;5;0;24666;64.9;20.3;0
400;Den Helder;30;8;0;56305;53.3;14.2;0
762;Deurne;136;51;17;32474;418.8;157;52.3
150;Deventer;198;42;28;100718;196.6;41.7;27.8
384;Diemen;80;16;8;30781;259.9;52;26
1774;Dinkelland;69;17;7;26470;260.7;64.2;26.4
221;Doesburg;24;7;6;11078;216.6;63.2;54.2
222;Doetinchem;85;16;13;58009;146.5;27.6;22.4
766;Dongen;70;18;10;26226;266.9;68.6;38.1
505;Dordrecht;247;78;22;119300;207;65.4;18.4
498;Drechterland;42;4;8;19717;213;20.3;40.6
1719;Drimmelen;59;18;5;27274;216.3;66;18.3
303;Dronten;101;27;11;41569;243;65;26.5
225;Druten;107;23;8;18918;565.6;121.6;42.3
226;Duiven;40;13;4;25124;159.2;51.7;15.9
1711;Echt-Susteren;80;37;15;31618;253;117;47.4
385;Edam-Volendam;76;21;3;36201;209.9;58;8.3
228;Ede;182;53;19;117166;155.3;45.2;16.2
317;Eemnes;14;2;1;9247;151.4;21.6;10.8
770;Eersel;58;22;9;19314;300.3;113.9;46.6
1903;Eijsden-Margraten;141;51;22;25753;547.5;198;85.4
772;Eindhoven;416;149;69;234456;177.4;63.6;29.4
230;Elburg;109;20;7;23161;470.6;86.4;30.2
114;Emmen;92;20;10;107055;85.9;18.7;9.3
388;Enkhuizen;28;18;4;18592;150.6;96.8;21.5
153;Enschede;175;51;15;159734;109.6;31.9;9.4
232;Epe;120;33;18;33186;361.6;99.4;54.2
233;Ermelo;95;23;13;27005;351.8;85.2;48.1
777;Etten-Leur;155;40;26;43880;353.2;91.2;59.3
779;Geertruidenberg;39;11;6;21538;181.1;51.1;27.9
1771;Geldrop-Mierlo;94;26;14;39733;236.6;65.4;35.2
1652;Gemert-Bakel;163;72;29;30725;530.5;234.3;94.4
907;Gennep;51;16;10;16924;301.3;94.5;59.1
784;Gilze en Rijen;71;17;12;26438;268.6;64.3;45.4
1924;Goeree-Overflakkee;244;53;28;50049;487.5;105.9;55.9
664;Goes;67;11;9;38080;175.9;28.9;23.6
785;Goirle;66;26;16;23906;276.1;108.8;66.9
1942;Gooise Meren;91;23;2;58041;156.8;39.6;3.4
512;Gorinchem;138;17;12;37009;372.9;45.9;32.4
513;Gouda;221;35;27;73443;300.9;47.7;36.8
786;Grave;62;20;7;12437;498.5;160.8;56.3
14;Groningen;156;17;3;232922;67;7.3;1.3
1729;Gulpen-Wittem;69;19;9;14176;486.7;134;63.5
158;Haaksbergen;50;14;4;24309;205.7;57.6;16.5
788;Haaren;39;17;7;14371;271.4;118.3;48.7
392;Haarlem;236;56;46;162961;144.8;34.4;28.2
394;Haarlemmermeer;194;58;18;156039;124.3;37.2;11.5
1655;Halderberge;52;13;6;30277;171.7;42.9;19.8
160;Hardenberg;162;23;7;60940;265.8;37.7;11.5
243;Harderwijk;117;28;13;48429;241.6;57.8;26.8
523;Hardinxveld-Giessendam;28;1;2;18295;153;5.5;10.9
72;Harlingen;16;4;1;15720;101.8;25.4;6.4
244;Hattem;41;11;5;12213;335.7;90.1;40.9
396;Heemskerk;75;25;9;39188;191.4;63.8;23
397;Heemstede;87;10;30;27239;319.4;36.7;110.1
246;Heerde;170;34;25;18587;914.6;182.9;134.5
74;Heerenveen;81;13;17;50494;160.4;25.7;33.7
398;Heerhugowaard;133;26;8;57592;230.9;45.1;13.9
917;Heerlen;304;112;44;87057;349.2;128.7;50.5
1658;Heeze-Leende;55;14;8;16150;340.6;86.7;49.5
399;Heiloo;43;9;7;23974;179.4;37.5;29.2
163;Hellendoorn;74;8;4;35923;206;22.3;11.1
530;Hellevoetsluis;58;14;1;40158;144.4;34.9;2.5
794;Helmond;293;92;32;92432;317;99.5;34.6
531;Hendrik-Ido-Ambacht;29;6;3;31204;92.9;19.2;9.6
164;Hengelo;112;20;15;81147;138;24.6;18.5
1966;Het Hogeland;26;7;2;47834;54.4;14.6;4.2
252;Heumen;64;17;5;16450;389.1;103.3;30.4
797;Heusden;127;43;17;44699;284.1;96.2;38
534;Hillegom;28;7;2;22208;126.1;31.5;9
798;Hilvarenbeek;35;7;4;15514;225.6;45.1;25.8
402;Hilversum;152;27;4;90883;167.2;29.7;4.4
1963;Hoeksche Waard;242;71;14;87461;276.7;81.2;16
1735;Hof van Twente;58;15;2;35013;165.7;42.8;5.7
1911;Hollands Kroon;57;26;6;48434;117.7;53.7;12.4
118;Hoogeveen;79;15;5;55697;141.8;26.9;9
405;Hoorn;76;30;11;73232;103.8;41;15
1507;Horst aan de Maas;113;40;23;42433;266.3;94.3;54.2
321;Houten;106;24;12;50146;211.4;47.9;23.9
406;Huizen;94;19;3;41273;227.8;46;7.3
677;Hulst;28;8;4;27556;101.6;29;14.5
353;IJsselstein;112;33;28;34110;328.3;96.7;82.1
1884;Kaag en Braassem;26;6;2;27300;95.2;22;7.3
166;Kampen;304;59;26;54340;559.4;108.6;47.8
678;Kapelle;21;3;1;12691;165.5;23.6;7.9
537;Katwijk;167;26;11;65754;254;39.5;16.7
928;Kerkrade;157;56;24;45744;343.2;122.4;52.5
1598;Koggenland;32;6;6;22752;140.6;26.4;26.4
542;Krimpen aan den IJssel;63;9;5;29533;213.3;30.5;16.9
1931;Krimpenerwaard;129;42;19;56319;229.1;74.6;33.7
1659;Laarbeek;101;36;26;22530;448.3;159.8;115.4
1685;Landerd;128;39;19;15730;813.7;247.9;120.8
882;Landgraaf;124;50;12;37457;331;133.5;32
415;Landsmeer;22;3;2;11492;191.4;26.1;17.4
416;Langedijk;43;16;2;28157;152.7;56.8;7.1
1621;Lansingerland;159;36;18;62396;254.8;57.7;28.8
417;Laren;24;8;1;11274;212.9;71;8.9
80;Leeuwarden;54;33;6;124058;43.5;26.6;4.8
546;Leiden;124;37;15;125174;99.1;29.6;12
547;Leiderdorp;27;10;5;27059;99.8;37;18.5
1916;Leidschendam-Voorburg;91;19;7;76553;118.9;24.8;9.1
995;Lelystad;140;56;11;78619;178.1;71.2;14
1640;Leudal;171;53;27;35896;476.4;147.6;75.2
327;Leusden;39;8;4;30399;128.3;26.3;13.2
1705;Lingewaard;92;29;8;46606;197.4;62.2;17.2
553;Lisse;20;6;2;22957;87.1;26.1;8.7
262;Lochem;77;12;10;33730;228.3;35.6;29.6
809;Loon op Zand;51;20;6;23407;217.9;85.4;25.6
331;Lopik;53;19;7;14471;366.2;131.3;48.4
24;Loppersum;2;0;0;9533;21;0;0
168;Losser;22;7;0;22685;97;30.9;0
263;Maasdriel;39;15;4;25034;155.8;59.9;16
1641;Maasgouw;90;27;10;23960;375.6;112.7;41.7
556;Maassluis;49;17;3;33216;147.5;51.2;9
935;Maastricht;633;166;87;121558;520.7;136.6;71.6
420;Medemblik;67;17;6;45104;148.5;37.7;13.3
938;Meerssen;82;20;10;18832;435.4;106.2;53.1
1948;Meierijstad;493;202;117;81197;607.2;248.8;144.1
119;Meppel;30;6;3;33902;88.5;17.7;8.8
687;Middelburg;45;15;7;48810;92.2;30.7;14.3
1842;Midden-Delfland;15;4;0;19344;77.5;20.7;0
1731;Midden-Drenthe;19;6;0;33182;57.3;18.1;0
1952;Midden-Groningen;29;6;2;60804;47.7;9.9;3.3
815;Mill en Sint Hubert;33;9;4;10941;301.6;82.3;36.6
1709;Moerdijk;62;13;8;37136;167;35;21.5
1978;Molenlanden;98;18;5;43931;223.1;41;11.4
1955;Montferland;80;12;4;36009;222.2;33.3;11.1
335;Montfoort;34;12;4;13920;244.3;86.2;28.7
944;Mook en Middelaar;33;6;4;7847;420.5;76.5;51
1740;Neder-Betuwe;101;31;17;24342;414.9;127.4;69.8
946;Nederweert;49;30;7;17022;287.9;176.2;41.1
