Gemnr;Gemeente;Meldingen;Zkh opname;Overleden;BevAant;Meldingen per 100.000;Zkh opname per 100.000;Overleden per 100.000
796;'s-Hertogenbosch;460;126;74;155113;296.6;81.2;47.7
1680;Aa en Hunze;14;1;0;25453;55;3.9;0
358;Aalsmeer;37;9;2;31857;116.1;28.3;6.3
197;Aalten;55;8;6;27117;202.8;29.5;22.1
59;Achtkarspelen;11;0;0;27836;39.5;0;0
482;Alblasserdam;42;9;3;20165;208.3;44.6;14.9
613;Albrandswaard;89;12;7;25589;347.8;46.9;27.4
361;Alkmaar;228;53;25;109444;208.3;48.4;22.8
141;Almelo;89;22;9;73080;121.8;30.1;12.3
34;Almere;385;121;17;211840;181.7;57.1;8
484;Alphen aan den Rijn;176;58;24;111889;157.3;51.8;21.4
1723;Alphen-Chaam;45;17;5;10213;440.6;166.5;49
1959;Altena;121;31;11;55980;216.1;55.4;19.6
60;Ameland;0;0;0;3718;0;0;0
307;Amersfoort;197;58;23;157279;125.3;36.9;14.6
362;Amstelveen;299;55;34;91691;326.1;60;37.1
363;Amsterdam;2183;590;230;872779;250.1;67.6;26.4
200;Apeldoorn;379;77;48;163829;231.3;47;29.3
3;Appingedam;5;3;0;11644;42.9;25.8;0
202;Arnhem;271;64;23;161368;167.9;39.7;14.3
106;Assen;42;12;2;68606;61.2;17.5;2.9
743;Asten;73;18;11;16734;436.2;107.6;65.7
744;Baarle-Nassau;23;9;2;6860;335.3;131.2;29.2
308;Baarn;56;11;8;24873;225.1;44.2;32.2
489;Barendrecht;120;36;12;48713;246.3;73.9;24.6
203;Barneveld;114;18;6;59077;193;30.5;10.2
888;Beek;43;15;5;15868;271;94.5;31.5
1954;Beekdaelen;159;50;21;35976;442;139;58.4
370;Beemster;9;4;1;10025;89.8;39.9;10
889;Beesel;41;20;8;13483;304.1;148.3;59.3
1945;Berg en Dal;151;29;15;34990;431.6;82.9;42.9
1724;Bergeijk;53;18;4;18638;284.4;96.6;21.5
893;Bergen (L.);23;7;2;13085;175.8;53.5;15.3
373;Bergen (NH.);55;16;3;29844;184.3;53.6;10.1
748;Bergen op Zoom;121;23;9;67489;179.3;34.1;13.3
1859;Berkelland;70;11;7;43748;160;25.1;16
1721;Bernheze;265;97;63;31247;848.1;310.4;201.6
753;Best;69;31;10;29985;230.1;103.4;33.4
209;Beuningen;65;19;5;25891;251.1;73.4;19.3
375;Beverwijk;71;15;9;41613;170.6;36;21.6
1728;Bladel;59;20;8;20395;289.3;98.1;39.2
376;Blaricum;26;8;2;11536;225.4;69.3;17.3
377;Bloemendaal;48;7;5;23570;203.6;29.7;21.2
1901;Bodegraven-Reeuwijk;52;7;1;34869;149.1;20.1;2.9
755;Boekel;88;35;21;10784;816;324.6;194.7
1681;Borger-Odoorn;9;4;3;25558;35.2;15.7;11.7
147;Borne;49;14;6;23313;210.2;60.1;25.7
654;Borsele;22;5;0;22738;96.8;22;0
756;Boxmeer;114;18;26;29371;388.1;61.3;88.5
757;Boxtel;77;23;13;30803;250;74.7;42.2
758;Breda;458;143;60;184271;248.5;77.6;32.6
501;Brielle;31;11;0;17282;179.4;63.7;0
1876;Bronckhorst;69;17;6;36052;191.4;47.2;16.6
213;Brummen;34;17;5;20756;163.8;81.9;24.1
899;Brunssum;90;43;13;27817;323.5;154.6;46.7
312;Bunnik;38;9;1;15191;250.1;59.2;6.6
313;Bunschoten;61;9;7;21867;279;41.2;32
214;Buren;46;16;7;26742;172;59.8;26.2
502;Capelle aan den IJssel;265;46;51;67151;394.6;68.5;75.9
383;Castricum;75;15;9;35988;208.4;41.7;25
109;Coevorden;56;13;2;35296;158.7;36.8;5.7
1706;Cranendonck;166;63;36;21166;784.3;297.6;170.1
1684;Cuijk;69;11;9;25139;274.5;43.8;35.8
216;Culemborg;59;21;7;28956;203.8;72.5;24.2
148;Dalfsen;77;16;6;28585;269.4;56;21
1891;Dantumadiel;6;2;0;18916;31.7;10.6;0
310;De Bilt;142;25;18;43124;329.3;58;41.7
1940;De Fryske Marren;59;16;5;51567;114.4;31;9.7
736;De Ronde Venen;90;39;11;44457;202.4;87.7;24.7
1690;De Wolden;44;11;4;24327;180.9;45.2;16.4
503;Delft;133;38;12;103659;128.3;36.7;11.6
10;Delfzijl;17;6;0;24666;68.9;24.3;0
400;Den Helder;37;12;1;56305;65.7;21.3;1.8
762;Deurne;153;53;21;32474;471.1;163.2;64.7
150;Deventer;241;46;31;100718;239.3;45.7;30.8
384;Diemen;92;17;14;30781;298.9;55.2;45.5
1774;Dinkelland;71;19;9;26470;268.2;71.8;34
221;Doesburg;32;9;6;11078;288.9;81.2;54.2
222;Doetinchem;94;23;15;58009;162;39.6;25.9
766;Dongen;75;19;11;26226;286;72.4;41.9
505;Dordrecht;316;81;26;119300;264.9;67.9;21.8
498;Drechterland;43;4;8;19717;218.1;20.3;40.6
1719;Drimmelen;65;18;7;27274;238.3;66;25.7
303;Dronten;110;29;11;41569;264.6;69.8;26.5
225;Druten;111;24;8;18918;586.7;126.9;42.3
226;Duiven;46;14;6;25124;183.1;55.7;23.9
1711;Echt-Susteren;88;39;15;31618;278.3;123.3;47.4
385;Edam-Volendam;87;21;3;36201;240.3;58;8.3
228;Ede;196;53;20;117166;167.3;45.2;17.1
317;Eemnes;16;2;1;9247;173;21.6;10.8
770;Eersel;62;26;9;19314;321;134.6;46.6
1903;Eijsden-Margraten;156;52;26;25753;605.8;201.9;101
772;Eindhoven;464;170;80;234456;197.9;72.5;34.1
230;Elburg;121;24;8;23161;522.4;103.6;34.5
114;Emmen;101;20;11;107055;94.3;18.7;10.3
388;Enkhuizen;29;18;4;18592;156;96.8;21.5
153;Enschede;197;52;19;159734;123.3;32.6;11.9
232;Epe;131;41;21;33186;394.7;123.5;63.3
233;Ermelo;119;24;16;27005;440.7;88.9;59.2
777;Etten-Leur;171;40;27;43880;389.7;91.2;61.5
779;Geertruidenberg;42;11;6;21538;195;51.1;27.9
1771;Geldrop-Mierlo;103;33;16;39733;259.2;83.1;40.3
1652;Gemert-Bakel;173;79;30;30725;563.1;257.1;97.6
907;Gennep;54;16;10;16924;319.1;94.5;59.1
784;Gilze en Rijen;73;18;15;26438;276.1;68.1;56.7
1924;Goeree-Overflakkee;251;53;33;50049;501.5;105.9;65.9
664;Goes;69;11;10;38080;181.2;28.9;26.3
785;Goirle;70;31;17;23906;292.8;129.7;71.1
1942;Gooise Meren;101;23;8;58041;174;39.6;13.8
512;Gorinchem;146;17;14;37009;394.5;45.9;37.8
513;Gouda;235;37;39;73443;320;50.4;53.1
786;Grave;68;21;10;12437;546.8;168.9;80.4
14;Groningen;164;18;3;232922;70.4;7.7;1.3
1729;Gulpen-Wittem;74;21;13;14176;522;148.1;91.7
158;Haaksbergen;54;14;6;24309;222.1;57.6;24.7
788;Haaren;47;18;7;14371;327;125.3;48.7
392;Haarlem;258;60;50;162961;158.3;36.8;30.7
394;Haarlemmermeer;246;65;24;156039;157.7;41.7;15.4
1655;Halderberge;53;13;6;30277;175.1;42.9;19.8
160;Hardenberg;170;23;8;60940;279;37.7;13.1
243;Harderwijk;136;35;16;48429;280.8;72.3;33
523;Hardinxveld-Giessendam;32;1;2;18295;174.9;5.5;10.9
72;Harlingen;16;4;1;15720;101.8;25.4;6.4
244;Hattem;41;14;5;12213;335.7;114.6;40.9
396;Heemskerk;79;25;10;39188;201.6;63.8;25.5
397;Heemstede;88;10;32;27239;323.1;36.7;117.5
246;Heerde;186;49;28;18587;1000.7;263.6;150.6
74;Heerenveen;88;13;19;50494;174.3;25.7;37.6
398;Heerhugowaard;138;27;8;57592;239.6;46.9;13.9
917;Heerlen;345;119;50;87057;396.3;136.7;57.4
1658;Heeze-Leende;58;15;8;16150;359.1;92.9;49.5
399;Heiloo;46;9;8;23974;191.9;37.5;33.4
163;Hellendoorn;94;8;9;35923;261.7;22.3;25.1
530;Hellevoetsluis;61;14;2;40158;151.9;34.9;5
794;Helmond;332;112;40;92432;359.2;121.2;43.3
531;Hendrik-Ido-Ambacht;45;8;4;31204;144.2;25.6;12.8
164;Hengelo;118;21;18;81147;145.4;25.9;22.2
1966;Het Hogeland;29;7;3;47834;60.6;14.6;6.3
252;Heumen;70;17;8;16450;425.5;103.3;48.6
797;Heusden;135;45;21;44699;302;100.7;47
534;Hillegom;32;7;2;22208;144.1;31.5;9
798;Hilvarenbeek;41;9;5;15514;264.3;58;32.2
402;Hilversum;187;30;24;90883;205.8;33;26.4
1963;Hoeksche Waard;285;74;20;87461;325.9;84.6;22.9
1735;Hof van Twente;62;15;4;35013;177.1;42.8;11.4
1911;Hollands Kroon;62;26;6;48434;128;53.7;12.4
118;Hoogeveen;89;19;7;55697;159.8;34.1;12.6
405;Hoorn;87;34;12;73232;118.8;46.4;16.4
1507;Horst aan de Maas;121;41;23;42433;285.2;96.6;54.2
321;Houten;123;24;13;50146;245.3;47.9;25.9
406;Huizen;122;21;9;41273;295.6;50.9;21.8
677;Hulst;29;9;4;27556;105.2;32.7;14.5
353;IJsselstein;132;35;32;34110;387;102.6;93.8
1884;Kaag en Braassem;26;6;2;27300;95.2;22;7.3
166;Kampen;327;59;26;54340;601.8;108.6;47.8
678;Kapelle;22;3;1;12691;173.4;23.6;7.9
537;Katwijk;187;29;12;65754;284.4;44.1;18.2
928;Kerkrade;192;61;32;45744;419.7;133.4;70
1598;Koggenland;34;6;6;22752;149.4;26.4;26.4
542;Krimpen aan den IJssel;71;10;7;29533;240.4;33.9;23.7
1931;Krimpenerwaard;148;44;21;56319;262.8;78.1;37.3
1659;Laarbeek;112;40;26;22530;497.1;177.5;115.4
1685;Landerd;138;39;21;15730;877.3;247.9;133.5
882;Landgraaf;132;52;12;37457;352.4;138.8;32
415;Landsmeer;23;3;3;11492;200.1;26.1;26.1
416;Langedijk;44;16;2;28157;156.3;56.8;7.1
1621;Lansingerland;171;41;19;62396;274.1;65.7;30.5
417;Laren;24;8;2;11274;212.9;71;17.7
80;Leeuwarden;56;33;6;124058;45.1;26.6;4.8
546;Leiden;138;38;18;125174;110.2;30.4;14.4
547;Leiderdorp;31;12;6;27059;114.6;44.3;22.2
1916;Leidschendam-Voorburg;102;19;13;76553;133.2;24.8;17
995;Lelystad;162;62;26;78619;206.1;78.9;33.1
1640;Leudal;177;52;31;35896;493.1;144.9;86.4
327;Leusden;47;9;4;30399;154.6;29.6;13.2
1705;Lingewaard;108;30;10;46606;231.7;64.4;21.5
553;Lisse;26;7;2;22957;113.3;30.5;8.7
262;Lochem;85;12;12;33730;252;35.6;35.6
809;Loon op Zand;55;24;6;23407;235;102.5;25.6
331;Lopik;63;19;7;14471;435.4;131.3;48.4
24;Loppersum;2;0;0;9533;21;0;0
168;Losser;23;7;0;22685;101.4;30.9;0
263;Maasdriel;46;15;8;25034;183.8;59.9;32
1641;Maasgouw;101;27;12;23960;421.5;112.7;50.1
556;Maassluis;55;18;3;33216;165.6;54.2;9
935;Maastricht;780;179;117;121558;641.7;147.3;96.3
420;Medemblik;69;18;6;45104;153;39.9;13.3
938;Meerssen;98;21;11;18832;520.4;111.5;58.4
1948;Meierijstad;529;209;126;81197;651.5;257.4;155.2
119;Meppel;31;8;4;33902;91.4;23.6;11.8
687;Middelburg;57;18;9;48810;116.8;36.9;18.4
1842;Midden-Delfland;18;4;0;19344;93.1;20.7;0
1731;Midden-Drenthe;21;6;0;33182;63.3;18.1;0
1952;Midden-Groningen;31;6;3;60804;51;9.9;4.9
815;Mill en Sint Hubert;36;9;5;10941;329;82.3;45.7
1709;Moerdijk;73;14;8;37136;196.6;37.7;21.5
1978;Molenlanden;110;18;8;43931;250.4;41;18.2
1955;Montferland;85;18;8;36009;236.1;50;22.2
335;Montfoort;37;12;5;13920;265.8;86.2;35.9
944;Mook en Middelaar;35;6;5;7847;446;76.5;63.7
1740;Neder-Betuwe;119;34;20;24342;488.9;139.7;82.2
946;Nederweert;50;31;7;17022;293.7;182.1;41.1
356;Nieuwegein;119;41;13;63461;187.5;64.6;20.5
569;Nieuwkoop;46;8;4;28809;159.7;27.8;13.9
267;Nijkerk;54;22;3;43176;125.1;51;6.9
268;Nijmegen;569;124;59;177698;320.2;69.8;33.2
1930;Nissewaard;167;52;16;85237;195.9;61;18.8
1970;Noardeast-Fryslân;25;6;4;45251;55.2;13.3;8.8
1695;Noord-Beveland;7;1;0;7395;94.7;13.5;0
1699;Noordenveld;18;4;1;31242;57.6;12.8;3.2
