Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
766;Dongen;26226;10-06-2020;23-06-2020;1;3,8;0;0;0;0
505;Dordrecht;119300;10-06-2020;23-06-2020;15;12,6;0;0;2;1,7
498;Drechterland;19717;10-06-2020;23-06-2020;1;5,1;0;0;0;0
1719;Drimmelen;27274;10-06-2020;23-06-2020;0;0;0;0;0;0
303;Dronten;41569;10-06-2020;23-06-2020;0;0;0;0;1;2,4
225;Druten;18918;10-06-2020;23-06-2020;1;5,3;0;0;0;0
226;Duiven;25124;10-06-2020;23-06-2020;3;11,9;0;0;0;0
1711;Echt-Susteren;31618;10-06-2020;23-06-2020;0;0;0;0;0;0
385;Edam-Volendam;36201;10-06-2020;23-06-2020;1;2,8;1;2,8;0;0
228;Ede;117166;10-06-2020;23-06-2020;6;5,1;0;0;0;0
317;Eemnes;9247;10-06-2020;23-06-2020;0;0;0;0;0;0
770;Eersel;19314;10-06-2020;23-06-2020;0;0;0;0;0;0
1903;Eijsden-Margraten;25753;10-06-2020;23-06-2020;2;7,8;0;0;0;0
772;Eindhoven;234456;10-06-2020;23-06-2020;14;6;0;0;0;0
230;Elburg;23161;10-06-2020;23-06-2020;2;8,6;0;0;0;0
114;Emmen;107055;10-06-2020;23-06-2020;0;0;0;0;0;0
388;Enkhuizen;18592;10-06-2020;23-06-2020;1;5,4;0;0;0;0
153;Enschede;159734;10-06-2020;23-06-2020;6;3,8;0;0;0;0
232;Epe;33186;10-06-2020;23-06-2020;1;3;0;0;0;0
233;Ermelo;27005;10-06-2020;23-06-2020;7;25,9;0;0;0;0
777;Etten-Leur;43880;10-06-2020;23-06-2020;6;13,7;0;0;0;0
779;Geertruidenberg;21538;10-06-2020;23-06-2020;0;0;0;0;0;0
1771;Geldrop-Mierlo;39733;10-06-2020;23-06-2020;2;5;0;0;0;0
1652;Gemert-Bakel;30725;10-06-2020;23-06-2020;13;42,3;0;0;0;0
907;Gennep;16924;10-06-2020;23-06-2020;0;0;0;0;0;0
784;Gilze en Rijen;26438;10-06-2020;23-06-2020;1;3,8;0;0;0;0
1924;Goeree-Overflakkee;50049;10-06-2020;23-06-2020;2;4;1;2;0;0
664;Goes;38080;10-06-2020;23-06-2020;0;0;0;0;0;0
785;Goirle;23906;10-06-2020;23-06-2020;1;4,2;0;0;0;0
1942;Gooise Meren;58041;10-06-2020;23-06-2020;5;8,6;0;0;0;0
512;Gorinchem;37009;10-06-2020;23-06-2020;1;2,7;0;0;0;0
513;Gouda;73443;10-06-2020;23-06-2020;4;5,4;0;0;0;0
786;Grave;12437;10-06-2020;23-06-2020;0;0;0;0;0;0
14;Groningen;232922;10-06-2020;23-06-2020;2;0,9;0;0;0;0
1729;Gulpen-Wittem;14176;10-06-2020;23-06-2020;1;7,1;0;0;0;0
