Gemnr;Gemeente;Meldingen;Zkh opname;Overleden;BevAant;Meldingen per 100.000;Zkh opname per 100.000;Overleden per 100.000
796;'s-Hertogenbosch;408;122;64;155113;263;78.7;41.3
1680;Aa en Hunze;13;1;0;25453;51.1;3.9;0
358;Aalsmeer;37;8;2;31857;116.1;25.1;6.3
197;Aalten;51;5;3;27117;188.1;18.4;11.1
59;Achtkarspelen;9;0;0;27836;32.3;0;0
482;Alblasserdam;38;9;1;20165;188.4;44.6;5
613;Albrandswaard;80;9;6;25589;312.6;35.2;23.4
361;Alkmaar;212;52;21;109444;193.7;47.5;19.2
141;Almelo;86;21;6;73080;117.7;28.7;8.2
34;Almere;286;109;7;211840;135;51.5;3.3
484;Alphen aan den Rijn;152;57;19;111889;135.8;50.9;17
1723;Alphen-Chaam;45;17;5;10213;440.6;166.5;49
1959;Altena;110;30;11;55980;196.5;53.6;19.6
60;Ameland;0;0;0;3718;0;0;0
307;Amersfoort;154;56;19;157279;97.9;35.6;12.1
362;Amstelveen;282;55;32;91691;307.6;60;34.9
363;Amsterdam;1703;518;152;872779;195.1;59.4;17.4
200;Apeldoorn;315;58;37;163829;192.3;35.4;22.6
3;Appingedam;5;3;0;11644;42.9;25.8;0
202;Arnhem;234;58;21;161368;145;35.9;13
106;Assen;38;12;2;68606;55.4;17.5;2.9
743;Asten;67;14;8;16734;400.4;83.7;47.8
744;Baarle-Nassau;5;1;0;6860;72.9;14.6;0
308;Baarn;42;10;5;24873;168.9;40.2;20.1
489;Barendrecht;99;29;6;48713;203.2;59.5;12.3
203;Barneveld;100;17;6;59077;169.3;28.8;10.2
888;Beek;40;15;3;15868;252.1;94.5;18.9
1954;Beekdaelen;132;44;19;35976;366.9;122.3;52.8
370;Beemster;8;4;1;10025;79.8;39.9;10
889;Beesel;41;20;8;13483;304.1;148.3;59.3
1945;Berg en Dal;161;32;15;34990;460.1;91.5;42.9
1724;Bergeijk;48;14;4;18638;257.5;75.1;21.5
893;Bergen (L.);19;7;2;13085;145.2;53.5;15.3
373;Bergen (NH.);50;16;3;29844;167.5;53.6;10.1
748;Bergen op Zoom;94;21;8;67489;139.3;31.1;11.9
1859;Berkelland;64;6;5;43748;146.3;13.7;11.4
1721;Bernheze;246;93;55;31247;787.3;297.6;176
753;Best;55;31;10;29985;183.4;103.4;33.4
209;Beuningen;57;19;4;25891;220.2;73.4;15.4
375;Beverwijk;68;15;6;41613;163.4;36;14.4
1728;Bladel;50;18;7;20395;245.2;88.3;34.3
376;Blaricum;23;7;0;11536;199.4;60.7;0
377;Bloemendaal;41;6;3;23570;173.9;25.5;12.7
1901;Bodegraven-Reeuwijk;42;7;2;34869;120.5;20.1;5.7
755;Boekel;86;35;21;10784;797.5;324.6;194.7
1681;Borger-Odoorn;8;3;3;25558;31.3;11.7;11.7
147;Borne;45;14;6;23313;193;60.1;25.7
654;Borsele;22;5;0;22738;96.8;22;0
756;Boxmeer;97;18;18;29371;330.3;61.3;61.3
757;Boxtel;56;22;12;30803;181.8;71.4;39
758;Breda;422;141;54;184271;229;76.5;29.3
501;Brielle;27;11;0;17282;156.2;63.7;0
1876;Bronckhorst;61;13;5;36052;169.2;36.1;13.9
213;Brummen;34;16;6;20756;163.8;77.1;28.9
899;Brunssum;77;37;13;27817;276.8;133;46.7
312;Bunnik;28;7;1;15191;184.3;46.1;6.6
313;Bunschoten;53;7;6;21867;242.4;32;27.4
214;Buren;37;14;6;26742;138.4;52.4;22.4
502;Capelle aan den IJssel;238;42;41;67151;354.4;62.5;61.1
383;Castricum;72;14;9;35988;200.1;38.9;25
109;Coevorden;53;12;1;35296;150.2;34;2.8
1706;Cranendonck;157;59;28;21166;741.8;278.7;132.3
1684;Cuijk;53;11;9;25139;210.8;43.8;35.8
216;Culemborg;53;21;7;28956;183;72.5;24.2
148;Dalfsen;73;15;6;28585;255.4;52.5;21
1891;Dantumadiel;6;2;0;18916;31.7;10.6;0
310;De Bilt;107;24;9;43124;248.1;55.7;20.9
1940;De Fryske Marren;54;14;5;51567;104.7;27.1;9.7
736;De Ronde Venen;78;38;10;44457;175.5;85.5;22.5
1690;De Wolden;38;11;0;24327;156.2;45.2;0
503;Delft;113;37;9;103659;109;35.7;8.7
10;Delfzijl;16;5;0;24666;64.9;20.3;0
400;Den Helder;30;8;0;56305;53.3;14.2;0
762;Deurne;131;51;17;32474;403.4;157;52.3
150;Deventer;189;42;28;100718;187.7;41.7;27.8
384;Diemen;74;16;8;30781;240.4;52;26
1774;Dinkelland;69;17;7;26470;260.7;64.2;26.4
221;Doesburg;24;7;6;11078;216.6;63.2;54.2
222;Doetinchem;85;16;13;58009;146.5;27.6;22.4
766;Dongen;66;17;10;26226;251.7;64.8;38.1
505;Dordrecht;240;77;21;119300;201.2;64.5;17.6
498;Drechterland;42;4;8;19717;213;20.3;40.6
1719;Drimmelen;58;18;4;27274;212.7;66;14.7
303;Dronten;100;27;7;41569;240.6;65;16.8
225;Druten;106;23;7;18918;560.3;121.6;37
