Gemnr;Gemeente;Aantal;BevAant;Aantal per 100.000 inwoners
553;Lisse;3;22957;13.1
262;Lochem;2;33730;5.9
809;Loon op Zand;15;23407;64.1
331;Lopik;10;14471;69.1
24;Loppersum;0;9533;0
168;Losser;3;22685;13.2
263;Maasdriel;11;25034;43.9
1641;Maasgouw;12;23960;50.1
556;Maassluis;8;33216;24.1
935;Maastricht;26;121558;21.4
420;Medemblik;10;45104;22.2
938;Meerssen;3;18832;15.9
1948;Meierijstad;112;81197;137.9
119;Meppel;4;33902;11.8
687;Middelburg;12;48810;24.6
1842;Midden-Delfland;2;19344;10.3
1731;Midden-Drenthe;4;33182;12.1
1952;Midden-Groningen;4;60804;6.6
815;Mill en Sint Hubert;6;10941;54.8
1709;Moerdijk;6;37136;16.2
1978;Molenlanden;10;43931;22.8
1955;Montferland;4;36009;11.1
335;Montfoort;9;13920;64.7
944;Mook en Middelaar;3;7847;38.2
1740;Neder-Betuwe;26;24342;106.8
946;Nederweert;24;17022;141
356;Nieuwegein;17;63461;26.8
569;Nieuwkoop;5;28809;17.4
267;Nijkerk;11;43176;25.5
268;Nijmegen;79;177698;44.5
1930;Nissewaard;20;85237;23.5
1970;Noardeast-Fryslân;4;45251;8.8
1695;Noord-Beveland;0;7395;0
1699;Noordenveld;1;31242;3.2
171;Noordoostpolder;6;47262;12.7
575;Noordwijk;8;43528;18.4
820;Nuenen, Gerwen en Nederwetten;9;23379;38.5
302;Nunspeet;17;27845;61.1
579;Oegstgeest;3;24843;12.1
823;Oirschot;6;18723;32
824;Oisterwijk;10;26241;38.1
1895;Oldambt;1;38213;2.6
269;Oldebroek;8;23645;33.8
173;Oldenzaal;8;31832;25.1
1773;Olst-Wijhe;5;18251;27.4
175;Ommen;4;18007;22.2
1586;Oost Gelre;2;29623;6.8
826;Oosterhout;24;55990;42.9
85;Ooststellingwerf;1;25472;3.9
431;Oostzaan;3;9733;30.8
432;Opmeer;1;11837;8.4
86;Opsterland;4;29742;13.4
828;Oss;78;91932;84.8
1509;Oude IJsselstreek;2;39392;5.1
437;Ouder-Amstel;3;14029;21.4
589;Oudewater;15;10226;146.7
1734;Overbetuwe;38;47909;79.3
590;Papendrecht;1;32133;3.1
1894;Peel en Maas;107;43420;246.4
765;Pekela;4;12199;32.8
1926;Pijnacker-Nootdorp;10;55329;18.1
439;Purmerend;37;81233;45.5
273;Putten;1;24113;4.1
177;Raalte;16;37709;42.4
703;Reimerswaal;4;22728;17.6
274;Renkum;11;31404;35
339;Renswoude;1;5448;18.4
1667;Reusel-De Mierden;4;13110;30.5
275;Rheden;22;43736;50.3
340;Rhenen;3;20125;14.9
597;Ridderkerk;22;46204;47.6
1742;Rijssen-Holten;8;38178;21
603;Rijswijk;12;54432;22
1669;Roerdalen;16;20572;77.8
957;Roermond;30;58254;51.5
1674;Roosendaal;12;77226;15.5
599;Rotterdam;132;651376;20.3
277;Rozendaal;1;1705;58.7
840;Rucphen;4;22873;17.5
518;s-Gravenhage;96;545163;17.6
441;Schagen;10;46482;21.5
279;Scherpenzeel;0;9880;0
606;Schiedam;21;78739;26.7
88;Schiermonnikoog;0;947;0
1676;Schouwen-Duiveland;7;33858;20.7
965;Simpelveld;2;10552;19
1702;Sint Anthonis;14;11672;119.9
845;Sint-Michielsgestel;14;29203;47.9
1883;Sittard-Geleen;25;92422;27
610;Sliedrecht;2;25217;7.9
1714;Sluis;4;23217;17.2
90;Smallingerland;5;56154;8.9
342;Soest;9;46607;19.3
847;Someren;13;19376;67.1
848;Son en Breugel;18;17321;103.9
37;Stadskanaal;0;31688;0
180;Staphorst;1;17144;5.8
532;Stede Broec;11;21734;50.6
851;Steenbergen;7;24501;28.6
1708;Steenwijkerland;7;44139;15.9
971;Stein;11;25000;44
1904;Stichtse Vecht;16;64928;24.6
1900;Súdwest-Fryslân;13;89987;14.4
715;Terneuzen;13;54438;23.9
93;Terschelling;0;4889;0
448;Texel;1;13573;7.4
1525;Teylingen;7;37426;18.7
716;Tholen;23;25758;89.3
281;Tiel;21;42161;49.8
855;Tilburg;119;219800;54.1
183;Tubbergen;7;21279;32.9
1700;Twenterand;5;33743;14.8
1730;Tynaarlo;5;33879;14.8
737;Tytsjerksteradiel;1;32046;3.1
856;Uden;73;42122;173.3
450;Uitgeest;3;13649;22
451;Uithoorn;9;29466;30.5
184;Urk;11;21033;52.3
344;Utrecht;80;357694;22.4
1581;Utrechtse Heuvelrug;10;49601;20.2
981;Vaals;2;10099;19.8
994;Valkenburg aan de Geul;2;16360;12.2
858;Valkenswaard;8;31200;25.6
47;Veendam;1;27387;3.7
345;Veenendaal;7;66491;10.5
717;Veere;3;21885;13.7
861;Veldhoven;8;45458;17.6
453;Velsen;15;68660;21.8
983;Venlo;66;101797;64.8
984;Venray;22;43604;50.5
1961;Vijfheerenlanden;11;56816;19.4
622;Vlaardingen;15;73445;20.4
96;Vlieland;0;1152;0
718;Vlissingen;6;44365;13.5
986;Voerendaal;2;12471;16
626;Voorschoten;5;25603;19.5
285;Voorst;3;24546;12.2
865;Vught;24;26554;90.4
1949;Waadhoeke;4;46079;8.7
866;Waalre;1;17454;5.7
867;Waalwijk;16;48620;32.9
627;Waddinxveen;6;29293;20.5
289;Wageningen;6;39673;15.1
629;Wassenaar;2;26214;7.6
852;Waterland;8;17422;45.9
988;Weert;30;50107;59.9
457;Weesp;4;19729;20.3
1960;West Betuwe;14;51198;27.3
668;West Maas en Waal;9;19320;46.6
1969;Westerkwartier;9;63375;14.2
1701;Westerveld;1;19460;5.1
293;Westervoort;3;14973;20
1950;Westerwolde;4;25796;15.5
1783;Westland;26;110357;23.6
98;Weststellingwerf;2;25916;7.7
614;Westvoorne;4;14728;27.2
189;Wierden;2;24440;8.2
296;Wijchen;30;41124;73
1696;Wijdemeren;4;24360;16.4
352;Wijk bij Duurstede;7;23910;29.3
294;Winterswijk;1;28865;3.5
873;Woensdrecht;4;21883;18.3
632;Woerden;25;52294;47.8
880;Wormerland;9;16299;55.2
351;Woudenberg;2;13362;15
479;Zaanstad;34;156711;21.7
297;Zaltbommel;9;28901;31.1
473;Zandvoort;4;17116;23.4
50;Zeewolde;4;22656;17.7
355;Zeist;13;64932;20
299;Zevenaar;18;43740;41.2
637;Zoetermeer;22;125283;17.6
638;Zoeterwoude;2;8611;23.2
1892;Zuidplas;10;43894;22.8
879;Zundert;13;21821;59.6
301;Zutphen;8;47942;16.7
1896;Zwartewaterland;20;22690;88.1
642;Zwijndrecht;9;44741;20.1
193;Zwolle;28;128831;21.7
