Gemnr;Gemeente;Meldingen;Zkh opname;Overleden;BevAant;Meldingen per 100.000;Zkh opname per 100.000;Overleden per 100.000
796;'s-Hertogenbosch;332;115;55;155113;214;74.1;35.5
1680;Aa en Hunze;11;1;0;25453;43.2;3.9;0
358;Aalsmeer;32;7;2;31857;100.4;22;6.3
197;Aalten;34;2;3;27117;125.4;7.4;11.1
59;Achtkarspelen;7;0;0;27836;25.1;0;0
482;Alblasserdam;30;8;2;20165;148.8;39.7;9.9
613;Albrandswaard;64;9;3;25589;250.1;35.2;11.7
361;Alkmaar;186;49;19;109444;169.9;44.8;17.4
141;Almelo;76;20;3;73080;104;27.4;4.1
34;Almere;206;101;5;211840;97.2;47.7;2.4
484;Alphen aan den Rijn;124;51;11;111889;110.8;45.6;9.8
1723;Alphen-Chaam;40;15;4;10213;391.7;146.9;39.2
1959;Altena;92;29;9;55980;164.3;51.8;16.1
60;Ameland;0;0;0;3718;0;0;0
307;Amersfoort;133;52;15;157279;84.6;33.1;9.5
362;Amstelveen;232;48;27;91691;253;52.3;29.4
363;Amsterdam;1377;453;108;872779;157.8;51.9;12.4
200;Apeldoorn;208;42;26;163829;127;25.6;15.9
3;Appingedam;3;2;0;11644;25.8;17.2;0
202;Arnhem;192;56;16;161368;119;34.7;9.9
106;Assen;34;10;2;68606;49.6;14.6;2.9
743;Asten;54;14;6;16734;322.7;83.7;35.9
744;Baarle-Nassau;4;1;0;6860;58.3;14.6;0
308;Baarn;31;10;1;24873;124.6;40.2;4
489;Barendrecht;78;29;5;48713;160.1;59.5;10.3
203;Barneveld;85;13;6;59077;143.9;22;10.2
888;Beek;29;14;3;15868;182.8;88.2;18.9
1954;Beekdaelen;86;40;18;35976;239;111.2;50
370;Beemster;8;4;1;10025;79.8;39.9;10
889;Beesel;35;20;7;13483;259.6;148.3;51.9
1945;Berg en Dal;135;29;13;34990;385.8;82.9;37.2
1724;Bergeijk;41;14;4;18638;220;75.1;21.5
893;Bergen (L.);13;6;2;13085;99.4;45.9;15.3
373;Bergen (NH.);46;16;3;29844;154.1;53.6;10.1
748;Bergen op Zoom;66;20;4;67489;97.8;29.6;5.9
1859;Berkelland;44;5;1;43748;100.6;11.4;2.3
1721;Bernheze;215;77;39;31247;688.1;246.4;124.8
753;Best;46;31;8;29985;153.4;103.4;26.7
209;Beuningen;43;19;4;25891;166.1;73.4;15.4
375;Beverwijk;61;15;5;41613;146.6;36;12
1728;Bladel;44;16;7;20395;215.7;78.5;34.3
376;Blaricum;20;6;0;11536;173.4;52;0
377;Bloemendaal;38;6;3;23570;161.2;25.5;12.7
1901;Bodegraven-Reeuwijk;33;7;2;34869;94.6;20.1;5.7
