Gemnr;Gemeente;Meldingen;Zkh opname;Overleden;BevAant;Meldingen per 100.000;Zkh opname per 100.000;Overleden per 100.000
785;Goirle;61;25;14;23906;255.2;104.6;58.6
1942;Gooise Meren;86;23;2;58041;148.2;39.6;3.4
512;Gorinchem;126;16;11;37009;340.5;43.2;29.7
513;Gouda;197;32;19;73443;268.2;43.6;25.9
786;Grave;48;18;6;12437;385.9;144.7;48.2
14;Groningen;149;16;2;232922;64;6.9;0.9
1729;Gulpen-Wittem;50;16;6;14176;352.7;112.9;42.3
158;Haaksbergen;49;14;1;24309;201.6;57.6;4.1
788;Haaren;36;17;7;14371;250.5;118.3;48.7
392;Haarlem;226;54;46;162961;138.7;33.1;28.2
394;Haarlemmermeer;180;57;17;156039;115.4;36.5;10.9
1655;Halderberge;51;13;6;30277;168.4;42.9;19.8
160;Hardenberg;145;23;6;60940;237.9;37.7;9.8
243;Harderwijk;85;19;10;48429;175.5;39.2;20.6
523;Hardinxveld-Giessendam;27;1;2;18295;147.6;5.5;10.9
72;Harlingen;14;4;1;15720;89.1;25.4;6.4
244;Hattem;38;11;5;12213;311.1;90.1;40.9
396;Heemskerk;75;25;8;39188;191.4;63.8;20.4
397;Heemstede;87;10;27;27239;319.4;36.7;99.1
246;Heerde;139;30;18;18587;747.8;161.4;96.8
74;Heerenveen;77;13;13;50494;152.5;25.7;25.7
398;Heerhugowaard;110;25;7;57592;191;43.4;12.2
917;Heerlen;249;101;40;87057;286;116;45.9
1658;Heeze-Leende;51;13;6;16150;315.8;80.5;37.2
399;Heiloo;40;9;6;23974;166.8;37.5;25
163;Hellendoorn;52;7;2;35923;144.8;19.5;5.6
530;Hellevoetsluis;56;14;1;40158;139.4;34.9;2.5
794;Helmond;257;90;31;92432;278;97.4;33.5
531;Hendrik-Ido-Ambacht;27;6;2;31204;86.5;19.2;6.4
164;Hengelo;105;17;14;81147;129.4;20.9;17.3
1966;Het Hogeland;25;7;1;47834;52.3;14.6;2.1
252;Heumen;54;17;4;16450;328.3;103.3;24.3
797;Heusden;100;40;13;44699;223.7;89.5;29.1
534;Hillegom;28;7;1;22208;126.1;31.5;4.5
798;Hilvarenbeek;31;7;4;15514;199.8;45.1;25.8
402;Hilversum;106;24;3;90883;116.6;26.4;3.3
1963;Hoeksche Waard;195;67;9;87461;223;76.6;10.3
1735;Hof van Twente;57;14;2;35013;162.8;40;5.7
1911;Hollands Kroon;54;26;5;48434;111.5;53.7;10.3
118;Hoogeveen;62;12;4;55697;111.3;21.5;7.2
405;Hoorn;70;29;11;73232;95.6;39.6;15
1507;Horst aan de Maas;102;40;19;42433;240.4;94.3;44.8
321;Houten;95;23;10;50146;189.4;45.9;19.9
406;Huizen;70;18;3;41273;169.6;43.6;7.3
677;Hulst;25;8;4;27556;90.7;29;14.5
353;IJsselstein;93;33;23;34110;272.6;96.7;67.4
1884;Kaag en Braassem;21;6;2;27300;76.9;22;7.3
166;Kampen;287;57;23;54340;528.2;104.9;42.3
678;Kapelle;17;2;1;12691;134;15.8;7.9
537;Katwijk;123;22;7;65754;187.1;33.5;10.6
928;Kerkrade;127;53;17;45744;277.6;115.9;37.2
1598;Koggenland;30;6;6;22752;131.9;26.4;26.4
542;Krimpen aan den IJssel;54;9;4;29533;182.8;30.5;13.5
1931;Krimpenerwaard;118;40;20;56319;209.5;71;35.5
1659;Laarbeek;89;35;24;22530;395;155.3;106.5
1685;Landerd;111;30;15;15730;705.7;190.7;95.4
882;Landgraaf;107;46;11;37457;285.7;122.8;29.4
415;Landsmeer;19;3;2;11492;165.3;26.1;17.4
416;Langedijk;40;16;2;28157;142.1;56.8;7.1
1621;Lansingerland;148;35;15;62396;237.2;56.1;24
417;Laren;22;8;1;11274;195.1;71;8.9
80;Leeuwarden;49;32;6;124058;39.5;25.8;4.8
546;Leiden;109;36;12;125174;87.1;28.8;9.6
547;Leiderdorp;23;10;3;27059;85;37;11.1
1916;Leidschendam-Voorburg;72;20;6;76553;94.1;26.1;7.8
995;Lelystad;113;49;7;78619;143.7;62.3;8.9
1640;Leudal;160;53;22;35896;445.7;147.6;61.3
327;Leusden;34;8;4;30399;111.8;26.3;13.2
1705;Lingewaard;78;28;5;46606;167.4;60.1;10.7
553;Lisse;19;6;2;22957;82.8;26.1;8.7
262;Lochem;65;11;7;33730;192.7;32.6;20.8
809;Loon op Zand;48;20;5;23407;205.1;85.4;21.4
331;Lopik;42;18;3;14471;290.2;124.4;20.7
24;Loppersum;2;0;0;9533;21;0;0
168;Losser;20;7;0;22685;88.2;30.9;0
263;Maasdriel;29;15;4;25034;115.8;59.9;16
1641;Maasgouw;68;26;10;23960;283.8;108.5;41.7
556;Maassluis;43;14;2;33216;129.5;42.1;6
935;Maastricht;535;149;63;121558;440.1;122.6;51.8
420;Medemblik;57;17;6;45104;126.4;37.7;13.3
938;Meerssen;72;17;9;18832;382.3;90.3;47.8
1948;Meierijstad;442;169;106;81197;544.4;208.1;130.5
119;Meppel;28;6;3;33902;82.6;17.7;8.8
687;Middelburg;41;14;7;48810;84;28.7;14.3
1842;Midden-Delfland;13;4;0;19344;67.2;20.7;0
1731;Midden-Drenthe;18;6;0;33182;54.2;18.1;0
1952;Midden-Groningen;26;6;1;60804;42.8;9.9;1.6
815;Mill en Sint Hubert;27;9;4;10941;246.8;82.3;36.6
1709;Moerdijk;53;13;6;37136;142.7;35;16.2
1978;Molenlanden;87;17;4;43931;198;38.7;9.1
1955;Montferland;65;10;4;36009;180.5;27.8;11.1
335;Montfoort;32;12;4;13920;229.9;86.2;28.7
944;Mook en Middelaar;31;6;4;7847;395.1;76.5;51
1740;Neder-Betuwe;83;31;15;24342;341;127.4;61.6
946;Nederweert;43;28;6;17022;252.6;164.5;35.2
356;Nieuwegein;83;37;10;63461;130.8;58.3;15.8
569;Nieuwkoop;43;8;4;28809;149.3;27.8;13.9
267;Nijkerk;47;21;2;43176;108.9;48.6;4.6
268;Nijmegen;479;115;42;177698;269.6;64.7;23.6
1930;Nissewaard;127;38;9;85237;149;44.6;10.6
1970;Noardeast-Frysl̢n;23;6;4;45251;50.8;13.3;8.8
1695;Noord-Beveland;5;1;0;7395;67.6;13.5;0
1699;Noordenveld;17;2;1;31242;54.4;6.4;3.2
171;Noordoostpolder;50;13;3;47262;105.8;27.5;6.3
575;Noordwijk;37;14;1;43528;85;32.2;2.3
820;Nuenen, Gerwen en Nederwetten;41;15;5;23379;175.4;64.2;21.4
302;Nunspeet;151;33;15;27845;542.3;118.5;53.9
579;Oegstgeest;34;7;1;24843;136.9;28.2;4
823;Oirschot;47;12;6;18723;251;64.1;32
824;Oisterwijk;53;16;9;26241;202;61;34.3
1895;Oldambt;8;4;0;38213;20.9;10.5;0
269;Oldebroek;102;25;13;23645;431.4;105.7;55
173;Oldenzaal;46;14;5;31832;144.5;44;15.7
1773;Olst-Wijhe;38;12;5;18251;208.2;65.7;27.4
175;Ommen;44;9;2;18007;244.3;50;11.1
1586;Oost Gelre;45;9;5;29623;151.9;30.4;16.9
826;Oosterhout;81;39;10;55990;144.7;69.7;17.9
85;Ooststellingwerf;4;3;0;25472;15.7;11.8;0
431;Oostzaan;23;10;1;9733;236.3;102.7;10.3
432;Opmeer;7;1;1;11837;59.1;8.4;8.4
86;Opsterland;21;6;0;29742;70.6;20.2;0
828;Oss;377;117;71;91932;410.1;127.3;77.2
1509;Oude IJsselstreek;50;12;5;39392;126.9;30.5;12.7
437;Ouder-Amstel;25;5;0;14029;178.2;35.6;0
589;Oudewater;45;25;7;10226;440.1;244.5;68.5
1734;Overbetuwe;107;55;11;47909;223.3;114.8;23
590;Papendrecht;43;7;6;32133;133.8;21.8;18.7
1894;Peel en Maas;238;139;56;43420;548.1;320.1;129
765;Pekela;5;4;0;12199;41;32.8;0
1926;Pijnacker-Nootdorp;84;22;6;55329;151.8;39.8;10.8
439;Purmerend;166;61;15;81233;204.4;75.1;18.5
273;Putten;17;3;0;24113;70.5;12.4;0
177;Raalte;105;22;9;37709;278.4;58.3;23.9
703;Reimerswaal;24;4;2;22728;105.6;17.6;8.8
274;Renkum;51;14;2;31404;162.4;44.6;6.4
339;Renswoude;15;4;5;5448;275.3;73.4;91.8
1667;Reusel-De Mierden;21;10;1;13110;160.2;76.3;7.6
275;Rheden;64;31;14;43736;146.3;70.9;32
340;Rhenen;20;7;4;20125;99.4;34.8;19.9
597;Ridderkerk;87;31;11;46204;188.3;67.1;23.8
1742;Rijssen-Holten;100;26;4;38178;261.9;68.1;10.5
603;Rijswijk;78;23;5;54432;143.3;42.3;9.2
1669;Roerdalen;44;26;6;20572;213.9;126.4;29.2
957;Roermond;113;53;20;58254;194;91;34.3
1674;Roosendaal;166;23;15;77226;215;29.8;19.4
599;Rotterdam;1586;353;121;651376;243.5;54.2;18.6
277;Rozendaal;2;1;0;1705;117.3;58.7;0
840;Rucphen;43;7;6;22873;188;30.6;26.2
518;s-Gravenhage;868;246;84;545163;159.2;45.1;15.4
441;Schagen;66;19;2;46482;142;40.9;4.3
279;Scherpenzeel;17;3;2;9880;172.1;30.4;20.2
606;Schiedam;138;35;4;78739;175.3;44.5;5.1
88;Schiermonnikoog;0;0;0;947;0;0;0
1676;Schouwen-Duiveland;30;11;0;33858;88.6;32.5;0
965;Simpelveld;37;17;3;10552;350.6;161.1;28.4
1702;Sint Anthonis;56;19;10;11672;479.8;162.8;85.7
845;Sint-Michielsgestel;76;34;12;29203;260.2;116.4;41.1
1883;Sittard-Geleen;300;95;41;92422;324.6;102.8;44.4
610;Sliedrecht;34;7;3;25217;134.8;27.8;11.9
1714;Sluis;16;7;4;23217;68.9;30.2;17.2
90;Smallingerland;39;7;3;56154;69.5;12.5;5.3
342;Soest;69;21;9;46607;148;45.1;19.3
847;Someren;78;29;6;19376;402.6;149.7;31
848;Son en Breugel;64;27;11;17321;369.5;155.9;63.5
37;Stadskanaal;4;2;1;31688;12.6;6.3;3.2
180;Staphorst;50;8;3;17144;291.6;46.7;17.5
532;Stede Broec;45;18;4;21734;207;82.8;18.4
851;Steenbergen;54;12;6;24501;220.4;49;24.5
1708;Steenwijkerland;73;12;4;44139;165.4;27.2;9.1
971;Stein;89;38;15;25000;356;152;60
1904;Stichtse Vecht;79;28;6;64928;121.7;43.1;9.2
1900;S̼dwest-Frysl̢n;68;17;1;89987;75.6;18.9;1.1
715;Terneuzen;91;21;2;54438;167.2;38.6;3.7
93;Terschelling;2;0;0;4889;40.9;0;0
448;Texel;11;4;1;13573;81;29.5;7.4
1525;Teylingen;39;12;0;37426;104.2;32.1;0
716;Tholen;123;38;12;25758;477.5;147.5;46.6
