report_date,date,province,value
2020-03-31,2020-03-08,Flevoland,0
2020-03-31,2020-03-09,Flevoland,0
2020-03-31,2020-03-10,Flevoland,1
2020-03-31,2020-03-11,Flevoland,1
2020-03-31,2020-03-12,Flevoland,4
2020-03-31,2020-03-13,Flevoland,5
2020-03-31,2020-03-14,Flevoland,4
2020-03-31,2020-03-15,Flevoland,2
2020-03-31,2020-03-16,Flevoland,3
2020-03-31,2020-03-17,Flevoland,6
2020-03-31,2020-03-18,Flevoland,7
2020-03-31,2020-03-19,Flevoland,3
2020-03-31,2020-03-20,Flevoland,12
2020-03-31,2020-03-21,Flevoland,10
2020-03-31,2020-03-22,Flevoland,8
2020-03-31,2020-03-23,Flevoland,1
2020-03-31,2020-03-24,Flevoland,14
2020-03-31,2020-03-25,Flevoland,11
2020-03-31,2020-03-26,Flevoland,13
2020-03-31,2020-03-27,Flevoland,13
2020-03-31,2020-03-28,Flevoland,15
2020-03-31,2020-03-29,Flevoland,11
2020-03-31,2020-03-30,Flevoland,14
2020-03-31,2020-03-31,Flevoland,6
2020-03-31,2020-02-27,Limburg,0
2020-03-31,2020-02-28,Limburg,0
2020-03-31,2020-02-29,Limburg,0
2020-03-31,2020-03-01,Limburg,0
2020-03-31,2020-03-02,Limburg,1
2020-03-31,2020-03-03,Limburg,4
2020-03-31,2020-03-04,Limburg,4
2020-03-31,2020-03-05,Limburg,1
2020-03-31,2020-03-06,Limburg,2
2020-03-31,2020-03-07,Limburg,5
2020-03-31,2020-03-08,Limburg,6
2020-03-31,2020-03-09,Limburg,9
2020-03-31,2020-03-10,Limburg,20
2020-03-31,2020-03-11,Limburg,22
2020-03-31,2020-03-12,Limburg,21
2020-03-31,2020-03-13,Limburg,31
2020-03-31,2020-03-14,Limburg,33
2020-03-31,2020-03-15,Limburg,13
2020-03-31,2020-03-16,Limburg,57
2020-03-31,2020-03-17,Limburg,44
2020-03-31,2020-03-18,Limburg,52
2020-03-31,2020-03-19,Limburg,68
2020-03-31,2020-03-20,Limburg,93
2020-03-31,2020-03-21,Limburg,63
2020-03-31,2020-03-22,Limburg,72
2020-03-31,2020-03-23,Limburg,58
2020-03-31,2020-03-24,Limburg,126
2020-03-31,2020-03-25,Limburg,82
2020-03-31,2020-03-26,Limburg,111
2020-03-31,2020-03-27,Limburg,141
2020-03-31,2020-03-28,Limburg,83
2020-03-31,2020-03-29,Limburg,117
2020-03-31,2020-03-30,Limburg,60
2020-03-31,2020-03-31,Limburg,27
2020-03-31,2020-02-27,Noord-Brabant,1
2020-03-31,2020-02-28,Noord-Brabant,3
2020-03-31,2020-02-29,Noord-Brabant,5
2020-03-31,2020-03-01,Noord-Brabant,6
2020-03-31,2020-03-02,Noord-Brabant,13
2020-03-31,2020-03-03,Noord-Brabant,14
2020-03-31,2020-03-04,Noord-Brabant,15
2020-03-31,2020-03-05,Noord-Brabant,13
2020-03-31,2020-03-06,Noord-Brabant,15
2020-03-31,2020-03-07,Noord-Brabant,14
2020-03-31,2020-03-08,Noord-Brabant,54
2020-03-31,2020-03-09,Noord-Brabant,30
2020-03-31,2020-03-10,Noord-Brabant,61
2020-03-31,2020-03-11,Noord-Brabant,70
2020-03-31,2020-03-12,Noord-Brabant,90
2020-03-31,2020-03-13,Noord-Brabant,64
2020-03-31,2020-03-14,Noord-Brabant,55
2020-03-31,2020-03-15,Noord-Brabant,97
2020-03-31,2020-03-16,Noord-Brabant,77
2020-03-31,2020-03-17,Noord-Brabant,115
2020-03-31,2020-03-18,Noord-Brabant,144
2020-03-31,2020-03-19,Noord-Brabant,154
2020-03-31,2020-03-20,Noord-Brabant,160
2020-03-31,2020-03-21,Noord-Brabant,259
2020-03-31,2020-03-22,Noord-Brabant,146
2020-03-31,2020-03-23,Noord-Brabant,151
2020-03-31,2020-03-24,Noord-Brabant,356
2020-03-31,2020-03-25,Noord-Brabant,220
2020-03-31,2020-03-26,Noord-Brabant,233
2020-03-31,2020-03-27,Noord-Brabant,254
2020-03-31,2020-03-28,Noord-Brabant,260
2020-03-31,2020-03-29,Noord-Brabant,129
2020-03-31,2020-03-30,Noord-Brabant,120
2020-03-31,2020-03-31,Noord-Brabant,14
2020-03-31,2020-02-27,Zeeland,0
2020-03-31,2020-02-28,Zeeland,0
2020-03-31,2020-02-29,Zeeland,0
2020-03-31,2020-03-01,Zeeland,0
2020-03-31,2020-03-02,Zeeland,0
2020-03-31,2020-03-03,Zeeland,0
2020-03-31,2020-03-04,Zeeland,0
2020-03-31,2020-03-05,Zeeland,1
2020-03-31,2020-03-06,Zeeland,0
2020-03-31,2020-03-07,Zeeland,0
2020-03-31,2020-03-08,Zeeland,0
2020-03-31,2020-03-09,Zeeland,3
2020-03-31,2020-03-10,Zeeland,3
2020-03-31,2020-03-11,Zeeland,2
2020-03-31,2020-03-12,Zeeland,0
2020-03-31,2020-03-13,Zeeland,4
2020-03-31,2020-03-14,Zeeland,4
2020-03-31,2020-03-15,Zeeland,2
2020-03-31,2020-03-16,Zeeland,4
2020-03-31,2020-03-17,Zeeland,4
2020-03-31,2020-03-18,Zeeland,8
2020-03-31,2020-03-19,Zeeland,4
2020-03-31,2020-03-20,Zeeland,14
2020-03-31,2020-03-21,Zeeland,1
2020-03-31,2020-03-22,Zeeland,7
2020-03-31,2020-03-23,Zeeland,4
2020-03-31,2020-03-24,Zeeland,12
2020-03-31,2020-03-25,Zeeland,15
2020-03-31,2020-03-26,Zeeland,24
2020-03-31,2020-03-27,Zeeland,7
2020-03-31,2020-03-28,Zeeland,12
2020-03-31,2020-03-29,Zeeland,15
2020-03-31,2020-03-30,Zeeland,11
2020-03-31,2020-03-31,Zeeland,0
2020-03-31,2020-02-27,Friesland,0
2020-03-31,2020-02-28,Friesland,0
2020-03-31,2020-02-29,Friesland,0
2020-03-31,2020-03-01,Friesland,0
2020-03-31,2020-03-02,Friesland,0
2020-03-31,2020-03-03,Friesland,0
2020-03-31,2020-03-04,Friesland,0
2020-03-31,2020-03-05,Friesland,0
2020-03-31,2020-03-06,Friesland,0
2020-03-31,2020-03-07,Friesland,0
2020-03-31,2020-03-08,Friesland,0
2020-03-31,2020-03-09,Friesland,2
