report_date,date,province,value
2020-04-15,2020-02-27,Drenthe,0
2020-04-15,2020-02-28,Drenthe,0
2020-04-15,2020-02-29,Drenthe,0
2020-04-15,2020-03-01,Drenthe,0
2020-04-15,2020-03-02,Drenthe,0
2020-04-15,2020-03-03,Drenthe,0
2020-04-15,2020-03-04,Drenthe,0
2020-04-15,2020-03-05,Drenthe,0
2020-04-15,2020-03-06,Drenthe,0
2020-04-15,2020-03-07,Drenthe,0
2020-04-15,2020-03-08,Drenthe,0
2020-04-15,2020-03-09,Drenthe,0
2020-04-15,2020-03-10,Drenthe,0
2020-04-15,2020-03-11,Drenthe,0
2020-04-15,2020-03-12,Drenthe,0
2020-04-15,2020-03-13,Drenthe,0
2020-04-15,2020-03-14,Drenthe,0
2020-04-15,2020-03-15,Drenthe,1
2020-04-15,2020-03-16,Drenthe,0
2020-04-15,2020-03-17,Drenthe,2
2020-04-15,2020-03-18,Drenthe,0
2020-04-15,2020-03-19,Drenthe,1
2020-04-15,2020-03-20,Drenthe,2
2020-04-15,2020-03-21,Drenthe,3
2020-04-15,2020-03-22,Drenthe,3
2020-04-15,2020-03-23,Drenthe,2
2020-04-15,2020-03-24,Drenthe,3
2020-04-15,2020-03-25,Drenthe,7
2020-04-15,2020-03-26,Drenthe,4
2020-04-15,2020-03-27,Drenthe,7
2020-04-15,2020-03-28,Drenthe,11
2020-04-15,2020-03-29,Drenthe,4
2020-04-15,2020-03-30,Drenthe,2
2020-04-15,2020-03-31,Drenthe,4
2020-04-15,2020-04-01,Drenthe,3
2020-04-15,2020-04-02,Drenthe,4
2020-04-15,2020-04-03,Drenthe,3
2020-04-15,2020-04-04,Drenthe,3
2020-04-15,2020-04-05,Drenthe,2
2020-04-15,2020-04-06,Drenthe,2
2020-04-15,2020-04-07,Drenthe,5
2020-04-15,2020-04-08,Drenthe,2
2020-04-15,2020-04-09,Drenthe,0
2020-04-15,2020-04-10,Drenthe,1
2020-04-15,2020-04-11,Drenthe,0
