Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-06-05,0-4,Vrouw,0,0
2020-06-05,0-4,Man,0,0
2020-06-05,10-14,Vrouw,0,0
2020-06-05,10-14,Man,0,0
2020-06-05,15-19,Vrouw,0,0
2020-06-05,15-19,Man,0,1
2020-06-05,20-24,Vrouw,0,0
2020-06-05,20-24,Man,0,0
2020-06-05,25-29,Vrouw,0,0
2020-06-05,25-29,Man,0,3
2020-06-05,30-34,Vrouw,0,1
2020-06-05,30-34,Man,0,3
2020-06-05,35-39,Vrouw,0,2
2020-06-05,35-39,Man,0,5
2020-06-05,40-44,Vrouw,0,0
2020-06-05,40-44,Man,0,5
2020-06-05,45-49,Vrouw,0,14
2020-06-05,45-49,Man,0,9
2020-06-05,5-9,Vrouw,0,0
2020-06-05,5-9,Man,0,0
2020-06-05,50-54,Vrouw,0,20
2020-06-05,50-54,Man,0,27
2020-06-05,55-59,Vrouw,0,24
2020-06-05,55-59,Man,0,75
2020-06-05,60-64,Vrouw,0,51
2020-06-05,60-64,Man,0,111
2020-06-05,65-69,Vrouw,0,112
2020-06-05,65-69,Man,0,215
2020-06-05,70-74,Vrouw,1,241
2020-06-05,70-74,Man,1,379
2020-06-05,75-79,Vrouw,0,338
2020-06-05,75-79,Man,1,653
2020-06-05,80-84,Vrouw,0,516
2020-06-05,80-84,Man,0,733
2020-06-05,85-89,Vrouw,4,653
2020-06-05,85-89,Man,1,701
2020-06-05,90-94,Vrouw,4,497
2020-06-05,90-94,Man,3,318
2020-06-05,95+,Vrouw,0,223
2020-06-05,95+,Man,0,75
