Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-04-08,Niet vermeld,Man,,1
2020-06-19,0-4,Vrouw,0,0
2020-06-19,5-9,Vrouw,0,0
2020-06-19,10-14,Vrouw,0,0
2020-06-19,15-19,Vrouw,0,0
2020-06-19,20-24,Vrouw,0,0
2020-06-19,25-29,Vrouw,0,0
2020-06-19,30-34,Vrouw,0,1
2020-06-19,35-39,Vrouw,2,2
2020-06-19,40-44,Vrouw,0,0
2020-06-19,45-49,Vrouw,10,14
2020-06-19,50-54,Vrouw,11,20
2020-06-19,55-59,Vrouw,12,24
2020-06-19,60-64,Vrouw,33,52
2020-06-19,65-69,Vrouw,69,114
2020-06-19,70-74,Vrouw,156,243
2020-06-19,75-79,Vrouw,210,344
2020-06-19,80-84,Vrouw,337,524
2020-06-19,85-89,Vrouw,475,663
2020-06-19,90-94,Vrouw,376,506
2020-06-19,95+,Vrouw,181,229
2020-06-19,0-4,Man,0,0
2020-06-19,5-9,Man,0,0
2020-06-19,10-14,Man,0,0
2020-06-19,15-19,Man,1,1
2020-06-19,20-24,Man,0,0
2020-06-19,25-29,Man,2,3
2020-06-19,30-34,Man,3,3
2020-06-19,35-39,Man,4,5
2020-06-19,40-44,Man,4,6
2020-06-19,45-49,Man,7,9
2020-06-19,50-54,Man,19,27
2020-06-19,55-59,Man,52,75
2020-06-19,60-64,Man,67,112
2020-06-19,65-69,Man,122,219
2020-06-19,70-74,Man,226,383
2020-06-19,75-79,Man,358,658
2020-06-19,80-84,Man,400,739
2020-06-19,85-89,Man,416,710
2020-06-19,90-94,Man,223,320
2020-06-19,95+,Man,59,75
2020-06-18,0-4,Vrouw,0,0
2020-06-18,5-9,Vrouw,0,0
2020-06-18,10-14,Vrouw,0,0
2020-06-18,15-19,Vrouw,0,0
2020-06-18,20-24,Vrouw,0,0
2020-06-18,25-29,Vrouw,0,0
2020-06-18,30-34,Vrouw,0,1
2020-06-18,35-39,Vrouw,0,2
2020-06-18,40-44,Vrouw,0,0
2020-06-18,45-49,Vrouw,0,14
2020-06-18,50-54,Vrouw,0,20
2020-06-18,55-59,Vrouw,0,24
2020-06-18,60-64,Vrouw,0,52
2020-06-18,65-69,Vrouw,0,114
2020-06-18,70-74,Vrouw,0,243
2020-06-18,75-79,Vrouw,0,344
2020-06-18,80-84,Vrouw,0,524
2020-06-18,85-89,Vrouw,0,663
2020-06-18,90-94,Vrouw,0,506
2020-06-18,95+,Vrouw,0,229
2020-06-18,0-4,Man,0,0
2020-06-18,5-9,Man,0,0
2020-06-18,10-14,Man,0,0
2020-06-18,15-19,Man,0,1
2020-06-18,20-24,Man,0,0
2020-06-18,25-29,Man,0,3
2020-06-18,30-34,Man,0,3
2020-06-18,35-39,Man,0,5
2020-06-18,40-44,Man,0,6
2020-06-18,45-49,Man,0,9
2020-06-18,50-54,Man,0,27
2020-06-18,55-59,Man,0,75
2020-06-18,60-64,Man,0,112
2020-06-18,65-69,Man,-1,218
2020-06-18,70-74,Man,0,383
2020-06-18,75-79,Man,0,658
2020-06-18,80-84,Man,-1,738
2020-06-18,85-89,Man,0,710
2020-06-18,90-94,Man,-1,319
2020-06-18,95+,Man,0,75
2020-06-24,0-4,Vrouw,0,0
2020-06-24,5-9,Vrouw,0,0
2020-06-24,10-14,Vrouw,0,0
2020-06-24,15-19,Vrouw,0,0
2020-06-24,20-24,Vrouw,0,0
2020-06-24,25-29,Vrouw,0,0
2020-06-24,30-34,Vrouw,0,1
2020-06-24,35-39,Vrouw,0,2
2020-06-24,40-44,Vrouw,0,0
2020-06-24,45-49,Vrouw,0,14
2020-06-24,50-54,Vrouw,0,20
2020-06-24,55-59,Vrouw,0,24
2020-06-24,60-64,Vrouw,0,52
2020-06-24,65-69,Vrouw,0,114
2020-06-24,70-74,Vrouw,0,243
2020-06-24,75-79,Vrouw,1,345
2020-06-24,80-84,Vrouw,0,524
2020-06-24,85-89,Vrouw,1,664
2020-06-24,90-94,Vrouw,2,508
2020-06-24,95+,Vrouw,1,230
2020-06-24,0-4,Man,0,0
2020-06-24,5-9,Man,0,0
2020-06-24,10-14,Man,0,0
2020-06-24,15-19,Man,0,1
2020-06-24,20-24,Man,0,0
2020-06-24,25-29,Man,0,3
2020-06-24,30-34,Man,0,3
2020-06-24,35-39,Man,0,5
2020-06-24,40-44,Man,0,6
2020-06-24,45-49,Man,0,9
2020-06-24,50-54,Man,0,27
2020-06-24,55-59,Man,0,75
2020-06-24,60-64,Man,0,112
2020-06-24,65-69,Man,2,220
2020-06-24,70-74,Man,1,384
2020-06-24,75-79,Man,2,660
2020-06-24,80-84,Man,3,741
2020-06-24,85-89,Man,3,713
2020-06-24,90-94,Man,3,322
2020-06-24,95+,Man,0,75
2020-04-09,0-4,Vrouw,0,0
2020-04-09,5-9,Vrouw,0,0
2020-04-09,10-14,Vrouw,0,0
2020-04-09,15-19,Vrouw,0,0
2020-04-09,20-24,Vrouw,0,0
2020-04-09,25-29,Vrouw,0,0
2020-04-09,30-34,Vrouw,0,1
2020-04-09,35-39,Vrouw,-1,1
2020-04-09,40-44,Vrouw,0,0
2020-04-09,45-49,Vrouw,-9,5
2020-04-09,50-54,Vrouw,-11,9
2020-04-09,55-59,Vrouw,-12,12
2020-04-09,60-64,Vrouw,-31,21
2020-04-09,65-69,Vrouw,-64,50
2020-04-09,70-74,Vrouw,-152,91
2020-04-09,75-79,Vrouw,-205,140
2020-04-09,80-84,Vrouw,-321,203
2020-04-09,85-89,Vrouw,-460,204
2020-04-09,90-94,Vrouw,-366,142
2020-04-09,95+,Vrouw,-181,49
2020-04-09,0-4,Man,0,0
2020-04-09,5-9,Man,0,0
2020-04-09,10-14,Man,0,0
2020-04-09,15-19,Man,-1,0
2020-04-09,20-24,Man,0,0
2020-04-09,25-29,Man,-1,2
2020-04-09,30-34,Man,-3,0
2020-04-09,35-39,Man,-4,1
2020-04-09,40-44,Man,-4,2
2020-04-09,45-49,Man,-7,2
2020-04-09,50-54,Man,-19,8
2020-04-09,55-59,Man,-52,23
2020-04-09,60-64,Man,-64,48
2020-04-09,65-69,Man,-116,104
2020-04-09,70-74,Man,-214,170
2020-04-09,75-79,Man,-341,319
2020-04-09,80-84,Man,-384,357
2020-04-09,85-89,Man,-404,309
2020-04-09,90-94,Man,-218,104
2020-04-09,95+,Man,-58,17
2020-04-21,0-4,Vrouw,0,0
2020-04-21,5-9,Vrouw,0,0
2020-04-21,10-14,Vrouw,0,0
2020-04-21,15-19,Vrouw,0,0
2020-04-21,20-24,Vrouw,0,0
2020-04-21,25-29,Vrouw,0,0
2020-04-21,30-34,Vrouw,0,1
2020-04-21,35-39,Vrouw,0,1
2020-04-21,40-44,Vrouw,0,0
2020-04-21,45-49,Vrouw,3,8
2020-04-21,50-54,Vrouw,4,13
2020-04-21,55-59,Vrouw,4,16
2020-04-21,60-64,Vrouw,14,35
2020-04-21,65-69,Vrouw,24,74
2020-04-21,70-74,Vrouw,67,158
2020-04-21,75-79,Vrouw,95,235
2020-04-21,80-84,Vrouw,133,336
2020-04-21,85-89,Vrouw,151,355
2020-04-21,90-94,Vrouw,129,271
2020-04-21,95+,Vrouw,64,113
2020-04-21,0-4,Man,0,0
2020-04-21,5-9,Man,0,0
2020-04-21,10-14,Man,0,0
2020-04-21,15-19,Man,1,1
2020-04-21,20-24,Man,0,0
2020-04-21,25-29,Man,1,3
2020-04-21,30-34,Man,1,1
2020-04-21,35-39,Man,2,3
2020-04-21,40-44,Man,2,4
2020-04-21,45-49,Man,1,3
2020-04-21,50-54,Man,10,18
2020-04-21,55-59,Man,22,45
2020-04-21,60-64,Man,28,76
2020-04-21,65-69,Man,54,158
2020-04-21,70-74,Man,104,274
2020-04-21,75-79,Man,166,485
2020-04-21,80-84,Man,158,515
2020-04-21,85-89,Man,168,477
2020-04-21,90-94,Man,85,189
2020-04-21,95+,Man,30,47
2020-04-19,0-4,Vrouw,0,0
2020-04-19,5-9,Vrouw,0,0
2020-04-19,10-14,Vrouw,0,0
2020-04-19,15-19,Vrouw,0,0
2020-04-19,20-24,Vrouw,0,0
2020-04-19,25-29,Vrouw,0,0
2020-04-19,30-34,Vrouw,0,1
2020-04-19,35-39,Vrouw,0,1
2020-04-19,40-44,Vrouw,0,0
2020-04-19,45-49,Vrouw,-2,6
2020-04-19,50-54,Vrouw,0,13
2020-04-19,55-59,Vrouw,-1,15
2020-04-19,60-64,Vrouw,1,36
