Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-05-20,0-4,Man,0,0
2020-05-20,10-14,Man,0,0
2020-05-20,15-19,Man,0,1
2020-05-20,20-24,Man,0,0
2020-05-20,25-29,Man,0,3
2020-05-20,30-34,Man,0,2
2020-05-20,35-39,Man,0,5
2020-05-20,40-44,Man,0,5
2020-05-20,45-49,Man,0,8
2020-05-20,5-9,Man,0,0
2020-05-20,50-54,Man,0,24
2020-05-20,55-59,Man,0,71
2020-05-20,60-64,Man,0,104
2020-05-20,65-69,Man,0,206
2020-05-20,70-74,Man,1,365
2020-05-20,75-79,Man,0,634
2020-05-20,80-84,Man,4,707
2020-05-20,85-89,Man,4,671
2020-05-20,90-94,Man,4,302
2020-05-20,95+,Man,1,73
2020-05-20,0-4,Vrouw,0,0
2020-05-20,10-14,Vrouw,0,0
2020-05-20,15-19,Vrouw,0,0
2020-05-20,20-24,Vrouw,0,0
2020-05-20,25-29,Vrouw,0,0
2020-05-20,30-34,Vrouw,0,1
2020-05-20,35-39,Vrouw,0,2
2020-05-20,40-44,Vrouw,0,0
2020-05-20,45-49,Vrouw,0,14
2020-05-20,5-9,Vrouw,0,0
2020-05-20,50-54,Vrouw,0,18
2020-05-20,55-59,Vrouw,0,23
2020-05-20,60-64,Vrouw,0,50
2020-05-20,65-69,Vrouw,1,110
2020-05-20,70-74,Vrouw,1,233
2020-05-20,75-79,Vrouw,0,329
2020-05-20,80-84,Vrouw,5,498
2020-05-20,85-89,Vrouw,5,612
2020-05-20,90-94,Vrouw,4,464
2020-05-20,95+,Vrouw,3,213
