Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-06-02,0-4,Man,0,0
2020-06-02,10-14,Man,0,0
2020-06-02,15-19,Man,0,1
2020-06-02,20-24,Man,0,0
2020-06-02,25-29,Man,0,3
2020-06-02,30-34,Man,0,3
2020-06-02,35-39,Man,0,5
2020-06-02,40-44,Man,0,5
2020-06-02,45-49,Man,0,9
2020-06-02,5-9,Man,0,0
2020-06-02,50-54,Man,0,26
2020-06-02,55-59,Man,0,73
2020-06-02,60-64,Man,0,110
2020-06-02,65-69,Man,1,215
2020-06-02,70-74,Man,0,378
2020-06-02,75-79,Man,2,651
2020-06-02,80-84,Man,1,729
2020-06-02,85-89,Man,1,697
2020-06-02,90-94,Man,2,312
2020-06-02,95+,Man,0,74
2020-06-02,0-4,Vrouw,0,0
2020-06-02,10-14,Vrouw,0,0
2020-06-02,15-19,Vrouw,0,0
2020-06-02,20-24,Vrouw,0,0
2020-06-02,25-29,Vrouw,0,0
2020-06-02,30-34,Vrouw,0,1
2020-06-02,35-39,Vrouw,0,2
2020-06-02,40-44,Vrouw,0,0
2020-06-02,45-49,Vrouw,0,14
2020-06-02,5-9,Vrouw,0,0
2020-06-02,50-54,Vrouw,1,20
2020-06-02,55-59,Vrouw,0,24
2020-06-02,60-64,Vrouw,0,51
2020-06-02,65-69,Vrouw,0,112
2020-06-02,70-74,Vrouw,1,240
2020-06-02,75-79,Vrouw,0,338
2020-06-02,80-84,Vrouw,2,515
2020-06-02,85-89,Vrouw,0,646
2020-06-02,90-94,Vrouw,0,491
2020-06-02,95+,Vrouw,0,222
