Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-06-29,0-4,Man,0,0
2020-06-29,10-14,Man,0,0
2020-06-29,15-19,Man,0,1
2020-06-29,20-24,Man,0,0
2020-06-29,25-29,Man,0,3
2020-06-29,30-34,Man,0,3
2020-06-29,35-39,Man,0,5
2020-06-29,40-44,Man,0,6
2020-06-29,45-49,Man,0,9
2020-06-29,5-9,Man,0,0
2020-06-29,50-54,Man,0,27
2020-06-29,55-59,Man,0,75
2020-06-29,60-64,Man,0,112
2020-06-29,65-69,Man,0,220
2020-06-29,70-74,Man,0,384
2020-06-29,75-79,Man,0,660
2020-06-29,80-84,Man,0,741
2020-06-29,85-89,Man,0,714
2020-06-29,90-94,Man,0,323
2020-06-29,95+,Man,0,75
2020-06-29,0-4,Vrouw,0,0
2020-06-29,10-14,Vrouw,0,0
2020-06-29,15-19,Vrouw,0,0
2020-06-29,20-24,Vrouw,0,0
2020-06-29,25-29,Vrouw,0,0
2020-06-29,30-34,Vrouw,0,1
2020-06-29,35-39,Vrouw,0,2
2020-06-29,40-44,Vrouw,0,0
2020-06-29,45-49,Vrouw,0,15
2020-06-29,5-9,Vrouw,0,0
2020-06-29,50-54,Vrouw,0,20
2020-06-29,55-59,Vrouw,0,24
2020-06-29,60-64,Vrouw,0,52
2020-06-29,65-69,Vrouw,0,114
2020-06-29,70-74,Vrouw,0,243
2020-06-29,75-79,Vrouw,0,345
2020-06-29,80-84,Vrouw,0,525
2020-06-29,85-89,Vrouw,2,667
2020-06-29,90-94,Vrouw,0,510
2020-06-29,95+,Vrouw,0,231
