Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-08-18,0-4,Man,0,0
2020-08-18,10-14,Man,0,0
2020-08-18,15-19,Man,0,1
2020-08-18,20-24,Man,0,0
2020-08-18,25-29,Man,0,3
2020-08-18,30-34,Man,0,3
2020-08-18,35-39,Man,0,5
2020-08-18,40-44,Man,0,7
2020-08-18,45-49,Man,0,9
2020-08-18,5-9,Man,0,0
2020-08-18,50-54,Man,0,27
2020-08-18,55-59,Man,0,75
2020-08-18,60-64,Man,0,112
2020-08-18,65-69,Man,2,225
2020-08-18,70-74,Man,1,388
2020-08-18,75-79,Man,0,664
2020-08-18,80-84,Man,0,748
2020-08-18,85-89,Man,0,723
2020-08-18,90-94,Man,1,326
2020-08-18,95+,Man,0,74
2020-08-18,0-4,Vrouw,0,0
2020-08-18,10-14,Vrouw,0,0
2020-08-18,15-19,Vrouw,0,0
2020-08-18,20-24,Vrouw,0,0
2020-08-18,25-29,Vrouw,0,0
2020-08-18,30-34,Vrouw,0,1
2020-08-18,35-39,Vrouw,0,2
2020-08-18,40-44,Vrouw,0,0
2020-08-18,45-49,Vrouw,0,15
2020-08-18,5-9,Vrouw,0,0
2020-08-18,50-54,Vrouw,0,20
2020-08-18,55-59,Vrouw,0,24
2020-08-18,60-64,Vrouw,0,51
2020-08-18,65-69,Vrouw,0,116
2020-08-18,70-74,Vrouw,1,246
2020-08-18,75-79,Vrouw,4,351
2020-08-18,80-84,Vrouw,4,534
2020-08-18,85-89,Vrouw,0,669
2020-08-18,90-94,Vrouw,3,519
2020-08-18,95+,Vrouw,0,237
