Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-07-28,0-4,Man,0,0
2020-07-28,10-14,Man,0,0
2020-07-28,15-19,Man,0,1
2020-07-28,20-24,Man,0,0
2020-07-28,25-29,Man,0,3
2020-07-28,30-34,Man,0,3
2020-07-28,35-39,Man,0,5
2020-07-28,40-44,Man,0,7
2020-07-28,45-49,Man,0,9
2020-07-28,5-9,Man,0,0
2020-07-28,50-54,Man,0,27
2020-07-28,55-59,Man,0,75
2020-07-28,60-64,Man,0,112
2020-07-28,65-69,Man,1,224
2020-07-28,70-74,Man,1,387
2020-07-28,75-79,Man,0,660
2020-07-28,80-84,Man,1,745
2020-07-28,85-89,Man,1,722
2020-07-28,90-94,Man,0,324
2020-07-28,95+,Man,0,74
2020-07-28,0-4,Vrouw,0,0
2020-07-28,10-14,Vrouw,0,0
2020-07-28,15-19,Vrouw,0,0
2020-07-28,20-24,Vrouw,0,0
2020-07-28,25-29,Vrouw,0,0
2020-07-28,30-34,Vrouw,0,1
2020-07-28,35-39,Vrouw,0,2
2020-07-28,40-44,Vrouw,0,0
2020-07-28,45-49,Vrouw,0,15
2020-07-28,5-9,Vrouw,0,0
2020-07-28,50-54,Vrouw,0,20
2020-07-28,55-59,Vrouw,0,24
2020-07-28,60-64,Vrouw,0,51
2020-07-28,65-69,Vrouw,1,116
2020-07-28,70-74,Vrouw,0,243
2020-07-28,75-79,Vrouw,0,346
2020-07-28,80-84,Vrouw,2,529
2020-07-28,85-89,Vrouw,0,667
2020-07-28,90-94,Vrouw,2,516
2020-07-28,95+,Vrouw,0,237
