Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-04-23,0-4,Man,0,0
2020-04-23,10-14,Man,0,0
2020-04-23,15-19,Man,0,1
2020-04-23,20-24,Man,0,0
2020-04-23,25-29,Man,0,3
2020-04-23,30-34,Man,1,2
2020-04-23,35-39,Man,1,4
2020-04-23,40-44,Man,0,4
2020-04-23,45-49,Man,0,4
2020-04-23,5-9,Man,0,0
2020-04-23,50-54,Man,0,18
2020-04-23,55-59,Man,1,48
2020-04-23,60-64,Man,2,81
2020-04-23,65-69,Man,2,161
2020-04-23,70-74,Man,7,289
2020-04-23,75-79,Man,8,508
2020-04-23,80-84,Man,10,535
2020-04-23,85-89,Man,10,499
2020-04-23,90-94,Man,8,207
2020-04-23,95+,Man,3,52
2020-04-23,0-4,Vrouw,0,0
2020-04-23,10-14,Vrouw,0,0
2020-04-23,15-19,Vrouw,0,0
2020-04-23,20-24,Vrouw,0,0
2020-04-23,25-29,Vrouw,0,0
2020-04-23,30-34,Vrouw,0,1
2020-04-23,35-39,Vrouw,0,1
2020-04-23,40-44,Vrouw,0,0
2020-04-23,45-49,Vrouw,0,10
2020-04-23,5-9,Vrouw,0,0
2020-04-23,50-54,Vrouw,1,14
2020-04-23,55-59,Vrouw,0,16
2020-04-23,60-64,Vrouw,1,37
2020-04-23,65-69,Vrouw,2,81
2020-04-23,70-74,Vrouw,7,171
2020-04-23,75-79,Vrouw,3,243
2020-04-23,80-84,Vrouw,11,361
2020-04-23,85-89,Vrouw,26,403
2020-04-23,90-94,Vrouw,15,301
2020-04-23,95+,Vrouw,4,121
