Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-05-19,0-4,Vrouw,0,0
2020-05-19,0-4,Man,0,0
2020-05-19,10-14,Vrouw,0,0
2020-05-19,10-14,Man,0,0
2020-05-19,15-19,Vrouw,0,0
2020-05-19,15-19,Man,0,1
2020-05-19,20-24,Vrouw,0,0
2020-05-19,20-24,Man,0,0
2020-05-19,25-29,Vrouw,0,0
2020-05-19,25-29,Man,0,3
2020-05-19,30-34,Vrouw,0,1
2020-05-19,30-34,Man,0,2
2020-05-19,35-39,Vrouw,0,2
2020-05-19,35-39,Man,0,5
2020-05-19,40-44,Vrouw,0,0
2020-05-19,40-44,Man,0,5
2020-05-19,45-49,Vrouw,0,14
2020-05-19,45-49,Man,0,8
2020-05-19,5-9,Vrouw,0,0
2020-05-19,5-9,Man,0,0
2020-05-19,50-54,Vrouw,0,18
2020-05-19,50-54,Man,0,24
2020-05-19,55-59,Vrouw,0,23
2020-05-19,55-59,Man,0,71
2020-05-19,60-64,Vrouw,1,50
2020-05-19,60-64,Man,1,104
2020-05-19,65-69,Vrouw,0,109
2020-05-19,65-69,Man,0,206
2020-05-19,70-74,Vrouw,1,232
2020-05-19,70-74,Man,1,364
2020-05-19,75-79,Vrouw,1,329
2020-05-19,75-79,Man,3,634
2020-05-19,80-84,Vrouw,2,493
2020-05-19,80-84,Man,1,703
2020-05-19,85-89,Vrouw,4,607
2020-05-19,85-89,Man,0,667
2020-05-19,90-94,Vrouw,1,460
2020-05-19,90-94,Man,1,298
2020-05-19,95+,Vrouw,4,210
2020-05-19,95+,Man,0,72
