Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-06-20,0-4,Man,0,0
2020-06-20,10-14,Man,0,0
2020-06-20,15-19,Man,0,1
2020-06-20,20-24,Man,0,0
2020-06-20,25-29,Man,0,3
2020-06-20,30-34,Man,0,3
2020-06-20,35-39,Man,0,5
2020-06-20,40-44,Man,0,6
2020-06-20,45-49,Man,0,9
2020-06-20,5-9,Man,0,0
2020-06-20,50-54,Man,0,27
2020-06-20,55-59,Man,0,75
2020-06-20,60-64,Man,0,112
2020-06-20,65-69,Man,0,219
2020-06-20,70-74,Man,1,384
2020-06-20,75-79,Man,0,658
2020-06-20,80-84,Man,1,740
2020-06-20,85-89,Man,1,711
2020-06-20,90-94,Man,1,321
2020-06-20,95+,Man,0,75
2020-06-20,0-4,Vrouw,0,0
2020-06-20,10-14,Vrouw,0,0
2020-06-20,15-19,Vrouw,0,0
2020-06-20,20-24,Vrouw,0,0
2020-06-20,25-29,Vrouw,0,0
2020-06-20,30-34,Vrouw,0,1
2020-06-20,35-39,Vrouw,0,2
2020-06-20,40-44,Vrouw,0,0
2020-06-20,45-49,Vrouw,0,14
2020-06-20,5-9,Vrouw,0,0
2020-06-20,50-54,Vrouw,0,20
2020-06-20,55-59,Vrouw,0,24
2020-06-20,60-64,Vrouw,0,52
2020-06-20,65-69,Vrouw,0,114
2020-06-20,70-74,Vrouw,0,243
2020-06-20,75-79,Vrouw,1,345
2020-06-20,80-84,Vrouw,0,524
2020-06-20,85-89,Vrouw,1,664
2020-06-20,90-94,Vrouw,1,507
2020-06-20,95+,Vrouw,1,230
