Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-06-16,0-4,Vrouw,0,0
2020-06-16,0-4,Man,0,0
2020-06-16,10-14,Vrouw,0,0
2020-06-16,10-14,Man,0,0
2020-06-16,15-19,Vrouw,0,0
2020-06-16,15-19,Man,0,1
2020-06-16,20-24,Vrouw,0,0
2020-06-16,20-24,Man,0,0
2020-06-16,25-29,Vrouw,0,0
2020-06-16,25-29,Man,0,3
2020-06-16,30-34,Vrouw,0,1
2020-06-16,30-34,Man,0,3
2020-06-16,35-39,Vrouw,0,2
2020-06-16,35-39,Man,0,5
2020-06-16,40-44,Vrouw,0,0
2020-06-16,40-44,Man,0,5
2020-06-16,45-49,Vrouw,0,14
2020-06-16,45-49,Man,0,9
2020-06-16,5-9,Vrouw,0,0
2020-06-16,5-9,Man,0,0
2020-06-16,50-54,Vrouw,0,20
2020-06-16,50-54,Man,0,27
2020-06-16,55-59,Vrouw,0,24
2020-06-16,55-59,Man,0,75
2020-06-16,60-64,Vrouw,0,52
2020-06-16,60-64,Man,0,112
2020-06-16,65-69,Vrouw,0,114
2020-06-16,65-69,Man,0,217
2020-06-16,70-74,Vrouw,0,243
2020-06-16,70-74,Man,0,382
2020-06-16,75-79,Vrouw,2,344
2020-06-16,75-79,Man,0,658
2020-06-16,80-84,Vrouw,1,523
2020-06-16,80-84,Man,0,738
2020-06-16,85-89,Vrouw,1,663
2020-06-16,85-89,Man,0,709
2020-06-16,90-94,Vrouw,1,505
2020-06-16,90-94,Man,0,318
2020-06-16,95+,Vrouw,0,228
2020-06-16,95+,Man,0,75
