Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-05-26,0-4,Vrouw,0,0
2020-05-26,0-4,Man,0,0
2020-05-26,10-14,Vrouw,0,0
2020-05-26,10-14,Man,0,0
2020-05-26,15-19,Vrouw,0,0
2020-05-26,15-19,Man,0,1
2020-05-26,20-24,Vrouw,0,0
2020-05-26,20-24,Man,0,0
2020-05-26,25-29,Vrouw,0,0
2020-05-26,25-29,Man,0,3
2020-05-26,30-34,Vrouw,0,1
2020-05-26,30-34,Man,0,2
2020-05-26,35-39,Vrouw,0,2
2020-05-26,35-39,Man,0,5
2020-05-26,40-44,Vrouw,0,0
2020-05-26,40-44,Man,0,5
2020-05-26,45-49,Vrouw,0,14
2020-05-26,45-49,Man,0,9
2020-05-26,5-9,Vrouw,0,0
2020-05-26,5-9,Man,0,0
2020-05-26,50-54,Vrouw,0,19
2020-05-26,50-54,Man,0,25
2020-05-26,55-59,Vrouw,0,24
2020-05-26,55-59,Man,1,73
2020-05-26,60-64,Vrouw,0,50
2020-05-26,60-64,Man,0,108
2020-05-26,65-69,Vrouw,0,111
2020-05-26,65-69,Man,1,210
2020-05-26,70-74,Vrouw,0,235
2020-05-26,70-74,Man,2,373
2020-05-26,75-79,Vrouw,2,335
2020-05-26,75-79,Man,2,643
2020-05-26,80-84,Vrouw,3,506
2020-05-26,80-84,Man,4,720
2020-05-26,85-89,Vrouw,3,623
2020-05-26,85-89,Man,3,684
2020-05-26,90-94,Vrouw,3,480
2020-05-26,90-94,Man,1,306
2020-05-26,95+,Vrouw,1,216
2020-05-26,95+,Man,0,73
