Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-06-06,0-4,Vrouw,0,0
2020-06-06,0-4,Man,0,0
2020-06-06,10-14,Vrouw,0,0
2020-06-06,10-14,Man,0,0
2020-06-06,15-19,Vrouw,0,0
2020-06-06,15-19,Man,0,1
2020-06-06,20-24,Vrouw,0,0
2020-06-06,20-24,Man,0,0
2020-06-06,25-29,Vrouw,0,0
2020-06-06,25-29,Man,0,3
2020-06-06,30-34,Vrouw,0,1
2020-06-06,30-34,Man,0,3
2020-06-06,35-39,Vrouw,0,2
2020-06-06,35-39,Man,0,5
2020-06-06,40-44,Vrouw,0,0
2020-06-06,40-44,Man,0,5
2020-06-06,45-49,Vrouw,0,14
2020-06-06,45-49,Man,0,9
2020-06-06,5-9,Vrouw,0,0
2020-06-06,5-9,Man,0,0
2020-06-06,50-54,Vrouw,0,20
2020-06-06,50-54,Man,0,27
2020-06-06,55-59,Vrouw,0,24
2020-06-06,55-59,Man,0,75
2020-06-06,60-64,Vrouw,0,51
2020-06-06,60-64,Man,0,111
2020-06-06,65-69,Vrouw,1,113
2020-06-06,65-69,Man,1,216
2020-06-06,70-74,Vrouw,0,241
2020-06-06,70-74,Man,0,379
2020-06-06,75-79,Vrouw,0,338
2020-06-06,75-79,Man,0,653
2020-06-06,80-84,Vrouw,0,516
2020-06-06,80-84,Man,1,734
2020-06-06,85-89,Vrouw,1,654
2020-06-06,85-89,Man,1,702
2020-06-06,90-94,Vrouw,0,497
2020-06-06,90-94,Man,0,318
2020-06-06,95+,Vrouw,1,224
2020-06-06,95+,Man,0,75
