Datum,Type,Aantal,AantalCumulatief
2020-04-28,Overleden besmette bewoners,39,2193
2020-04-29,Positief geteste bewoners,118,6933
2020-04-29,Overleden besmette bewoners,43,2236
2020-04-30,Positief geteste bewoners,113,7046
2020-04-30,Overleden besmette bewoners,38,2274
2020-05-01,Positief geteste bewoners,129,7175
2020-05-01,Overleden besmette bewoners,37,2311
2020-05-02,Positief geteste bewoners,68,7243
2020-05-02,Overleden besmette bewoners,38,2349
2020-05-03,Positief geteste bewoners,39,7282
2020-05-03,Overleden besmette bewoners,29,2378
2020-05-04,Positief geteste bewoners,84,7366
2020-05-04,Overleden besmette bewoners,32,2410
2020-05-05,Positief geteste bewoners,54,7420
2020-05-05,Overleden besmette bewoners,24,2434
2020-05-06,Positief geteste bewoners,72,7492
2020-05-06,Overleden besmette bewoners,36,2470
2020-05-07,Positief geteste bewoners,70,7562
2020-05-07,Overleden besmette bewoners,27,2497
2020-05-08,Positief geteste bewoners,59,7621
2020-05-08,Overleden besmette bewoners,22,2519
2020-05-09,Positief geteste bewoners,63,7684
2020-05-09,Overleden besmette bewoners,26,2545
2020-05-10,Positief geteste bewoners,36,7720
2020-05-10,Overleden besmette bewoners,18,2563
2020-05-11,Positief geteste bewoners,52,7772
2020-05-11,Overleden besmette bewoners,19,2582
2020-05-12,Positief geteste bewoners,60,7832
2020-05-12,Overleden besmette bewoners,25,2607
2020-05-13,Positief geteste bewoners,89,7921
2020-05-13,Overleden besmette bewoners,15,2622
2020-05-14,Positief geteste bewoners,40,7961
2020-05-14,Overleden besmette bewoners,16,2638
2020-05-15,Positief geteste bewoners,42,8003
2020-05-15,Overleden besmette bewoners,11,2649
2020-05-16,Positief geteste bewoners,29,8032
2020-05-16,Overleden besmette bewoners,14,2663
2020-05-17,Positief geteste bewoners,25,8057
2020-05-17,Overleden besmette bewoners,12,2675
2020-05-18,Positief geteste bewoners,28,8085
2020-05-18,Overleden besmette bewoners,14,2689
2020-05-19,Positief geteste bewoners,21,8106
2020-05-19,Overleden besmette bewoners,17,2706
2020-05-20,Positief geteste bewoners,58,8164
2020-05-20,Overleden besmette bewoners,15,2721
2020-05-21,Positief geteste bewoners,12,8176
2020-05-21,Overleden besmette bewoners,6,2727
2020-05-22,Positief geteste bewoners,32,8208
2020-05-22,Overleden besmette bewoners,11,2738
2020-05-23,Positief geteste bewoners,12,8220
2020-05-23,Overleden besmette bewoners,13,2751
2020-05-24,Positief geteste bewoners,14,8234
2020-05-24,Overleden besmette bewoners,11,2762
2020-05-25,Positief geteste bewoners,20,8254
2020-05-25,Overleden besmette bewoners,9,2771
2020-05-26,Positief geteste bewoners,15,8269
2020-05-26,Overleden besmette bewoners,11,2782
2020-05-27,Positief geteste bewoners,16,8285
2020-05-27,Overleden besmette bewoners,12,2794
2020-05-28,Positief geteste bewoners,20,8305
2020-05-28,Overleden besmette bewoners,3,2797
2020-05-29,Positief geteste bewoners,8,8313
2020-05-29,Overleden besmette bewoners,8,2805
2020-05-30,Positief geteste bewoners,7,8320
2020-05-30,Overleden besmette bewoners,5,2810
2020-05-31,Positief geteste bewoners,5,8325
2020-05-31,Overleden besmette bewoners,8,2818
2020-06-01,Positief geteste bewoners,3,8328
2020-06-01,Overleden besmette bewoners,5,2823
2020-06-02,Positief geteste bewoners,4,8332
