Datum,Type,Waarde
2020-10-06,Minimum,628.5
2020-10-06,Maximum,1030.8
2020-10-06,Geschat aantal besmettelijke mensen,831.5
2020-10-07,Minimum,637.8
2020-10-07,Maximum,1054.8
2020-10-07,Geschat aantal besmettelijke mensen,848.4
2020-10-08,Minimum,638.2
2020-10-08,Maximum,1069.9
2020-10-08,Geschat aantal besmettelijke mensen,858.7
2020-10-09,Minimum,639.1
2020-10-09,Maximum,1093.9
2020-10-09,Geschat aantal besmettelijke mensen,870.4
2020-10-10,Minimum,651.9
2020-10-10,Maximum,1117.4
2020-10-10,Geschat aantal besmettelijke mensen,887.0
2020-10-11,Minimum,661.8
2020-10-11,Maximum,1134.2
2020-10-11,Geschat aantal besmettelijke mensen,897.2
2020-10-12,Minimum,666.9
2020-10-12,Maximum,1137.9
2020-10-12,Geschat aantal besmettelijke mensen,899.7
2020-10-13,Minimum,668.7
2020-10-13,Maximum,1138.3
2020-10-13,Geschat aantal besmettelijke mensen,902.9
2020-10-14,Minimum,677.3
2020-10-14,Maximum,1144.9
2020-10-14,Geschat aantal besmettelijke mensen,909.8
2020-10-15,Minimum,675.2
2020-10-15,Maximum,1146.8
2020-10-15,Geschat aantal besmettelijke mensen,911.7
2020-10-16,Minimum,661.4
2020-10-16,Maximum,1149.3
2020-10-16,Geschat aantal besmettelijke mensen,907.3
2020-10-17,Minimum,652.0
2020-10-17,Maximum,1145.8
2020-10-17,Geschat aantal besmettelijke mensen,901.6
2020-10-18,Minimum,647.5
2020-10-18,Maximum,1145.6
2020-10-18,Geschat aantal besmettelijke mensen,894.2
2020-10-19,Minimum,643.7
2020-10-19,Maximum,1139.3
2020-10-19,Geschat aantal besmettelijke mensen,886.7
2020-10-20,Minimum,635.9
2020-10-20,Maximum,1125.2
2020-10-20,Geschat aantal besmettelijke mensen,878.8
2020-10-21,Minimum,630.9
2020-10-21,Maximum,1112.2
2020-10-21,Geschat aantal besmettelijke mensen,871.2
2020-10-22,Minimum,625.2
2020-10-22,Maximum,1102.1
2020-10-22,Geschat aantal besmettelijke mensen,861.0
2020-10-23,Minimum,618.5
2020-10-23,Maximum,1091.7
2020-10-23,Geschat aantal besmettelijke mensen,851.4
2020-10-24,Minimum,613.6
2020-10-24,Maximum,1078.4
2020-10-24,Geschat aantal besmettelijke mensen,844.1
2020-10-25,Minimum,604.4
2020-10-25,Maximum,1065.2
2020-10-25,Geschat aantal besmettelijke mensen,834.1
2020-10-26,Minimum,593.8
2020-10-26,Maximum,1053.6
2020-10-26,Geschat aantal besmettelijke mensen,823.3
2020-10-27,Minimum,583.2
2020-10-27,Maximum,1041.7
2020-10-27,Geschat aantal besmettelijke mensen,810.6
2020-10-28,Minimum,575.7
2020-10-28,Maximum,1028.4
2020-10-28,Geschat aantal besmettelijke mensen,798.8
2020-10-29,Minimum,563.0
2020-10-29,Maximum,1009.0
2020-10-29,Geschat aantal besmettelijke mensen,783.0
2020-10-30,Minimum,547.3
2020-10-30,Maximum,989.2
2020-10-30,Geschat aantal besmettelijke mensen,766.3
2020-10-31,Minimum,540.6
2020-10-31,Maximum,974.9
2020-10-31,Geschat aantal besmettelijke mensen,756.0
2020-11-01,Minimum,529.5
2020-11-01,Maximum,959.4
2020-11-01,Geschat aantal besmettelijke mensen,741.5
2020-11-02,Minimum,516.7
2020-11-02,Maximum,939.8
2020-11-02,Geschat aantal besmettelijke mensen,725.3
2020-11-03,Minimum,503.1
2020-11-03,Maximum,918.4
2020-11-03,Geschat aantal besmettelijke mensen,708.1
2020-11-04,Minimum,493.6
2020-11-04,Maximum,898.8
2020-11-04,Geschat aantal besmettelijke mensen,692.6
2020-11-05,Minimum,482.2
2020-11-05,Maximum,878.1
2020-11-05,Geschat aantal besmettelijke mensen,675.8
2020-11-06,Minimum,466.2
2020-11-06,Maximum,857.4
2020-11-06,Geschat aantal besmettelijke mensen,659.8
2020-11-07,Minimum,461.4
2020-11-07,Maximum,845.1
2020-11-07,Geschat aantal besmettelijke mensen,651.3
2020-11-08,Minimum,456.1
2020-11-08,Maximum,830.8
2020-11-08,Geschat aantal besmettelijke mensen,640.2
2020-11-09,Minimum,450.8
2020-11-09,Maximum,819.0
2020-11-09,Geschat aantal besmettelijke mensen,629.7
2020-11-10,Minimum,444.8
2020-11-10,Maximum,799.3
2020-11-10,Geschat aantal besmettelijke mensen,618.9
2020-11-11,Minimum,441.5
2020-11-11,Maximum,786.3
2020-11-11,Geschat aantal besmettelijke mensen,610.8
2020-11-12,Minimum,434.6
2020-11-12,Maximum,772.7
2020-11-12,Geschat aantal besmettelijke mensen,601.2
2020-11-13,Minimum,425.5
2020-11-13,Maximum,765.8
2020-11-13,Geschat aantal besmettelijke mensen,595.6
2020-11-14,Minimum,426.7
2020-11-14,Maximum,762.0
2020-11-14,Geschat aantal besmettelijke mensen,593.9
2020-11-15,Minimum,421.9
2020-11-15,Maximum,758.8
2020-11-15,Geschat aantal besmettelijke mensen,588.4
2020-11-16,Minimum,419.2
2020-11-16,Maximum,753.2
2020-11-16,Geschat aantal besmettelijke mensen,582.8
2020-11-17,Minimum,414.8
2020-11-17,Maximum,739.8
2020-11-17,Geschat aantal besmettelijke mensen,575.0
2020-11-18,Minimum,414.0
2020-11-18,Maximum,731.8
2020-11-18,Geschat aantal besmettelijke mensen,570.2
2020-11-19,Minimum,405.6
2020-11-19,Maximum,721.3
2020-11-19,Geschat aantal besmettelijke mensen,562.2
2020-11-20,Minimum,396.8
2020-11-20,Maximum,714.1
2020-11-20,Geschat aantal besmettelijke mensen,556.5
2020-11-21,Minimum,393.0
2020-11-21,Maximum,709.2
2020-11-21,Geschat aantal besmettelijke mensen,552.0
2020-11-22,Minimum,388.0
2020-11-22,Maximum,707.3
2020-11-22,Geschat aantal besmettelijke mensen,545.2
2020-11-23,Minimum,382.5
2020-11-23,Maximum,697.0
2020-11-23,Geschat aantal besmettelijke mensen,536.9
2020-11-24,Minimum,375.7
2020-11-24,Maximum,685.3
2020-11-24,Geschat aantal besmettelijke mensen,528.4
2020-11-25,Minimum,369.1
2020-11-25,Maximum,674.3
2020-11-25,Geschat aantal besmettelijke mensen,519.1
2020-11-26,Minimum,355.6
2020-11-26,Maximum,657.6
2020-11-26,Geschat aantal besmettelijke mensen,504.8
2020-11-27,Minimum,341.1
2020-11-27,Maximum,646.7
2020-11-27,Geschat aantal besmettelijke mensen,
2020-11-28,Minimum,330.6
2020-11-28,Maximum,637.4
2020-11-28,Geschat aantal besmettelijke mensen,
2020-11-29,Minimum,324.3
2020-11-29,Maximum,632.9
2020-11-29,Geschat aantal besmettelijke mensen,
2020-11-30,Minimum,311.4
2020-11-30,Maximum,622.7
2020-11-30,Geschat aantal besmettelijke mensen,
2020-12-01,Minimum,288.4
2020-12-01,Maximum,607.0
2020-12-01,Geschat aantal besmettelijke mensen,
2020-12-02,Minimum,265.8
2020-12-02,Maximum,598.1
2020-12-02,Geschat aantal besmettelijke mensen,
2020-12-03,Minimum,240.6
2020-12-03,Maximum,592.2
2020-12-03,Geschat aantal besmettelijke mensen,
