Datum,Type,Aantal,NieuwAantal
2020-07-08,Besmette verpleeghuizen,27,0
2020-07-09,Besmette verpleeghuizen,27,0
2020-07-10,Besmette verpleeghuizen,26,0
2020-07-11,Besmette verpleeghuizen,29,4
2020-07-12,Besmette verpleeghuizen,29,1
2020-07-13,Besmette verpleeghuizen,29,1
2020-07-14,Besmette verpleeghuizen,29,0
2020-07-15,Besmette verpleeghuizen,28,0
2020-07-16,Besmette verpleeghuizen,24,0
2020-07-17,Besmette verpleeghuizen,22,0
2020-07-18,Besmette verpleeghuizen,23,0
2020-07-19,Besmette verpleeghuizen,23,1
2020-07-20,Besmette verpleeghuizen,23,0
2020-07-21,Besmette verpleeghuizen,23,2
2020-07-22,Besmette verpleeghuizen,23,0
2020-07-23,Besmette verpleeghuizen,22,1
2020-07-24,Besmette verpleeghuizen,21,0
2020-07-25,Besmette verpleeghuizen,18,0
2020-07-26,Besmette verpleeghuizen,18,0
2020-07-27,Besmette verpleeghuizen,19,2
2020-07-28,Besmette verpleeghuizen,20,2
2020-07-29,Besmette verpleeghuizen,22,3
2020-07-30,Besmette verpleeghuizen,21,0
2020-07-31,Besmette verpleeghuizen,22,2
2020-08-01,Besmette verpleeghuizen,23,1
2020-08-02,Besmette verpleeghuizen,22,0
2020-08-03,Besmette verpleeghuizen,23,1
2020-08-04,Besmette verpleeghuizen,26,3
2020-08-05,Besmette verpleeghuizen,26,0
2020-08-06,Besmette verpleeghuizen,28,2
2020-08-07,Besmette verpleeghuizen,28,0
2020-08-08,Besmette verpleeghuizen,28,0
2020-08-09,Besmette verpleeghuizen,26,0
