report_date,date,province,value
2020-04-03,2020-03-15,Utrecht,0
2020-04-03,2020-03-16,Utrecht,0
2020-04-03,2020-03-17,Utrecht,1
2020-04-03,2020-03-18,Utrecht,0
2020-04-03,2020-03-19,Utrecht,2
2020-04-03,2020-03-20,Utrecht,4
2020-04-03,2020-03-21,Utrecht,2
2020-04-03,2020-03-22,Utrecht,1
2020-04-03,2020-03-23,Utrecht,4
2020-04-03,2020-03-24,Utrecht,2
2020-04-03,2020-03-25,Utrecht,7
2020-04-03,2020-03-26,Utrecht,4
2020-04-03,2020-03-27,Utrecht,5
2020-04-03,2020-03-28,Utrecht,9
2020-04-03,2020-03-29,Utrecht,8
2020-04-03,2020-03-30,Utrecht,6
2020-04-03,2020-03-31,Utrecht,12
2020-04-03,2020-04-01,Utrecht,14
2020-04-03,2020-04-02,Utrecht,7
2020-04-03,2020-04-03,Utrecht,0
2020-04-03,2020-02-27,Flevoland,0
2020-04-03,2020-02-28,Flevoland,0
2020-04-03,2020-02-29,Flevoland,0
2020-04-03,2020-03-01,Flevoland,0
2020-04-03,2020-03-02,Flevoland,0
2020-04-03,2020-03-03,Flevoland,0
2020-04-03,2020-03-04,Flevoland,0
2020-04-03,2020-03-05,Flevoland,0
2020-04-03,2020-03-06,Flevoland,0
2020-04-03,2020-03-07,Flevoland,0
2020-04-03,2020-03-08,Flevoland,0
2020-04-03,2020-03-09,Flevoland,0
2020-04-03,2020-03-10,Flevoland,0
2020-04-03,2020-03-11,Flevoland,0
2020-04-03,2020-03-12,Flevoland,0
2020-04-03,2020-03-13,Flevoland,0
2020-04-03,2020-03-14,Flevoland,0
2020-04-03,2020-03-15,Flevoland,0
2020-04-03,2020-03-16,Flevoland,0
2020-04-03,2020-03-17,Flevoland,0
2020-04-03,2020-03-18,Flevoland,0
2020-04-03,2020-03-19,Flevoland,0
2020-04-03,2020-03-20,Flevoland,0
2020-04-03,2020-03-21,Flevoland,1
2020-04-03,2020-03-22,Flevoland,1
2020-04-03,2020-03-23,Flevoland,2
2020-04-03,2020-03-24,Flevoland,0
2020-04-03,2020-03-25,Flevoland,1
2020-04-03,2020-03-26,Flevoland,0
2020-04-03,2020-03-27,Flevoland,0
2020-04-03,2020-03-28,Flevoland,1
2020-04-03,2020-03-29,Flevoland,0
2020-04-03,2020-03-30,Flevoland,2
2020-04-03,2020-03-31,Flevoland,0
2020-04-03,2020-04-01,Flevoland,1
2020-04-03,2020-04-02,Flevoland,2
2020-04-03,2020-04-03,Flevoland,0
2020-04-03,2020-02-27,Limburg,0
2020-04-03,2020-02-28,Limburg,0
2020-04-03,2020-02-29,Limburg,0
2020-04-03,2020-03-01,Limburg,0
2020-04-03,2020-03-02,Limburg,0
2020-04-03,2020-03-03,Limburg,0
2020-04-03,2020-03-04,Limburg,0
2020-04-03,2020-03-05,Limburg,0
2020-04-03,2020-03-06,Limburg,0
2020-04-03,2020-03-07,Limburg,0
2020-04-03,2020-03-08,Limburg,1
2020-04-03,2020-03-09,Limburg,0
2020-04-03,2020-03-10,Limburg,0
2020-04-03,2020-03-11,Limburg,1
2020-04-03,2020-03-12,Limburg,1
2020-04-03,2020-03-13,Limburg,1
2020-04-03,2020-03-14,Limburg,3
2020-04-03,2020-03-15,Limburg,4
2020-04-03,2020-03-16,Limburg,5
2020-04-03,2020-03-17,Limburg,6
2020-04-03,2020-03-18,Limburg,6
2020-04-03,2020-03-19,Limburg,10
2020-04-03,2020-03-20,Limburg,9
2020-04-03,2020-03-21,Limburg,10
2020-04-03,2020-03-22,Limburg,11
2020-04-03,2020-03-23,Limburg,19
2020-04-03,2020-03-24,Limburg,9
2020-04-03,2020-03-25,Limburg,16
2020-04-03,2020-03-26,Limburg,17
