report_date,date,province,value
2020-04-24,2020-02-27,Groningen,0
2020-04-24,2020-02-28,Groningen,0
2020-04-24,2020-02-29,Groningen,0
2020-04-24,2020-03-01,Groningen,0
2020-04-24,2020-03-02,Groningen,0
2020-04-24,2020-03-03,Groningen,0
2020-04-24,2020-03-04,Groningen,0
2020-04-24,2020-03-05,Groningen,0
2020-04-24,2020-03-06,Groningen,0
2020-04-24,2020-03-07,Groningen,0
2020-04-24,2020-03-08,Groningen,0
2020-04-24,2020-03-09,Groningen,0
2020-04-24,2020-03-10,Groningen,0
2020-04-24,2020-03-11,Groningen,0
2020-04-24,2020-03-12,Groningen,0
2020-04-24,2020-03-13,Groningen,0
2020-04-24,2020-03-14,Groningen,0
2020-04-24,2020-03-15,Groningen,0
2020-04-24,2020-03-16,Groningen,0
2020-04-24,2020-03-17,Groningen,0
2020-04-24,2020-03-18,Groningen,0
2020-04-24,2020-03-19,Groningen,0
2020-04-24,2020-03-20,Groningen,0
2020-04-24,2020-03-21,Groningen,0
2020-04-24,2020-03-22,Groningen,0
2020-04-24,2020-03-23,Groningen,0
2020-04-24,2020-03-24,Groningen,1
2020-04-24,2020-03-25,Groningen,0
2020-04-24,2020-03-26,Groningen,0
2020-04-24,2020-03-27,Groningen,0
2020-04-24,2020-03-28,Groningen,0
2020-04-24,2020-03-29,Groningen,1
2020-04-24,2020-03-30,Groningen,0
2020-04-24,2020-03-31,Groningen,0
2020-04-24,2020-04-01,Groningen,0
2020-04-24,2020-04-02,Groningen,2
2020-04-24,2020-04-03,Groningen,1
2020-04-24,2020-04-04,Groningen,0
2020-04-24,2020-04-05,Groningen,0
2020-04-24,2020-04-06,Groningen,1
2020-04-24,2020-04-07,Groningen,0
2020-04-24,2020-04-08,Groningen,1
2020-04-24,2020-04-09,Groningen,0
2020-04-24,2020-04-10,Groningen,1
2020-04-24,2020-04-11,Groningen,1
2020-04-24,2020-04-12,Groningen,0
2020-04-24,2020-04-13,Groningen,0
2020-04-24,2020-04-14,Groningen,0
2020-04-24,2020-04-15,Groningen,0
