Datum,Gemeentenaam,Gemeentecode,Provincienaam,Aantal
2020-03-06,Tilburg,855,Noord-Brabant,4
2020-03-06,Uden,856,Noord-Brabant,2
2020-03-06,Waalre,866,Noord-Brabant,1
2020-03-06,Waalwijk,867,Noord-Brabant,1
2020-03-06,Maastricht,935,Limburg,2
2020-03-06,Simpelveld,965,Limburg,2
2020-03-06,Utrechtse Heuvelrug,1581,Utrecht,1
2020-03-06,Lansingerland,1621,Zuid-Holland,1
2020-03-06,Gemert-Bakel,1652,Noord-Brabant,1
2020-03-06,Lingewaard,1705,Gelderland,1
2020-03-06,Bronckhorst,1876,Gelderland,1
2020-03-06,Sittard-Geleen,1883,Limburg,4
2020-03-06,Stichtse Vecht,1904,Utrecht,3
2020-03-06,Pijnacker-Nootdorp,1926,Zuid-Holland,2
2020-03-06,Gooise Meren,1942,Noord-Holland,2
2020-03-06,Beekdaelen,1954,Limburg,1
2020-03-06,Altena,1959,Noord-Brabant,4
2020-03-06,West Betuwe,1960,Gelderland,1
2020-03-06,Hoeksche Waard,1963,Zuid-Holland,1
2020-03-07,,-1,,4
2020-03-07,Almere,34,Flevoland,1
2020-03-07,Zeewolde,50,Flevoland,1
2020-03-07,Coevorden,109,Drenthe,3
2020-03-07,Borne,147,Overijssel,2
2020-03-07,Hellendoorn,163,Overijssel,1
2020-03-07,Arnhem,202,Gelderland,1
2020-03-07,Beuningen,209,Gelderland,1
2020-03-07,Culemborg,216,Gelderland,1
2020-03-07,Nijmegen,268,Gelderland,2
2020-03-07,Renkum,274,Gelderland,1
2020-03-07,Zaltbommel,297,Gelderland,1
2020-03-07,De Bilt,310,Utrecht,6
2020-03-07,Houten,321,Utrecht,13
2020-03-07,Soest,342,Utrecht,7
2020-03-07,Utrecht,344,Utrecht,11
2020-03-07,Wijk bij Duurstede,352,Utrecht,1
2020-03-07,Zeist,355,Utrecht,1
2020-03-07,Amstelveen,362,Noord-Holland,1
2020-03-07,Amsterdam,363,Noord-Holland,3
2020-03-07,Beverwijk,375,Noord-Holland,3
2020-03-07,Blaricum,376,Noord-Holland,1
2020-03-07,Bloemendaal,377,Noord-Holland,1
2020-03-07,Diemen,384,Noord-Holland,2
2020-03-07,Haarlem,392,Noord-Holland,1
2020-03-07,Landsmeer,415,Noord-Holland,1
2020-03-07,Zaanstad,479,Noord-Holland,2
2020-03-07,Alphen aan den Rijn,484,Zuid-Holland,1
2020-03-07,Delft,503,Zuid-Holland,1
2020-03-07,'s-Gravenhage,518,Zuid-Holland,2
2020-03-07,Hardinxveld-Giessendam,523,Zuid-Holland,4
2020-03-07,Oegstgeest,579,Zuid-Holland,1
2020-03-07,Ridderkerk,597,Zuid-Holland,1
2020-03-07,Rotterdam,599,Zuid-Holland,11
2020-03-07,Westvoorne,614,Zuid-Holland,1
2020-03-07,Woerden,632,Utrecht,2
2020-03-07,West Maas en Waal,668,Gelderland,1
2020-03-07,Best,753,Noord-Brabant,1
2020-03-07,Breda,758,Noord-Brabant,2
2020-03-07,Dongen,766,Noord-Brabant,2
2020-03-07,Eindhoven,772,Noord-Brabant,4
2020-03-07,Helmond,794,Noord-Brabant,4
2020-03-07,'s-Hertogenbosch,796,Noord-Brabant,2
2020-03-07,Heusden,797,Noord-Brabant,1
2020-03-07,Loon op Zand,809,Noord-Brabant,7
2020-03-07,Oisterwijk,824,Noord-Brabant,3
2020-03-07,Oss,828,Noord-Brabant,1
2020-03-07,Sint-Michielsgestel,845,Noord-Brabant,3
2020-03-07,Tilburg,855,Noord-Brabant,10
2020-03-07,Uden,856,Noord-Brabant,6
2020-03-07,Waalre,866,Noord-Brabant,1
2020-03-07,Waalwijk,867,Noord-Brabant,3
2020-03-07,Maastricht,935,Limburg,3
2020-03-07,Simpelveld,965,Limburg,2
2020-03-07,Utrechtse Heuvelrug,1581,Utrecht,1
2020-03-07,Lansingerland,1621,Zuid-Holland,2
2020-03-07,Gemert-Bakel,1652,Noord-Brabant,1
2020-03-07,Schouwen-Duiveland,1676,Zeeland,1
2020-03-07,Lingewaard,1705,Gelderland,2
2020-03-07,Bernheze,1721,Noord-Brabant,1
2020-03-07,Dinkelland,1774,Overijssel,1
2020-03-07,Bronckhorst,1876,Gelderland,1
2020-03-07,Sittard-Geleen,1883,Limburg,4
2020-03-07,Stichtse Vecht,1904,Utrecht,4
2020-03-07,Leidschendam-Voorburg,1916,Zuid-Holland,1
2020-03-07,Pijnacker-Nootdorp,1926,Zuid-Holland,2
