Datum,Gemeentenaam,Gemeentecode,Provincienaam,Aantal
2020-03-15,Heusden,797,Noord-Brabant,4
2020-03-15,Hilvarenbeek,798,Noord-Brabant,5
2020-03-15,Loon op Zand,809,Noord-Brabant,7
2020-03-15,Mill en Sint Hubert,815,Noord-Brabant,1
2020-03-15,"Nuenen, Gerwen en Nederwetten",820,Noord-Brabant,1
2020-03-15,Oisterwijk,824,Noord-Brabant,6
2020-03-15,Oosterhout,826,Noord-Brabant,5
2020-03-15,Oss,828,Noord-Brabant,5
2020-03-15,Rucphen,840,Noord-Brabant,1
2020-03-15,Sint-Michielsgestel,845,Noord-Brabant,6
2020-03-15,Someren,847,Noord-Brabant,1
2020-03-15,Son en Breugel,848,Noord-Brabant,2
2020-03-15,Steenbergen,851,Noord-Brabant,1
2020-03-15,Waterland,852,Noord-Holland,2
2020-03-15,Tilburg,855,Noord-Brabant,68
2020-03-15,Uden,856,Noord-Brabant,33
2020-03-15,Veldhoven,861,Noord-Brabant,1
2020-03-15,Vught,865,Noord-Brabant,2
2020-03-15,Waalre,866,Noord-Brabant,1
2020-03-15,Waalwijk,867,Noord-Brabant,8
2020-03-15,Zundert,879,Noord-Brabant,3
2020-03-15,Landgraaf,882,Limburg,4
2020-03-15,Beek,888,Limburg,3
2020-03-15,Gennep,907,Limburg,1
2020-03-15,Heerlen,917,Limburg,5
2020-03-15,Kerkrade,928,Limburg,2
2020-03-15,Maastricht,935,Limburg,21
2020-03-15,Nederweert,946,Limburg,3
2020-03-15,Roermond,957,Limburg,2
2020-03-15,Simpelveld,965,Limburg,3
2020-03-15,Stein,971,Limburg,3
2020-03-15,Venlo,983,Limburg,4
2020-03-15,Lelystad,995,Flevoland,7
2020-03-15,Horst aan de Maas,1507,Limburg,3
2020-03-15,Utrechtse Heuvelrug,1581,Utrecht,2
2020-03-15,Koggenland,1598,Noord-Holland,1
2020-03-15,Lansingerland,1621,Zuid-Holland,5
2020-03-15,Leudal,1640,Limburg,6
2020-03-15,Maasgouw,1641,Limburg,2
2020-03-15,Gemert-Bakel,1652,Noord-Brabant,16
2020-03-15,Heeze-Leende,1658,Noord-Brabant,1
2020-03-15,Laarbeek,1659,Noord-Brabant,1
2020-03-15,Roosendaal,1674,Noord-Brabant,5
2020-03-15,Schouwen-Duiveland,1676,Zeeland,2
2020-03-15,Cuijk,1684,Noord-Brabant,2
2020-03-15,Landerd,1685,Noord-Brabant,5
2020-03-15,De Wolden,1690,Drenthe,1
2020-03-15,Sint Anthonis,1702,Noord-Brabant,2
2020-03-15,Lingewaard,1705,Gelderland,3
2020-03-15,Cranendonck,1706,Noord-Brabant,2
2020-03-15,Moerdijk,1709,Noord-Brabant,1
2020-03-15,Sluis,1714,Zeeland,1
2020-03-15,Drimmelen,1719,Noord-Brabant,5
2020-03-15,Bernheze,1721,Noord-Brabant,16
2020-03-15,Alphen-Chaam,1723,Noord-Brabant,1
2020-03-15,Bergeijk,1724,Noord-Brabant,1
2020-03-15,Bladel,1728,Noord-Brabant,1
2020-03-15,Gulpen-Wittem,1729,Limburg,1
2020-03-15,Overbetuwe,1734,Gelderland,6
2020-03-15,Hof van Twente,1735,Overijssel,1
2020-03-15,Neder-Betuwe,1740,Gelderland,4
2020-03-15,Geldrop-Mierlo,1771,Noord-Brabant,2
2020-03-15,Dinkelland,1774,Overijssel,4
2020-03-15,Westland,1783,Zuid-Holland,1
2020-03-15,Bronckhorst,1876,Gelderland,2
2020-03-15,Sittard-Geleen,1883,Limburg,37
2020-03-15,Peel en Maas,1894,Limburg,14
2020-03-15,Zwartewaterland,1896,Overijssel,2
2020-03-15,Súdwest-Fryslân,1900,Friesland,1
2020-03-15,Bodegraven-Reeuwijk,1901,Zuid-Holland,1
2020-03-15,Eijsden-Margraten,1903,Limburg,3
2020-03-15,Stichtse Vecht,1904,Utrecht,7
2020-03-15,Leidschendam-Voorburg,1916,Zuid-Holland,3
2020-03-15,Goeree-Overflakkee,1924,Zuid-Holland,2
2020-03-15,Pijnacker-Nootdorp,1926,Zuid-Holland,7
2020-03-15,Nissewaard,1930,Zuid-Holland,1
2020-03-15,Krimpenerwaard,1931,Zuid-Holland,4
2020-03-15,De Fryske Marren,1940,Friesland,3
2020-03-15,Gooise Meren,1942,Noord-Holland,4
2020-03-15,Berg en Dal,1945,Gelderland,6
2020-03-15,Meierijstad,1948,Noord-Brabant,34
2020-03-15,Midden-Groningen,1952,Groningen,1
2020-03-15,Beekdaelen,1954,Limburg,12
2020-03-15,Altena,1959,Noord-Brabant,10
2020-03-15,West Betuwe,1960,Gelderland,3
2020-03-15,Vijfheerenlanden,1961,Utrecht,2
2020-03-15,Hoeksche Waard,1963,Zuid-Holland,2
2020-03-15,Westerkwartier,1969,Groningen,1
2020-03-15,Molenlanden,1978,Zuid-Holland,1
2020-03-16,,-1,,70
2020-03-16,Groningen,14,Groningen,7
2020-03-16,Almere,34,Flevoland,3
2020-03-16,Zeewolde,50,Flevoland,2
2020-03-16,Harlingen,72,Friesland,1
2020-03-16,Leeuwarden,80,Friesland,2
2020-03-16,Opsterland,86,Friesland,2
2020-03-16,Smallingerland,90,Friesland,3
2020-03-16,Coevorden,109,Drenthe,11
2020-03-16,Emmen,114,Drenthe,1
2020-03-16,Hoogeveen,118,Drenthe,2
2020-03-16,Almelo,141,Overijssel,1
2020-03-16,Borne,147,Overijssel,3
2020-03-16,Dalfsen,148,Overijssel,1
2020-03-16,Deventer,150,Overijssel,2
2020-03-16,Enschede,153,Overijssel,3
2020-03-16,Haaksbergen,158,Overijssel,1
2020-03-16,Hellendoorn,163,Overijssel,2
2020-03-16,Hengelo,164,Overijssel,3
2020-03-16,Noordoostpolder,171,Flevoland,2
2020-03-16,Oldenzaal,173,Overijssel,1
2020-03-16,Ommen,175,Overijssel,1
2020-03-16,Raalte,177,Overijssel,2
2020-03-16,Staphorst,180,Overijssel,1
2020-03-16,Tubbergen,183,Overijssel,1
2020-03-16,Zwolle,193,Overijssel,6
2020-03-16,Apeldoorn,200,Gelderland,7
2020-03-16,Arnhem,202,Gelderland,7
2020-03-16,Barneveld,203,Gelderland,3
2020-03-16,Beuningen,209,Gelderland,5
2020-03-16,Buren,214,Gelderland,4
2020-03-16,Culemborg,216,Gelderland,2
2020-03-16,Doesburg,221,Gelderland,1
2020-03-16,Druten,225,Gelderland,5
2020-03-16,Duiven,226,Gelderland,1
2020-03-16,Ede,228,Gelderland,2
2020-03-16,Elburg,230,Gelderland,1
2020-03-16,Epe,232,Gelderland,2
2020-03-16,Ermelo,233,Gelderland,8
2020-03-16,Harderwijk,243,Gelderland,4
2020-03-16,Heerde,246,Gelderland,2
2020-03-16,Heumen,252,Gelderland,2
2020-03-16,Nijkerk,267,Gelderland,1
2020-03-16,Nijmegen,268,Gelderland,17
2020-03-16,Oldebroek,269,Gelderland,2
2020-03-16,Putten,273,Gelderland,2
2020-03-16,Renkum,274,Gelderland,8
2020-03-16,Rheden,275,Gelderland,1
2020-03-16,Rozendaal,277,Gelderland,1
2020-03-16,Tiel,281,Gelderland,4
2020-03-16,Voorst,285,Gelderland,1
2020-03-16,Wijchen,296,Gelderland,5
2020-03-16,Zaltbommel,297,Gelderland,1
2020-03-16,Nunspeet,302,Gelderland,2
2020-03-16,Dronten,303,Flevoland,7
2020-03-16,Amersfoort,307,Utrecht,18
2020-03-16,De Bilt,310,Utrecht,13
2020-03-16,Houten,321,Utrecht,13
2020-03-16,Leusden,327,Utrecht,1
2020-03-16,Lopik,331,Utrecht,1
2020-03-16,Soest,342,Utrecht,10
2020-03-16,Utrecht,344,Utrecht,48
2020-03-16,Veenendaal,345,Utrecht,1
2020-03-16,Woudenberg,351,Utrecht,1
2020-03-16,Wijk bij Duurstede,352,Utrecht,3
2020-03-16,IJsselstein,353,Utrecht,4
2020-03-16,Zeist,355,Utrecht,8
2020-03-16,Nieuwegein,356,Utrecht,1
2020-03-16,Aalsmeer,358,Noord-Holland,3
2020-03-16,Alkmaar,361,Noord-Holland,2
2020-03-16,Amstelveen,362,Noord-Holland,4
2020-03-16,Amsterdam,363,Noord-Holland,39
2020-03-16,Bergen (NH.),373,Noord-Holland,1
2020-03-16,Beverwijk,375,Noord-Holland,5
2020-03-16,Blaricum,376,Noord-Holland,1
2020-03-16,Bloemendaal,377,Noord-Holland,1
2020-03-16,Castricum,383,Noord-Holland,5
2020-03-16,Diemen,384,Noord-Holland,2
2020-03-16,Enkhuizen,388,Noord-Holland,1
2020-03-16,Haarlem,392,Noord-Holland,6
2020-03-16,Haarlemmermeer,394,Noord-Holland,2
2020-03-16,Heemskerk,396,Noord-Holland,2
2020-03-16,Heemstede,397,Noord-Holland,5
2020-03-16,Heerhugowaard,398,Noord-Holland,1
2020-03-16,Heiloo,399,Noord-Holland,3
2020-03-16,Den Helder,400,Noord-Holland,1
2020-03-16,Hoorn,405,Noord-Holland,1
2020-03-16,Huizen,406,Noord-Holland,1
2020-03-16,Landsmeer,415,Noord-Holland,3
2020-03-16,Langedijk,416,Noord-Holland,4
2020-03-16,Purmerend,439,Noord-Holland,2
2020-03-16,Schagen,441,Noord-Holland,4
2020-03-16,Velsen,453,Noord-Holland,4
2020-03-16,Zandvoort,473,Noord-Holland,1
2020-03-16,Zaanstad,479,Noord-Holland,2
2020-03-16,Alphen aan den Rijn,484,Zuid-Holland,6
2020-03-16,Barendrecht,489,Zuid-Holland,3
2020-03-16,Delft,503,Zuid-Holland,2
2020-03-16,Dordrecht,505,Zuid-Holland,1
2020-03-16,Gouda,513,Zuid-Holland,4
2020-03-16,'s-Gravenhage,518,Zuid-Holland,14
2020-03-16,Hardinxveld-Giessendam,523,Zuid-Holland,5
2020-03-16,Hellevoetsluis,530,Zuid-Holland,1
2020-03-16,Stede Broec,532,Noord-Holland,1
2020-03-16,Katwijk,537,Zuid-Holland,1
2020-03-16,Krimpen aan den IJssel,542,Zuid-Holland,1
2020-03-16,Leiden,546,Zuid-Holland,8
2020-03-16,Leiderdorp,547,Zuid-Holland,1
2020-03-16,Maassluis,556,Zuid-Holland,1
2020-03-16,Nieuwkoop,569,Zuid-Holland,1
2020-03-16,Noordwijk,575,Zuid-Holland,2
2020-03-16,Oegstgeest,579,Zuid-Holland,4
2020-03-16,Oudewater,589,Utrecht,1
2020-03-16,Ridderkerk,597,Zuid-Holland,1
2020-03-16,Rotterdam,599,Zuid-Holland,30
2020-03-16,Rijswijk,603,Zuid-Holland,1
2020-03-16,Schiedam,606,Zuid-Holland,1
2020-03-16,Albrandswaard,613,Zuid-Holland,2
2020-03-16,Westvoorne,614,Zuid-Holland,3
2020-03-16,Vlaardingen,622,Zuid-Holland,1
2020-03-16,Waddinxveen,627,Zuid-Holland,1
2020-03-16,Wassenaar,629,Zuid-Holland,3
2020-03-16,Woerden,632,Utrecht,2
2020-03-16,Zwijndrecht,642,Zuid-Holland,3
2020-03-16,Borsele,654,Zeeland,2
2020-03-16,Goes,664,Zeeland,2
2020-03-16,West Maas en Waal,668,Gelderland,3
2020-03-16,Middelburg,687,Zeeland,1
2020-03-16,Reimerswaal,703,Zeeland,2
2020-03-16,Terneuzen,715,Zeeland,1
2020-03-16,Tholen,716,Zeeland,1
2020-03-16,Veere,717,Zeeland,1
2020-03-16,Vlissingen,718,Zeeland,3
2020-03-16,De Ronde Venen,736,Utrecht,2
2020-03-16,Tytsjerksteradiel,737,Friesland,1
2020-03-16,Asten,743,Noord-Brabant,1
2020-03-16,Bergen op Zoom,748,Noord-Brabant,4
2020-03-16,Best,753,Noord-Brabant,4
2020-03-16,Boekel,755,Noord-Brabant,14
2020-03-16,Boxmeer,756,Noord-Brabant,1
2020-03-16,Boxtel,757,Noord-Brabant,3
2020-03-16,Breda,758,Noord-Brabant,86
2020-03-16,Deurne,762,Noord-Brabant,5
2020-03-16,Pekela,765,Groningen,1
2020-03-16,Dongen,766,Noord-Brabant,5
2020-03-16,Eersel,770,Noord-Brabant,2
2020-03-16,Eindhoven,772,Noord-Brabant,21
2020-03-16,Etten-Leur,777,Noord-Brabant,10
2020-03-16,Geertruidenberg,779,Noord-Brabant,3
2020-03-16,Gilze en Rijen,784,Noord-Brabant,1
2020-03-16,Goirle,785,Noord-Brabant,9
2020-03-16,Haaren,788,Noord-Brabant,7
2020-03-16,Helmond,794,Noord-Brabant,17
2020-03-16,'s-Hertogenbosch,796,Noord-Brabant,20
2020-03-16,Heusden,797,Noord-Brabant,4
2020-03-16,Hilvarenbeek,798,Noord-Brabant,4
2020-03-16,Loon op Zand,809,Noord-Brabant,7
2020-03-16,Mill en Sint Hubert,815,Noord-Brabant,1
2020-03-16,"Nuenen, Gerwen en Nederwetten",820,Noord-Brabant,1
2020-03-16,Oirschot,823,Noord-Brabant,1
2020-03-16,Oisterwijk,824,Noord-Brabant,9
2020-03-16,Oosterhout,826,Noord-Brabant,6
2020-03-16,Oss,828,Noord-Brabant,11
2020-03-16,Rucphen,840,Noord-Brabant,1
2020-03-16,Sint-Michielsgestel,845,Noord-Brabant,8
2020-03-16,Someren,847,Noord-Brabant,1
2020-03-16,Son en Breugel,848,Noord-Brabant,4
2020-03-16,Steenbergen,851,Noord-Brabant,2
2020-03-16,Waterland,852,Noord-Holland,3
2020-03-16,Tilburg,855,Noord-Brabant,84
2020-03-16,Uden,856,Noord-Brabant,43
2020-03-16,Veldhoven,861,Noord-Brabant,1
2020-03-16,Vught,865,Noord-Brabant,3
2020-03-16,Waalre,866,Noord-Brabant,1
2020-03-16,Waalwijk,867,Noord-Brabant,10
2020-03-16,Zundert,879,Noord-Brabant,3
2020-03-16,Landgraaf,882,Limburg,4
2020-03-16,Beek,888,Limburg,3
2020-03-16,Gennep,907,Limburg,1
2020-03-16,Heerlen,917,Limburg,6
2020-03-16,Kerkrade,928,Limburg,2
2020-03-16,Maastricht,935,Limburg,24
2020-03-16,Meerssen,938,Limburg,1
2020-03-16,Nederweert,946,Limburg,3
2020-03-16,Roermond,957,Limburg,2
2020-03-16,Simpelveld,965,Limburg,3
2020-03-16,Stein,971,Limburg,3
2020-03-16,Venlo,983,Limburg,6
2020-03-16,Valkenburg aan de Geul,994,Limburg,1
2020-03-16,Lelystad,995,Flevoland,8
2020-03-16,Horst aan de Maas,1507,Limburg,5
2020-03-16,Oude IJsselstreek,1509,Gelderland,1
2020-03-16,Teylingen,1525,Zuid-Holland,1
2020-03-16,Utrechtse Heuvelrug,1581,Utrecht,3
2020-03-16,Koggenland,1598,Noord-Holland,1
2020-03-16,Lansingerland,1621,Zuid-Holland,5
2020-03-16,Leudal,1640,Limburg,7
2020-03-16,Maasgouw,1641,Limburg,2
2020-03-16,Gemert-Bakel,1652,Noord-Brabant,20
2020-03-16,Halderberge,1655,Noord-Brabant,2
2020-03-16,Heeze-Leende,1658,Noord-Brabant,2
2020-03-16,Laarbeek,1659,Noord-Brabant,1
2020-03-16,Roosendaal,1674,Noord-Brabant,6
2020-03-16,Schouwen-Duiveland,1676,Zeeland,2
2020-03-16,Cuijk,1684,Noord-Brabant,2
2020-03-16,Landerd,1685,Noord-Brabant,10
2020-03-16,De Wolden,1690,Drenthe,1
2020-03-16,Noordenveld,1699,Drenthe,1
2020-03-16,Sint Anthonis,1702,Noord-Brabant,3
2020-03-16,Lingewaard,1705,Gelderland,3
2020-03-16,Cranendonck,1706,Noord-Brabant,2
2020-03-16,Moerdijk,1709,Noord-Brabant,1
2020-03-16,Sluis,1714,Zeeland,2
2020-03-16,Drimmelen,1719,Noord-Brabant,7
2020-03-16,Bernheze,1721,Noord-Brabant,19
2020-03-16,Alphen-Chaam,1723,Noord-Brabant,2
2020-03-16,Bergeijk,1724,Noord-Brabant,1
2020-03-16,Bladel,1728,Noord-Brabant,1
2020-03-16,Gulpen-Wittem,1729,Limburg,2
2020-03-16,Overbetuwe,1734,Gelderland,8
2020-03-16,Hof van Twente,1735,Overijssel,1
2020-03-16,Neder-Betuwe,1740,Gelderland,4
2020-03-16,Geldrop-Mierlo,1771,Noord-Brabant,3
2020-03-16,Dinkelland,1774,Overijssel,5
2020-03-16,Westland,1783,Zuid-Holland,1
2020-03-16,Bronckhorst,1876,Gelderland,2
2020-03-16,Sittard-Geleen,1883,Limburg,38
2020-03-16,Peel en Maas,1894,Limburg,19
2020-03-16,Zwartewaterland,1896,Overijssel,2
2020-03-16,Súdwest-Fryslân,1900,Friesland,1
2020-03-16,Bodegraven-Reeuwijk,1901,Zuid-Holland,1
2020-03-16,Eijsden-Margraten,1903,Limburg,4
2020-03-16,Stichtse Vecht,1904,Utrecht,7
2020-03-16,Leidschendam-Voorburg,1916,Zuid-Holland,4
2020-03-16,Goeree-Overflakkee,1924,Zuid-Holland,4
2020-03-16,Pijnacker-Nootdorp,1926,Zuid-Holland,8
2020-03-16,Nissewaard,1930,Zuid-Holland,1
2020-03-16,Krimpenerwaard,1931,Zuid-Holland,4
2020-03-16,De Fryske Marren,1940,Friesland,3
2020-03-16,Gooise Meren,1942,Noord-Holland,4
2020-03-16,Berg en Dal,1945,Gelderland,10
2020-03-16,Meierijstad,1948,Noord-Brabant,42
2020-03-16,Midden-Groningen,1952,Groningen,1
2020-03-16,Beekdaelen,1954,Limburg,13
2020-03-16,Altena,1959,Noord-Brabant,12
2020-03-16,West Betuwe,1960,Gelderland,3
2020-03-16,Vijfheerenlanden,1961,Utrecht,3
2020-03-16,Hoeksche Waard,1963,Zuid-Holland,4
2020-03-16,Westerkwartier,1969,Groningen,1
2020-03-16,Molenlanden,1978,Zuid-Holland,2
2020-03-17,,-1,,70
2020-03-17,Groningen,14,Groningen,7
2020-03-17,Almere,34,Flevoland,3
2020-03-17,Zeewolde,50,Flevoland,2
2020-03-17,Harlingen,72,Friesland,1
2020-03-17,Leeuwarden,80,Friesland,3
2020-03-17,Opsterland,86,Friesland,2
2020-03-17,Smallingerland,90,Friesland,3
2020-03-17,Coevorden,109,Drenthe,11
2020-03-17,Emmen,114,Drenthe,1
2020-03-17,Hoogeveen,118,Drenthe,2
2020-03-17,Almelo,141,Overijssel,1
2020-03-17,Borne,147,Overijssel,3
2020-03-17,Dalfsen,148,Overijssel,1
2020-03-17,Deventer,150,Overijssel,4
2020-03-17,Enschede,153,Overijssel,3
2020-03-17,Haaksbergen,158,Overijssel,1
2020-03-17,Hellendoorn,163,Overijssel,2
2020-03-17,Hengelo,164,Overijssel,3
2020-03-17,Kampen,166,Overijssel,1
2020-03-17,Noordoostpolder,171,Flevoland,2
2020-03-17,Oldenzaal,173,Overijssel,1
2020-03-17,Ommen,175,Overijssel,1
2020-03-17,Raalte,177,Overijssel,3
2020-03-17,Staphorst,180,Overijssel,1
2020-03-17,Tubbergen,183,Overijssel,1
2020-03-17,Zwolle,193,Overijssel,8
2020-03-17,Apeldoorn,200,Gelderland,7
2020-03-17,Arnhem,202,Gelderland,8
2020-03-17,Barneveld,203,Gelderland,4
2020-03-17,Beuningen,209,Gelderland,6
2020-03-17,Buren,214,Gelderland,4
2020-03-17,Culemborg,216,Gelderland,4
2020-03-17,Doesburg,221,Gelderland,1
2020-03-17,Druten,225,Gelderland,5
2020-03-17,Duiven,226,Gelderland,1
2020-03-17,Ede,228,Gelderland,2
2020-03-17,Elburg,230,Gelderland,1
2020-03-17,Epe,232,Gelderland,2
2020-03-17,Ermelo,233,Gelderland,8
2020-03-17,Harderwijk,243,Gelderland,4
2020-03-17,Heerde,246,Gelderland,3
2020-03-17,Heumen,252,Gelderland,3
2020-03-17,Maasdriel,263,Gelderland,1
2020-03-17,Nijkerk,267,Gelderland,2
2020-03-17,Nijmegen,268,Gelderland,31
2020-03-17,Oldebroek,269,Gelderland,2
2020-03-17,Putten,273,Gelderland,2
2020-03-17,Renkum,274,Gelderland,8
2020-03-17,Rheden,275,Gelderland,2
2020-03-17,Rozendaal,277,Gelderland,1
2020-03-17,Tiel,281,Gelderland,4
2020-03-17,Voorst,285,Gelderland,1
2020-03-17,Wageningen,289,Gelderland,1
2020-03-17,Wijchen,296,Gelderland,6
2020-03-17,Zaltbommel,297,Gelderland,3
2020-03-17,Zutphen,301,Gelderland,1
2020-03-17,Nunspeet,302,Gelderland,2
2020-03-17,Dronten,303,Flevoland,7
2020-03-17,Amersfoort,307,Utrecht,21
2020-03-17,De Bilt,310,Utrecht,15
2020-03-17,Houten,321,Utrecht,13
2020-03-17,Leusden,327,Utrecht,1
2020-03-17,Lopik,331,Utrecht,2
2020-03-17,Soest,342,Utrecht,11
2020-03-17,Utrecht,344,Utrecht,60
2020-03-17,Veenendaal,345,Utrecht,1
2020-03-17,Woudenberg,351,Utrecht,1
2020-03-17,Wijk bij Duurstede,352,Utrecht,4
2020-03-17,IJsselstein,353,Utrecht,6
2020-03-17,Zeist,355,Utrecht,12
2020-03-17,Nieuwegein,356,Utrecht,3
2020-03-17,Aalsmeer,358,Noord-Holland,3
2020-03-17,Alkmaar,361,Noord-Holland,2
2020-03-17,Amstelveen,362,Noord-Holland,6
2020-03-17,Amsterdam,363,Noord-Holland,56
2020-03-17,Bergen (NH.),373,Noord-Holland,1
2020-03-17,Beverwijk,375,Noord-Holland,6
2020-03-17,Blaricum,376,Noord-Holland,1
2020-03-17,Bloemendaal,377,Noord-Holland,3
2020-03-17,Castricum,383,Noord-Holland,5
2020-03-17,Diemen,384,Noord-Holland,2
2020-03-17,Enkhuizen,388,Noord-Holland,1
2020-03-17,Haarlem,392,Noord-Holland,7
2020-03-17,Haarlemmermeer,394,Noord-Holland,4
2020-03-17,Heemskerk,396,Noord-Holland,2
2020-03-17,Heemstede,397,Noord-Holland,5
2020-03-17,Heerhugowaard,398,Noord-Holland,1
2020-03-17,Heiloo,399,Noord-Holland,3
2020-03-17,Den Helder,400,Noord-Holland,1
2020-03-17,Hilversum,402,Noord-Holland,3
2020-03-17,Hoorn,405,Noord-Holland,1
2020-03-17,Huizen,406,Noord-Holland,1
2020-03-17,Landsmeer,415,Noord-Holland,3
2020-03-17,Langedijk,416,Noord-Holland,4
2020-03-17,Oostzaan,431,Noord-Holland,1
2020-03-17,Ouder-Amstel,437,Noord-Holland,2
2020-03-17,Purmerend,439,Noord-Holland,2
2020-03-17,Schagen,441,Noord-Holland,4
2020-03-17,Velsen,453,Noord-Holland,4
2020-03-17,Zandvoort,473,Noord-Holland,1
2020-03-17,Zaanstad,479,Noord-Holland,2
2020-03-17,Alblasserdam,482,Zuid-Holland,1
2020-03-17,Alphen aan den Rijn,484,Zuid-Holland,6
2020-03-17,Barendrecht,489,Zuid-Holland,3
2020-03-17,Capelle aan den IJssel,502,Zuid-Holland,1
2020-03-17,Delft,503,Zuid-Holland,2
2020-03-17,Dordrecht,505,Zuid-Holland,4
2020-03-17,Gouda,513,Zuid-Holland,5
2020-03-17,'s-Gravenhage,518,Zuid-Holland,17
2020-03-17,Hardinxveld-Giessendam,523,Zuid-Holland,5
2020-03-17,Hellevoetsluis,530,Zuid-Holland,1
2020-03-17,Stede Broec,532,Noord-Holland,1
2020-03-17,Katwijk,537,Zuid-Holland,1
2020-03-17,Krimpen aan den IJssel,542,Zuid-Holland,1
2020-03-17,Leiden,546,Zuid-Holland,8
2020-03-17,Leiderdorp,547,Zuid-Holland,1
2020-03-17,Maassluis,556,Zuid-Holland,1
2020-03-17,Nieuwkoop,569,Zuid-Holland,1
2020-03-17,Noordwijk,575,Zuid-Holland,2
2020-03-17,Oegstgeest,579,Zuid-Holland,4
2020-03-17,Oudewater,589,Utrecht,1
2020-03-17,Ridderkerk,597,Zuid-Holland,1
2020-03-17,Rotterdam,599,Zuid-Holland,41
2020-03-17,Rijswijk,603,Zuid-Holland,2
2020-03-17,Schiedam,606,Zuid-Holland,1
2020-03-17,Sliedrecht,610,Zuid-Holland,1
2020-03-17,Albrandswaard,613,Zuid-Holland,3
2020-03-17,Westvoorne,614,Zuid-Holland,3
2020-03-17,Vlaardingen,622,Zuid-Holland,2
2020-03-17,Waddinxveen,627,Zuid-Holland,1
2020-03-17,Wassenaar,629,Zuid-Holland,3
2020-03-17,Woerden,632,Utrecht,3
2020-03-17,Zwijndrecht,642,Zuid-Holland,4
2020-03-17,Borsele,654,Zeeland,2
2020-03-17,Goes,664,Zeeland,2
2020-03-17,West Maas en Waal,668,Gelderland,3
2020-03-17,Kapelle,678,Zeeland,1
2020-03-17,Middelburg,687,Zeeland,1
2020-03-17,Reimerswaal,703,Zeeland,2
2020-03-17,Terneuzen,715,Zeeland,2
2020-03-17,Tholen,716,Zeeland,1
2020-03-17,Veere,717,Zeeland,1
2020-03-17,Vlissingen,718,Zeeland,4
2020-03-17,De Ronde Venen,736,Utrecht,2
2020-03-17,Tytsjerksteradiel,737,Friesland,1
2020-03-17,Asten,743,Noord-Brabant,2
2020-03-17,Bergen op Zoom,748,Noord-Brabant,5
2020-03-17,Best,753,Noord-Brabant,5
2020-03-17,Boekel,755,Noord-Brabant,14
2020-03-17,Boxmeer,756,Noord-Brabant,1
2020-03-17,Boxtel,757,Noord-Brabant,5
2020-03-17,Breda,758,Noord-Brabant,96
2020-03-17,Deurne,762,Noord-Brabant,8
2020-03-17,Pekela,765,Groningen,1
2020-03-17,Dongen,766,Noord-Brabant,5
2020-03-17,Eersel,770,Noord-Brabant,3
2020-03-17,Eindhoven,772,Noord-Brabant,22
2020-03-17,Etten-Leur,777,Noord-Brabant,12
2020-03-17,Geertruidenberg,779,Noord-Brabant,5
2020-03-17,Gilze en Rijen,784,Noord-Brabant,1
2020-03-17,Goirle,785,Noord-Brabant,9
2020-03-17,Haaren,788,Noord-Brabant,7
2020-03-17,Helmond,794,Noord-Brabant,19
2020-03-17,'s-Hertogenbosch,796,Noord-Brabant,24
2020-03-17,Heusden,797,Noord-Brabant,4
2020-03-17,Hilvarenbeek,798,Noord-Brabant,4
2020-03-17,Loon op Zand,809,Noord-Brabant,8
2020-03-17,Mill en Sint Hubert,815,Noord-Brabant,1
2020-03-17,"Nuenen, Gerwen en Nederwetten",820,Noord-Brabant,1
2020-03-17,Oirschot,823,Noord-Brabant,1
2020-03-17,Oisterwijk,824,Noord-Brabant,10
2020-03-17,Oosterhout,826,Noord-Brabant,8
2020-03-17,Oss,828,Noord-Brabant,14
2020-03-17,Rucphen,840,Noord-Brabant,1
2020-03-17,Sint-Michielsgestel,845,Noord-Brabant,8
2020-03-17,Someren,847,Noord-Brabant,2
2020-03-17,Son en Breugel,848,Noord-Brabant,4
2020-03-17,Steenbergen,851,Noord-Brabant,2
2020-03-17,Waterland,852,Noord-Holland,3
2020-03-17,Tilburg,855,Noord-Brabant,88
2020-03-17,Uden,856,Noord-Brabant,49
2020-03-17,Veldhoven,861,Noord-Brabant,1
2020-03-17,Vught,865,Noord-Brabant,6
2020-03-17,Waalre,866,Noord-Brabant,1
2020-03-17,Waalwijk,867,Noord-Brabant,11
2020-03-17,Zundert,879,Noord-Brabant,4
2020-03-17,Landgraaf,882,Limburg,4
2020-03-17,Beek,888,Limburg,3
2020-03-17,Brunssum,899,Limburg,2
2020-03-17,Gennep,907,Limburg,1
2020-03-17,Heerlen,917,Limburg,8
2020-03-17,Kerkrade,928,Limburg,3
2020-03-17,Maastricht,935,Limburg,33
2020-03-17,Meerssen,938,Limburg,1
2020-03-17,Nederweert,946,Limburg,5
2020-03-17,Roermond,957,Limburg,4
2020-03-17,Simpelveld,965,Limburg,4
2020-03-17,Stein,971,Limburg,3
2020-03-17,Venlo,983,Limburg,8
2020-03-17,Voerendaal,986,Limburg,1
2020-03-17,Valkenburg aan de Geul,994,Limburg,2
2020-03-17,Lelystad,995,Flevoland,10
2020-03-17,Horst aan de Maas,1507,Limburg,8
2020-03-17,Oude IJsselstreek,1509,Gelderland,2
2020-03-17,Teylingen,1525,Zuid-Holland,2
2020-03-17,Utrechtse Heuvelrug,1581,Utrecht,5
2020-03-17,Koggenland,1598,Noord-Holland,1
