Datum,Gemeentecode,Gemeentenaam,Provincienaam,Provinciecode,Aantal
2020-03-31,398,Heerhugowaard,Noord-Holland,27,17
2020-03-31,399,Heiloo,Noord-Holland,27,5
2020-03-31,400,Den Helder,Noord-Holland,27,6
2020-03-31,402,Hilversum,Noord-Holland,27,13
2020-03-31,405,Hoorn,Noord-Holland,27,13
2020-03-31,406,Huizen,Noord-Holland,27,9
2020-03-31,415,Landsmeer,Noord-Holland,27,3
2020-03-31,416,Langedijk,Noord-Holland,27,6
2020-03-31,417,Laren,Noord-Holland,27,5
2020-03-31,420,Medemblik,Noord-Holland,27,9
2020-03-31,431,Oostzaan,Noord-Holland,27,2
2020-03-31,432,Opmeer,Noord-Holland,27,1
2020-03-31,437,Ouder-Amstel,Noord-Holland,27,3
2020-03-31,439,Purmerend,Noord-Holland,27,35
2020-03-31,441,Schagen,Noord-Holland,27,10
2020-03-31,448,Texel,Noord-Holland,27,1
2020-03-31,450,Uitgeest,Noord-Holland,27,3
2020-03-31,451,Uithoorn,Noord-Holland,27,9
2020-03-31,453,Velsen,Noord-Holland,27,13
2020-03-31,457,Weesp,Noord-Holland,27,2
2020-03-31,473,Zandvoort,Noord-Holland,27,4
2020-03-31,479,Zaanstad,Noord-Holland,27,32
2020-03-31,482,Alblasserdam,Zuid-Holland,28,2
2020-03-31,484,Alphen aan den Rijn,Zuid-Holland,28,29
2020-03-31,489,Barendrecht,Zuid-Holland,28,16
2020-03-31,498,Drechterland,Noord-Holland,27,1
2020-03-31,501,Brielle,Zuid-Holland,28,5
2020-03-31,502,Capelle aan den IJssel,Zuid-Holland,28,20
2020-03-31,503,Delft,Zuid-Holland,28,19
2020-03-31,505,Dordrecht,Zuid-Holland,28,26
2020-03-31,512,Gorinchem,Zuid-Holland,28,9
2020-03-31,513,Gouda,Zuid-Holland,28,13
2020-03-31,518,'s-Gravenhage,Zuid-Holland,28,81
2020-03-31,523,Hardinxveld-Giessendam,Zuid-Holland,28,1
2020-03-31,530,Hellevoetsluis,Zuid-Holland,28,4
2020-03-31,531,Hendrik-Ido-Ambacht,Zuid-Holland,28,3
2020-03-31,532,Stede Broec,Noord-Holland,27,10
2020-03-31,534,Hillegom,Zuid-Holland,28,3
2020-03-31,537,Katwijk,Zuid-Holland,28,8
2020-03-31,542,Krimpen aan den IJssel,Zuid-Holland,28,2
2020-03-31,546,Leiden,Zuid-Holland,28,16
2020-03-31,547,Leiderdorp,Zuid-Holland,28,5
2020-03-31,553,Lisse,Zuid-Holland,28,3
2020-03-31,556,Maassluis,Zuid-Holland,28,8
2020-03-31,569,Nieuwkoop,Zuid-Holland,28,4
2020-03-31,575,Noordwijk,Zuid-Holland,28,8
2020-03-31,579,Oegstgeest,Zuid-Holland,28,3
2020-03-31,589,Oudewater,Utrecht,26,15
2020-03-31,590,Papendrecht,Zuid-Holland,28,0
2020-03-31,597,Ridderkerk,Zuid-Holland,28,18
2020-03-31,599,Rotterdam,Zuid-Holland,28,120
2020-03-31,603,Rijswijk,Zuid-Holland,28,12
2020-03-31,606,Schiedam,Zuid-Holland,28,19
2020-03-31,610,Sliedrecht,Zuid-Holland,28,1
2020-03-31,613,Albrandswaard,Zuid-Holland,28,4
2020-03-31,614,Westvoorne,Zuid-Holland,28,4
2020-03-31,622,Vlaardingen,Zuid-Holland,28,12
2020-03-31,626,Voorschoten,Zuid-Holland,28,4
2020-03-31,627,Waddinxveen,Zuid-Holland,28,4
2020-03-31,629,Wassenaar,Zuid-Holland,28,2
2020-03-31,632,Woerden,Utrecht,26,22
2020-03-31,637,Zoetermeer,Zuid-Holland,28,21
2020-03-31,638,Zoeterwoude,Zuid-Holland,28,2
2020-03-31,642,Zwijndrecht,Zuid-Holland,28,9
2020-03-31,654,Borsele,Zeeland,29,3
2020-03-31,664,Goes,Zeeland,29,5
2020-03-31,668,West Maas en Waal,Gelderland,25,9
2020-03-31,677,Hulst,Zeeland,29,4
2020-03-31,678,Kapelle,Zeeland,29,1
2020-03-31,687,Middelburg,Zeeland,29,10
2020-03-31,703,Reimerswaal,Zeeland,29,4
2020-03-31,715,Terneuzen,Zeeland,29,11
2020-03-31,716,Tholen,Zeeland,29,20
2020-03-31,717,Veere,Zeeland,29,3
2020-03-31,718,Vlissingen,Zeeland,29,5
2020-03-31,736,De Ronde Venen,Utrecht,26,11
2020-03-31,737,Tytsjerksteradiel,Friesland,21,1
2020-03-31,743,Asten,Noord-Brabant,30,4
2020-03-31,744,Baarle-Nassau,Noord-Brabant,30,1
2020-03-31,748,Bergen op Zoom,Noord-Brabant,30,11
2020-03-31,753,Best,Noord-Brabant,30,18
2020-03-31,755,Boekel,Noord-Brabant,30,21
2020-03-31,756,Boxmeer,Noord-Brabant,30,8
2020-03-31,757,Boxtel,Noord-Brabant,30,9
2020-03-31,758,Breda,Noord-Brabant,30,113
2020-03-31,762,Deurne,Noord-Brabant,30,34
2020-03-31,765,Pekela,Groningen,20,3
2020-03-31,766,Dongen,Noord-Brabant,30,7
2020-03-31,770,Eersel,Noord-Brabant,30,11
2020-03-31,772,Eindhoven,Noord-Brabant,30,46
2020-03-31,777,Etten-Leur,Noord-Brabant,30,21
2020-03-31,779,Geertruidenberg,Noord-Brabant,30,7
2020-03-31,784,Gilze en Rijen,Noord-Brabant,30,13
2020-03-31,785,Goirle,Noord-Brabant,30,16
2020-03-31,786,Grave,Noord-Brabant,30,10
2020-03-31,788,Haaren,Noord-Brabant,30,14
2020-03-31,794,Helmond,Noord-Brabant,30,35
2020-03-31,796,'s-Hertogenbosch,Noord-Brabant,30,67
2020-03-31,797,Heusden,Noord-Brabant,30,22
2020-03-31,798,Hilvarenbeek,Noord-Brabant,30,4
2020-03-31,809,Loon op Zand,Noord-Brabant,30,15
2020-03-31,815,Mill en Sint Hubert,Noord-Brabant,30,6
2020-03-31,820,"Nuenen, Gerwen en Nederwetten",Noord-Brabant,30,7
2020-03-31,823,Oirschot,Noord-Brabant,30,6
2020-03-31,824,Oisterwijk,Noord-Brabant,30,9
2020-03-31,826,Oosterhout,Noord-Brabant,30,23
2020-03-31,828,Oss,Noord-Brabant,30,73
2020-03-31,840,Rucphen,Noord-Brabant,30,3
2020-03-31,845,Sint-Michielsgestel,Noord-Brabant,30,14
2020-03-31,847,Someren,Noord-Brabant,30,8
2020-03-31,848,Son en Breugel,Noord-Brabant,30,15
2020-03-31,851,Steenbergen,Noord-Brabant,30,7
2020-03-31,852,Waterland,Noord-Holland,27,8
2020-03-31,855,Tilburg,Noord-Brabant,30,115
2020-03-31,856,Uden,Noord-Brabant,30,67
2020-03-31,858,Valkenswaard,Noord-Brabant,30,6
2020-03-31,861,Veldhoven,Noord-Brabant,30,7
2020-03-31,865,Vught,Noord-Brabant,30,23
